crop,Crop_Year,Area,Temperature,Rainfall,Production
arhar_tur,1997,11268.0,34.7678088212,62.9620117333,1820.0
arhar_tur,1997,10477.0,31.7333256016,61.7352191189,3324.0
arhar_tur,1997,6057.0,33.873299362,60.3210326021,4131.0
arhar_tur,1997,48463.0,34.3915162459,61.4843360394,3499.0
arhar_tur,1997,20286.0,33.0415213257,64.1848202699,2428.0
arhar_tur,1997,930.0,31.1110943706,63.7065556443,217.0
arhar_tur,1997,10247.0,33.3330648316,60.1679161555,4225.0
arhar_tur,1997,13160.0,30.4035312387,64.2815065072,4851.0
arhar_tur,1997,238994.0,31.9827984377,62.2793780666,60394.0
arhar_tur,1997,3432.0,32.8197595965,60.8377285478,828.0
arhar_tur,1997,9925.0,32.9979240077,64.8829301656,3432.0
arhar_tur,1997,1806.0,32.2911311832,64.6183750764,422.0
arhar_tur,1997,7509.0,31.0923920664,62.6260707821,1812.0
arhar_tur,1997,25952.0,32.204177489,61.243971541,3156.0
arhar_tur,1997,1951.0,30.1676284758,62.2249963974,456.0
arhar_tur,1997,11135.0,33.5038357276,61.3787163702,3427.0
arhar_tur,1997,218.0,31.7552879887,60.267183499,51.0
bajra,1997,34917.0,16.1729112271,41.3486937082,5666.0
bajra,1997,14047.0,15.4354142537,46.0036856136,7221.0
bajra,1997,14756.0,16.8733438179,49.26884413,9500.0
bajra,1997,94756.0,15.5083573291,59.9358933956,40777.0
bajra,1997,5257.0,15.3551976355,43.4546109855,1816.0
bajra,1997,1581.0,15.2868786136,46.1216418117,564.0
bajra,1997,66832.0,16.3981593116,52.8256445609,39483.0
bajra,1997,119.0,16.0967377678,47.9407233331,44.0
bajra,1997,365.0,17.060504046,47.2436001063,161.0
bajra,1997,68296.0,16.304046498,57.6471863213,26777.0
bajra,1997,223.0,18.4301658181,44.5868635415,47.0
coriander,1997,215.0,25.4821001542,8.9361925112,26.0
coriander,1997,10736.0,17.4728177352,9.1876597277,2168.0
coriander,1997,154.0,18.4499985306,9.2748261999,17.0
coriander,1997,701.0,26.0737018363,9.8977481258,74.0
coriander,1997,400.0,24.607222632,9.2549258241,38.0
coriander,1997,1180.0,15.1974883978,7.7159509014,120.0
coriander,1997,782.0,26.2743015315,9.4025229609,79.0
coriander,1997,1796.0,24.6483063457,9.686854944,185.0
coriander,1997,21.0,21.590239651,8.3670913557,3.0
coriander,1997,251.0,21.2908169159,7.5663036154,32.0
coriander,1997,67.0,26.9691361039,8.0018301807,7.0
coriander,1997,870.0,18.0163286894,9.434699052,86.0
coriander,1997,38.0,25.3777424813,7.8808779702,7.0
coriander,1997,83.0,16.8737364391,9.532565376,8.0
coriander,1997,23.0,24.8928446261,8.921672353,3.0
groundnut,1997,75288.0,24.1167157116,52.4498657663,58174.0
groundnut,1997,76932.0,26.7203576483,62.9350000761,38353.0
groundnut,1997,19469.0,29.2559144625,69.2705087419,19986.0
groundnut,1997,2499.0,28.9407704568,56.9153324542,648.0
groundnut,1997,61771.0,29.7659785957,51.8780597303,18424.0
groundnut,1997,5010.0,23.0417147085,67.3177092807,6189.0
groundnut,1997,131629.0,29.6195994684,58.9065704661,88231.0
groundnut,1997,116222.0,27.0564580298,72.0826550282,73437.0
groundnut,1997,66070.0,22.7260990038,59.301266382,29837.0
groundnut,1997,3506.0,22.4828774662,63.7488255615,4250.0
groundnut,1997,86924.0,29.1311621351,69.0776678989,68844.0
groundnut,1997,7230.0,22.0137650156,69.7841485165,4372.0
groundnut,1997,36156.0,29.5281965699,66.0118386426,36705.0
groundnut,1997,62527.0,25.9995307036,74.5671793366,22818.0
groundnut,1997,6407.0,29.826786958,57.5412186309,7075.0
groundnut,1997,89163.0,20.7532497842,70.2958951226,47699.0
groundnut,1997,863.0,28.5338448164,58.8744404209,520.0
jowar,1997,140805.0,28.6249351738,61.1780396692,63996.0
jowar,1997,41994.0,29.8539421156,56.9137584242,40394.0
jowar,1997,37204.0,30.3768387075,47.4448500167,5233.0
jowar,1997,510692.0,28.8830269684,33.6653784377,263237.0
jowar,1997,6280.0,28.2482238031,60.4399874753,6417.0
jowar,1997,32746.0,25.5821677977,51.5942881063,13681.0
jowar,1997,171442.0,30.9841611334,49.5285106455,85600.0
jowar,1997,357100.0,31.8243657268,55.3578361179,146121.0
jowar,1997,1433.0,29.1616899956,41.9361804694,630.0
jowar,1997,1026.0,26.0934761176,47.4508180011,462.0
jowar,1997,194872.0,28.4897653312,57.5643864384,94518.0
jowar,1997,2779.0,28.7094787537,34.3666940445,1239.0
jowar,1997,2740.0,27.6987460046,56.0299714793,1218.0
jowar,1997,59.0,30.0651514599,36.3403067406,27.0
maize_k,1997,58549.0,25.1089724593,105.6594337219,181319.0
maize_k,1997,73445.0,25.6112771389,79.2321509411,217603.0
maize_k,1997,5972.0,29.0296714529,94.5315626054,16426.0
maize_k,1997,292.0,28.6636906941,64.4971864054,522.0
maize_k,1997,37593.0,26.5044679729,66.9990461626,132035.0
maize_k,1997,340.0,28.9292607389,73.2627525748,742.0
maize_k,1997,109411.0,28.6439426144,64.3334025458,261359.0
maize_k,1997,109236.0,26.2995955859,64.1548371903,281572.0
maize_k,1997,1267.0,25.5611851677,91.3528082374,3407.0
maize_k,1997,4808.0,29.2974381342,72.5894713676,13259.0
maize_k,1997,1510.0,27.4130970995,109.8021317817,3295.0
maize_k,1997,11503.0,28.2772324531,68.3390814729,40636.0
maize_k,1997,102.0,26.5621789585,84.2086100284,251.0
maize_k,1997,20029.0,28.183812146,85.8379413871,65080.0
maize_k,1997,9911.0,26.4898787471,92.8922994178,34724.0
maize_k,1997,55694.0,26.4579163563,104.4254002289,131489.0
maize_k,1997,3049.0,26.1626916955,78.2017645206,7239.0
maize_k,1997,86.0,26.7415924684,73.0208347131,174.0
maize_r,1997,26432.0,24.9616414652,61.4759319624,50103.0
maize_r,1997,600.0,25.0902205377,206.975275465,1225.0
maize_r,1997,339.0,21.1526273026,240.9735561428,694.0
maize_r,1997,38.0,22.4684098588,139.156326997,68.0
maize_r,1997,15892.0,21.449135427,245.5658150575,35590.0
maize_r,1997,494.0,24.0278102358,235.5889556767,1010.0
maize_r,1997,1789.0,24.127029524,160.0766324272,3654.0
maize_r,1997,228.0,21.5459139754,93.5491802014,462.0
maize_r,1997,9.0,22.7102728166,232.6410489021,18.0
maize_r,1997,239.0,21.579522085,69.3953856469,489.0
maize_r,1997,1338.0,21.9308930584,98.6663489228,2712.0
maize_r,1997,336.0,26.2644216175,240.480845626,658.0
maize_r,1997,2.0,24.8297763496,107.8209297034,4.0
maize_r,1997,1104.0,25.3839549261,66.8764479832,2239.0
maize_r,1997,4.0,23.8964441054,186.291331017,6.0
ragi,1997,2501.0,24.3913352886,106.400992139,2525.0
ragi,1997,17185.0,33.8121486546,100.7004361229,12676.0
ragi,1997,178931.0,26.7692546262,100.7228343469,309672.0
ragi,1997,53900.0,33.7584995121,105.8747912638,60319.0
ragi,1997,62426.0,33.4964387824,99.8330948676,53619.0
ragi,1997,5389.0,24.4943806306,98.041259853,3889.0
ragi,1997,76.0,32.9186949047,91.089530404,99.0
ragi,1997,106980.0,30.4292573965,92.3575975747,143458.0
ragi,1997,360.0,20.7411965186,100.8967071327,470.0
ragi,1997,100225.0,21.290469637,97.9007962408,142957.0
ragi,1997,78428.0,24.186260313,103.4446603891,137349.0
ragi,1997,90302.0,31.6222833644,101.297465168,133034.0
ragi,1997,20950.0,30.5231864808,98.1828374372,19094.0
ragi,1997,180184.0,20.2826102516,102.8576042298,195029.0
ragi,1997,84.0,23.1266718848,94.6088815817,92.0
rice,1997,11240.0,27.7139501455,11.6210958412,26256.0
rice,1997,63734.0,28.1310954379,12.6315519426,91677.0
rice,1997,34112.0,20.3550817399,15.1432734498,96733.0
rice,1997,3507.0,18.1820720538,14.6944337738,11033.0
rice,1997,9385.0,29.6261674461,13.3698406822,6109.0
rice,1997,450.0,28.8049030807,13.9539667828,635.0
rice,1997,48109.0,26.287081873,17.1120429751,112905.0
rice,1997,39725.0,17.9113061694,13.1813993285,136465.0
rice,1997,92885.0,25.697764665,16.7724974938,180119.0
rice,1997,89655.0,17.6119164017,17.9441822391,103406.0
rice,1997,6591.0,18.8779663445,19.5842548675,12179.0
rice,1997,53948.0,19.5767229365,12.2656239078,147084.0
rice,1997,39414.0,22.0596836446,16.6941685972,87476.0
rice,1997,12130.0,28.0278381535,16.4575103418,26791.0
rice,1997,57997.0,23.7919305768,16.3639857223,150905.0
rice,1997,105069.0,28.5317131449,14.3136621701,306717.0
rice,1997,92636.0,20.4665748578,19.0921594903,287526.0
rice,1997,162939.0,27.4212839915,13.2173764315,370499.0
rice,1997,22589.0,20.0177815919,13.2970932633,57865.0
rice,1997,85415.0,27.1666767229,12.2460583159,128113.0
sugarcane,1997,125173.0,21.0538505285,81.4284114774,11177949.0
sugarcane,1997,6945.0,25.4367036809,86.0989206223,488234.0
sugarcane,1997,1585.0,27.9319689599,115.435177929,149070.0
sugarcane,1997,22571.0,23.950004903,127.0325405992,1543856.0
sugarcane,1997,56484.0,27.0330601512,119.814582904,5795258.0
sugarcane,1997,1488.0,23.3577817009,93.5575228136,163978.0
sugarcane,1997,8378.0,29.3255724861,78.2848771871,827746.0
sugarcane,1997,2154.0,20.4542877889,112.0280058609,188260.0
sugarcane,1997,7762.0,28.2655428518,75.4141584952,442434.0
sugarcane,1997,5032.0,27.2813540408,99.2246201009,411114.0
sugarcane,1997,4919.0,25.002851053,112.8305832407,495343.0
sugarcane,1997,7.0,26.4486644526,125.6993238155,658.0
sugarcane,1997,3183.0,27.5795852307,116.2687050129,290290.0
sugarcane,1997,26846.0,25.0829579746,95.4737692097,2958429.0
sugarcane,1997,19349.0,23.6783327199,92.4803461072,2058734.0
sugarcane,1997,1304.0,20.8577782714,115.8104498403,122641.0
sugarcane,1997,12141.0,20.1528696649,109.5842362001,1614753.0
sugarcane,1997,1732.0,22.1497268029,127.3069408523,171122.0
sugarcane,1997,1804.0,29.5696497922,121.3207783324,99400.0
turmeric,1997,818.0,24.2447163348,162.554015722,4496.0
turmeric,1997,1.0,26.3419103843,219.1716873996,6.0
turmeric,1997,54.0,27.0374808911,203.88102383,181.0
turmeric,1997,107.0,24.083684477,281.0271836619,109.0
turmeric,1997,375.0,26.9579282884,267.9279055329,2468.0
turmeric,1997,32.0,24.8779870228,165.9649210385,15.0
turmeric,1997,3.0,27.930547945,207.2864200877,17.0
turmeric,1997,102.0,27.6334281084,241.5889388113,236.0
turmeric,1997,405.0,25.7869193996,247.3834531822,714.0
turmeric,1997,16.0,27.2951879478,294.9638396587,89.0
turmeric,1997,8.0,25.1856976169,169.8757620997,44.0
turmeric,1997,4.0,25.1593745522,153.7588007524,22.0
turmeric,1997,72.0,27.6334772124,270.7482271239,453.0
turmeric,1997,2316.0,24.6645722123,210.5686987644,15147.0
turmeric,1997,16.0,26.1660842983,160.7651751271,38.0
turmeric,1997,3.0,26.9287498156,202.9866546032,17.0
turmeric,1997,10.0,25.4897871079,159.3110185629,56.0
wheat,1997,55130.0,21.9399538162,47.8978276782,41220.0
wheat,1997,2900.0,23.1990136247,72.3711743458,1893.0
wheat,1997,7110.0,25.0901760225,33.5048789535,1585.0
wheat,1997,60800.0,25.0329617195,43.7378504339,29117.0
wheat,1997,68.0,24.3188257185,41.0383201608,39.0
wheat,1997,518.0,25.7794511887,40.8636733531,381.0
wheat,1997,86170.0,21.237690767,38.7529291274,34260.0
wheat,1997,19143.0,25.9473231981,56.2898585779,6226.0
wheat,1997,4.0,24.8376373542,26.2935854252,4.0
wheat,1997,18598.0,23.7239531408,72.6308895615,3725.0
wheat,1997,255.0,22.8862012131,37.0832096686,60.0
wheat,1997,2.0,25.2579137346,60.5545838787,2.0
arhar_tur,1998,6154.0,33.352918506,61.4259921526,2602.0
arhar_tur,1998,5522.0,34.4260572412,63.1516623417,2151.0
arhar_tur,1998,8602.0,32.8148614872,62.0587364677,3645.0
arhar_tur,1998,7563.0,34.4732168341,64.5731536924,2234.0
arhar_tur,1998,936.0,31.8383166727,62.0562549654,436.0
arhar_tur,1998,54354.0,32.9177803964,64.1340859257,41464.0
arhar_tur,1998,14304.0,30.2791173521,61.0356435019,5191.0
arhar_tur,1998,2487.0,33.4172928771,60.9694439758,572.0
arhar_tur,1998,1035.0,30.0051538587,63.1772447239,482.0
arhar_tur,1998,7582.0,30.3204921387,64.8680041832,3393.0
arhar_tur,1998,6657.0,31.4869300164,62.6913200527,3428.0
arhar_tur,1998,2473.0,34.4911950907,63.122232213,611.0
arhar_tur,1998,2449.0,32.2445244136,62.6558254327,503.0
arhar_tur,1998,273391.0,34.2242169632,63.0459577745,124147.0
arhar_tur,1998,3730.0,32.8926654154,62.2391052899,858.0
arhar_tur,1998,7477.0,32.4980573854,62.354440017,2216.0
arhar_tur,1998,12694.0,31.4451249866,64.9316881032,11239.0
arhar_tur,1998,13481.0,30.5935265574,60.1160988002,2818.0
arhar_tur,1998,2060.0,30.7154350907,62.7650292688,959.0
arhar_tur,1998,6687.0,34.3325208569,62.7458617535,1957.0
arhar_tur,1998,19100.0,34.7497152328,64.1930875783,3429.0
arhar_tur,1998,508.0,33.5176862224,61.5665715791,236.0
arhar_tur,1998,15946.0,31.0017526848,60.5266665741,6787.0
arhar_tur,1998,204.0,31.4596069586,63.7101435823,95.0
bajra,1998,48855.0,19.9659975532,46.791950817,52375.0
bajra,1998,30894.0,18.5714777678,48.3250481671,8901.0
bajra,1998,25918.0,16.5179551745,57.132650222,24114.0
bajra,1998,13994.0,19.626673826,51.6953557645,6398.0
bajra,1998,88693.0,18.4015951434,46.4485254577,64614.0
bajra,1998,790.0,19.0945883562,52.2572022408,548.0
bajra,1998,8649.0,16.09172885,58.9717411814,6113.0
bajra,1998,914.0,19.5690088532,47.9669488114,515.0
bajra,1998,1190.0,18.0154692824,40.6847833854,598.0
bajra,1998,74628.0,17.1232079329,48.9966972286,47736.0
bajra,1998,892.0,17.9834773883,46.2232334894,589.0
bajra,1998,172.0,16.184042482,56.0683749211,81.0
bajra,1998,54118.0,19.0786460995,50.5578661003,26932.0
bajra,1998,5.0,17.6104977559,40.3506948928,2.0
bajra,1998,6.0,17.269579254,49.9004130467,3.0
bajra,1998,65722.0,17.7587951533,42.2312166622,42536.0
bajra,1998,376.0,15.0996743285,59.0891825671,176.0
coriander,1998,43.0,23.7531679849,9.2907906492,4.0
coriander,1998,129.0,19.5658693247,9.2213650618,14.0
coriander,1998,465.0,21.4431056222,8.946424258,55.0
coriander,1998,11095.0,17.5270252319,9.7163498606,2241.0
coriander,1998,12.0,25.1688119935,8.6162685082,2.0
coriander,1998,786.0,19.6013868665,8.6612778939,83.0
coriander,1998,381.0,25.9051433991,7.767078874,36.0
coriander,1998,166.0,16.4079764785,7.933203633,16.0
coriander,1998,1390.0,26.4676846463,7.7011082862,142.0
coriander,1998,698.0,27.8313534752,8.7784294327,70.0
coriander,1998,127.0,27.1202969443,9.2494569827,13.0
coriander,1998,576.0,25.4026466833,8.4421886912,59.0
coriander,1998,113.0,18.0622688685,9.6275019492,12.0
coriander,1998,46.0,18.2792257675,8.095906892,7.0
coriander,1998,226.0,26.0471456607,7.6869312572,28.0
coriander,1998,518.0,24.861357545,8.8721180393,53.0
coriander,1998,60.0,26.536213962,9.1705681012,6.0
coriander,1998,413.0,27.7200956446,9.8392074633,72.0
coriander,1998,639.0,27.3540131949,9.8838802305,63.0
coriander,1998,52.0,15.6515173315,9.1623039806,6.0
cotton_lint,1998,15225.0,19.9263255323,89.8804779389,22129.0
cotton_lint,1998,65829.0,17.3859060138,75.3758740481,98969.0
cotton_lint,1998,66412.0,25.5173961823,71.6322226278,85696.0
cotton_lint,1998,3616.0,29.7366064702,92.1257062591,3439.0
cotton_lint,1998,8727.0,30.8746851407,69.2799621771,12667.0
cotton_lint,1998,12738.0,31.4629905677,65.6097274636,32303.0
cotton_lint,1998,3270.0,25.1557601034,78.1861565797,4898.0
