District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
BELGAUM,1997,Kharif,11268.0,1820.0,34.7678088212,6.7167433989,62.9620117333,29.0383983107,39.5673890069,14.4771018303,4.3804298176,12.5605977757,arhar/tur
BELLARY,1997,Kharif,10477.0,3324.0,31.7333256016,6.724947052,61.7352191189,32.4280998216,36.2785804409,14.0909376191,7.1822446416,10.9922951809,arhar/tur
BENGALURU URBAN,1997,Kharif,6057.0,4131.0,33.873299362,7.4795011697,60.3210326021,28.4929779459,39.7536999059,14.7949068189,6.6500859958,10.859402154,arhar/tur
BIDAR,1997,Kharif,48463.0,3499.0,34.3915162459,7.2316387673,61.4843360394,26.7539720268,38.6378501407,17.6972154106,7.1027206137,12.7603626702,arhar/tur
BIJAPUR,1997,Kharif,20286.0,2428.0,33.0415213257,7.1924310653,64.1848202699,25.2139109189,39.0319583423,16.0307218231,4.0272447501,12.6964721676,arhar/tur
CHIKMAGALUR,1997,Kharif,930.0,217.0,31.1110943706,7.3828798296,63.7065556443,31.6259787217,35.100755471,14.5103044959,7.795872282,12.1852616176,arhar/tur
CHITRADURGA,1997,Kharif,10247.0,4225.0,33.3330648316,6.9866086341,60.1679161555,27.2985992443,36.8117286988,15.1711966399,5.1168739617,13.7162187215,arhar/tur
DHARWAD,1997,Kharif,13160.0,4851.0,30.4035312387,6.7837779435,64.2815065072,27.6364722608,37.5485813037,16.3747295932,4.0385198585,10.3006716577,arhar/tur
GULBARGA,1997,Kharif,238994.0,60394.0,31.9827984377,7.3256427007,62.2793780666,30.1096215314,35.971173616,14.4932495579,6.6879169794,12.6360236612,arhar/tur
HASSAN,1997,Kharif,3432.0,828.0,32.8197595965,7.0300686237,60.8377285478,26.8835756999,36.8725181985,17.488088074,5.1006937071,12.610981824,arhar/tur
KOLAR,1997,Kharif,9925.0,3432.0,32.9979240077,7.1433553097,64.8829301656,26.2043044099,38.9866247307,14.4833663883,4.0191732155,13.2154896556,arhar/tur
MANDYA,1997,Kharif,1806.0,422.0,32.2911311832,7.2766320243,64.6183750764,25.6665068368,35.3139877829,15.9122664863,5.1541273371,12.0835809004,arhar/tur
