avg_year_temp,ph,rainfall,N,P,K,crop
33.2593714062,7.0309309923,60.8408584484,6.7222723879,15.6024175568,10.1207693516,arhar
33.324233219,6.5625556925,64.7589458161,6.08475774,16.0134975191,11.4723837516,arhar
33.7362837152,6.5574212324,61.5734247757,5.7030822609,16.4307689421,11.6806590326,arhar
32.3415334484,6.8217299802,63.7617901401,6.17862379,15.97882845,10.3087867404,arhar
32.7777798696,7.1510056825,61.350979761,7.1669404457,17.7426424338,11.2563577273,arhar
33.1645706769,6.6493415186,62.52861242,6.2236436653,14.4401853755,13.8679560354,arhar
32.4152523404,6.6225650008,63.2008986763,7.1143440657,15.6539184039,11.5871124204,arhar
33.2197496157,7.4537172036,60.3571758529,4.6877540244,17.0971632179,10.5573711138,arhar
31.8824257346,7.1300073896,60.1973424102,6.6281746388,14.7644898047,12.0814380089,arhar
32.7336019038,7.2450453544,64.9982148891,4.1039084446,16.8626990558,12.1689122547,arhar
33.0460791196,7.4329640244,64.8065312814,6.6478532848,15.2364108663,12.8061621018,arhar
33.1347419592,7.3258314126,60.5751088673,7.9563650112,17.2088378304,12.5546025922,arhar
30.992790892,6.6790434675,60.1130694481,7.0249666495,16.8131741926,10.0224057453,arhar
34.7678088212,6.7167433989,62.9620117333,4.3804298176,14.4771018303,12.5605977757,arhar
31.7333256016,6.724947052,61.7352191189,7.1822446416,14.0909376191,10.9922951809,arhar
33.873299362,7.4795011697,60.3210326021,6.6500859958,14.7949068189,10.859402154,arhar
34.3915162459,7.2316387673,61.4843360394,7.1027206137,17.6972154106,12.7603626702,arhar
33.0415213257,7.1924310653,64.1848202699,4.0272447501,16.0307218231,12.6964721676,arhar
31.1110943706,7.3828798296,63.7065556443,7.795872282,14.5103044959,12.1852616176,arhar
33.3330648316,6.9866086341,60.1679161555,5.1168739617,15.1711966399,13.7162187215,arhar
30.4035312387,6.7837779435,64.2815065072,4.0385198585,16.3747295932,10.3006716577,arhar
31.9827984377,7.3256427007,62.2793780666,6.6879169794,14.4932495579,12.6360236612,arhar
32.8197595965,7.0300686237,60.8377285478,5.1006937071,17.488088074,12.610981824,arhar
32.9979240077,7.1433553097,64.8829301656,4.0191732155,14.4833663883,13.2154896556,arhar
32.2911311832,7.2766320243,64.6183750764,5.1541273371,15.9122664863,12.0835809004,arhar
31.0923920664,7.1077849045,62.6260707821,6.0052093721,15.0252506763,11.8518593795,arhar
32.204177489,7.3486290344,61.243971541,6.9252089587,16.8410640501,12.0787601536,arhar
30.1676284758,6.7821033895,62.2249963974,7.607977088,14.3298819101,12.7870782999,arhar
33.5038357276,6.829546153,61.3787163702,5.0880310484,14.3495452166,12.4275436062,arhar
31.7552879887,6.913961569,60.267183499,6.8278608809,17.1101402716,10.880958226,arhar
31.2917222579,6.6977347593,64.0349799826,7.8926831745,14.2127895388,10.1785064856,arhar
30.7102962878,7.4199431505,64.6406741185,5.3855604567,16.4631380005,12.4496090298,arhar
31.1526038681,6.5255037967,64.5266688548,4.8157577124,16.8257964933,10.9645001828,arhar
30.3280829506,6.8882191749,62.401428162,6.1340735763,17.684976699,10.3425798718,arhar
30.6647879833,6.850310176,62.7763792808,5.6653868488,17.7560387012,12.5781529614,arhar
34.4972599476,6.6083309638,64.0720216504,4.9665131008,16.3346444074,11.8511142488,arhar
33.0144083141,7.3950902128,64.182458458,4.5918574774,15.170349378,10.5442439533,arhar
30.5494309984,6.8856015968,62.5235236319,4.5527374365,16.8635441492,11.2101955566,arhar
32.9694884608,6.6779990263,60.3043782071,6.6864131324,17.0174330885,10.2616232814,arhar
15.8176344776,6.4195926397,44.7067894058,31.7002572924,41.6645187333,0.0,bajra
17.9038954437,5.8204760726,48.5729935168,32.5434574636,42.256599162,0.0,bajra
19.3746649346,6.3511284401,59.5865401342,29.5659352264,38.7098931571,0.0,bajra
18.1454682746,6.0444100796,42.8289737376,32.1524002892,42.1780235586,0.0,bajra
15.4161703818,6.1141112175,50.5028738433,32.3405906906,39.7294679267,0.0,bajra
18.4185757749,5.8516784128,56.8345589917,30.3195091058,38.3349432396,0.0,bajra
19.8926621409,5.9359168629,54.5493464516,28.2218333836,38.7118985682,0.0,bajra
19.8329500763,6.4673306671,45.4313184118,28.4572510215,37.9593806107,0.0,bajra
19.3790142508,6.368864055,49.7260003983,30.3368739388,39.4338168038,0.0,bajra
15.6597889258,5.9457327841,47.6007917423,31.9983396879,38.4141632022,0.0,bajra
19.1003037767,6.3115780133,55.0886760836,29.1323234515,40.2658797011,0.0,bajra
16.1729112271,6.328631685,41.3486937082,29.169532721,42.7263299089,0.0,bajra
15.4354142537,6.0836281169,46.0036856136,29.5627488162,38.9595356023,0.0,bajra
16.8733438179,5.8222770529,49.26884413,31.0620616199,42.4972303388,0.0,bajra
15.5083573291,5.9107748054,59.9358933956,29.4168219001,40.9633485103,0.0,bajra
15.3551976355,5.8104625516,43.4546109855,28.4456131531,41.1447007214,0.0,bajra
15.2868786136,6.1349467253,46.1216418117,27.3105444778,40.5212172747,0.0,bajra
16.3981593116,5.8888633986,52.8256445609,32.2411428813,39.2664073084,0.0,bajra
16.0967377678,6.3911221497,47.9407233331,30.0081050083,42.8004148609,0.0,bajra
17.060504046,6.4185981438,47.2436001063,29.3295035886,42.9695812261,0.0,bajra
16.304046498,5.8849555253,57.6471863213,28.2344338088,42.1369963988,0.0,bajra
18.4301658181,5.851697027,44.5868635415,27.645403664,40.602887411,0.0,bajra
15.8835335418,5.9150520668,44.8733959156,28.1723534139,38.6351421929,0.0,bajra
18.2664948612,6.4878513777,53.1693418359,32.8440197388,40.1198785083,0.0,bajra
19.3039382865,5.8481674939,55.6003337966,27.6165474962,37.2629959067,0.0,bajra
17.3285672104,5.8829548304,44.0667459408,30.994846553,42.6812840083,0.0,bajra
15.1416425791,6.0880794813,42.0297609287,31.491262179,41.4653540267,0.0,bajra
16.9378782137,6.0648495211,53.7519514064,31.125257876,38.5032860748,0.0,bajra
25.4821001542,9.0973679639,8.9361925112,0.0,38.2844658317,0.0,coriander
17.4728177352,8.832218478,9.1876597277,0.0,37.5922613823,0.0,coriander
18.4499985306,8.1047652047,9.2748261999,0.0,42.2632494093,0.0,coriander
26.0737018363,8.2545451244,9.8977481258,0.0,37.6602769651,0.0,coriander
24.607222632,9.9317157279,9.2549258241,0.0,42.3906567107,0.0,coriander
15.1974883978,9.3933725159,7.7159509014,0.0,42.16534299,0.0,coriander
26.2743015315,9.5829650813,9.4025229609,0.0,37.812369988,0.0,coriander
24.6483063457,8.3476373225,9.686854944,0.0,37.3926039358,0.0,coriander
21.590239651,8.3181648469,8.3670913557,0.0,40.3175974546,0.0,coriander
21.2908169159,8.4433601187,7.5663036154,0.0,41.6516669011,0.0,coriander
26.9691361039,8.374907846,8.0018301807,0.0,38.9822048477,0.0,coriander
18.0163286894,8.0853920689,9.434699052,0.0,39.2782416553,0.0,coriander
25.3777424813,8.6141020752,7.8808779702,0.0,42.6864329629,0.0,coriander
16.8737364391,9.8488093258,9.532565376,0.0,39.7165550125,0.0,coriander
24.8928446261,8.2210962109,8.921672353,0.0,41.7499317433,0.0,coriander
24.287292383,9.756370468,8.4685380896,0.0,38.5337034685,0.0,coriander
16.5462072028,8.1025834213,9.6036338061,0.0,40.8351826645,0.0,coriander
18.9525194906,9.5676406116,8.6257960188,0.0,41.2321182056,0.0,coriander
23.2939258267,9.8374520366,9.719756383,0.0,37.0671676537,0.0,coriander
21.6399844317,9.1173295575,8.1220672748,0.0,41.9643024132,0.0,coriander
23.0714908102,8.067853929,9.9078030786,0.0,37.2263708233,0.0,coriander
18.5254171068,9.4394895147,8.7593876437,0.0,40.9538891689,0.0,coriander
17.9425221375,9.3806208098,7.5308272336,0.0,41.5560014206,0.0,coriander
23.6754415361,9.0647906155,7.9703551333,0.0,38.6002669865,0.0,coriander
21.0210829589,9.7660388553,8.2343937577,0.0,42.2959969489,0.0,coriander
16.431811525,9.4146273298,9.8319684527,0.0,40.1206214632,0.0,coriander
23.3169085194,8.7365389055,9.0606643237,0.0,39.8544771487,0.0,coriander
21.0725806279,8.3603664718,9.9989679661,0.0,37.6661303133,0.0,coriander
25.9312792722,9.9579713326,8.6732046474,0.0,42.1119869364,0.0,coriander
24.3744787448,9.6127550246,9.0989304283,0.0,39.4956735374,0.0,coriander
20.1462320677,8.0621732843,9.1948704645,0.0,37.9473469664,0.0,coriander
15.5797647434,8.2246811266,9.3923712747,0.0,42.9342303978,0.0,coriander
18.537507359,9.5146319507,7.7680065682,0.0,38.4673025128,0.0,coriander
22.0907204096,9.420919936,9.7657569935,0.0,39.351693104,0.0,coriander
26.2856903304,7.5890985208,67.5877586713,12.6320966005,27.3741202094,0.0,cottonlint
15.2602799209,6.0504838877,76.2194744612,11.623270391,30.905296647,0.0,cottonlint
16.1132131136,7.5588894237,86.9476758755,13.861878722,28.6515761354,0.0,cottonlint
30.0520317405,7.377946076,60.1740833843,11.6897549601,29.6231797464,0.0,cottonlint
32.8582267001,6.3192959784,72.2779340197,13.8578010418,31.3935268621,0.0,cottonlint
34.6684841633,7.5820583268,90.1124225498,12.0025432855,32.2239263216,0.0,cottonlint
19.0750303339,7.0391468055,84.4736520776,12.2392964429,29.2168564026,0.0,cottonlint
33.0015255947,6.4023833171,92.2506142396,13.3634579418,28.2712015551,0.0,cottonlint
20.1426309048,6.4404180787,92.6791980752,12.7174550317,28.6160349003,0.0,cottonlint
23.6197567451,7.5158473557,78.7832965135,12.5958827686,28.2681358935,0.0,cottonlint
27.4417743101,6.4335774974,93.435782307,12.4364151994,29.4242706463,0.0,cottonlint
21.7490326996,7.6492921358,91.243802769,13.8547398849,30.2041897474,0.0,cottonlint
