avg_year_temp,ph,rainfall,N,P,K,crop
22.7029402244,5.8450880802,91.8621310518,6.8214503167,21.7559600068,0.0,cowpea
24.5699580807,5.6247951006,96.6392190289,4.9574342059,22.8204578089,0.0,cowpea
27.4336925529,6.2525942824,106.6455894524,7.641627573,19.8825891972,0.0,cowpea
31.5841939568,6.4985423858,80.5613679183,6.6087588395,21.9904303418,0.0,cowpea
23.7497904422,6.0635520362,109.1239769658,9.000981973,21.1691503822,0.0,cowpea
23.7705203633,6.2581393384,99.8274387341,5.5900605115,23.3954068263,0.0,cowpea
33.2589395234,5.5327782503,105.6660703808,6.0283535629,20.1183925648,0.0,cowpea
25.8795603774,5.5395317354,79.7294532276,10.0601367158,21.4017725762,0.0,cowpea
26.2664462532,6.1014484262,92.7252883875,8.712138264,20.2639803465,0.0,cowpea
27.5114934113,5.9926176135,108.5384934092,10.3864097429,20.2692665254,0.0,cowpea
23.9833409109,5.5688929683,104.1774502966,6.7599181416,24.9525821268,0.0,cowpea
22.6232679268,6.1141287393,107.3589273669,10.4262607149,23.4895047723,0.0,cowpea
27.5318852667,6.485348375,106.5868853187,8.866612242,19.4021852318,0.0,cowpea
26.5397906652,5.7214705132,99.7513760533,5.4371740518,19.078260297,0.0,cowpea
34.7577403444,5.6696811452,82.9620948266,10.1821542713,21.2424358974,0.0,cowpea
32.0512475596,6.2005365343,103.9034623904,10.4544033561,20.5005795201,0.0,cowpea
29.0350308046,6.2848577151,108.3454765121,6.3415946707,20.2575780611,0.0,cowpea
32.8258213977,6.1520745633,106.475788971,7.9052423297,21.2456621719,0.0,cowpea
25.7391726083,5.5542842812,94.4419428205,5.6256603291,22.5545201357,0.0,cowpea
30.4945669775,6.2718355273,84.3983895206,5.0055599139,20.4550458228,0.0,cowpea
28.3077160053,5.5323480054,86.8991059518,6.2483092795,20.3580988733,0.0,cowpea
22.7247730153,6.0965211815,104.2625055503,5.7283594349,20.4436920287,0.0,cowpea
34.5314568335,6.2920745184,107.089944446,6.8923554881,19.3204835408,0.0,cowpea
30.7661615118,5.9597709844,80.0064090839,9.8155693258,19.6931356294,0.0,cowpea
23.9665686987,5.6394559523,99.5287112382,8.859321112,20.1837843779,0.0,cowpea
25.9075838345,6.4382591221,99.1267409291,5.2749150793,19.9834401979,0.0,cowpea
22.912263456,6.3444822815,95.4067200169,10.1768316085,24.8418900491,0.0,cowpea
30.3414622961,6.0126452085,85.9226501061,9.8098587914,19.5567490346,0.0,cowpea
28.4990383735,6.2558644836,90.9543625909,8.7856595908,20.5825111727,0.0,cowpea
27.0413564528,5.892784355,81.7678239085,8.0366707441,23.4145255214,0.0,cowpea
27.5330795023,5.83339954,106.6279735198,7.3077202919,19.1844751727,0.0,cowpea
23.204593567,6.1009096965,108.2109330419,8.1365870705,19.7009882472,0.0,cowpea
33.0539447297,5.9509530588,98.6054515679,9.4412876898,21.7997264923,0.0,cowpea
34.666195206,5.9717827279,87.1479275207,8.6003046395,20.8819594041,0.0,cowpea
23.206128223,5.9394082166,108.2682686095,5.7525928189,22.1556382912,0.0,cowpea
29.9615845023,5.6401361918,107.3872556877,9.5566377829,21.1110386213,0.0,cowpea
23.3668019669,5.6389193154,95.1408421604,9.8617336952,22.6144795452,0.0,cowpea
26.6995483497,5.5887463603,77.2890709656,4.8481530532,20.2393140449,0.0,cowpea
29.3489551464,5.7702256541,100.1947751152,9.1944608917,24.0558255609,0.0,cowpea
30.2743543796,6.4485172418,104.2752896265,5.8909004379,22.4379680453,0.0,cowpea
22.914961704,6.2489891946,76.200768789,8.3416895343,23.4100479135,0.0,cowpea
23.8989762167,5.8149663906,77.9500656324,7.9448628334,22.2697193859,0.0,cowpea
25.0682211496,6.3057410422,82.9267972442,6.5729394475,20.7108349097,0.0,cowpea
26.8299629116,5.5642114553,81.4149468451,10.1966852364,19.3436545095,0.0,cowpea
22.3395405193,6.1391853587,91.4070068576,8.9492529495,21.193088161,0.0,cowpea
23.1702162862,6.0481547221,99.673241805,6.3234684917,21.2644002967,0.0,cowpea
34.2069680015,6.2733175895,93.836255084,7.3259554652,23.4906239418,0.0,cowpea
31.7953688537,5.7737372812,104.3075989419,7.5285162323,21.3868357813,0.0,cowpea
29.6385756668,5.5805337882,90.9704253575,7.6294644032,21.401493883,0.0,cowpea
30.6147973484,6.2017638833,100.4329344441,7.7289022219,22.1603431354,0.0,cowpea
