crop,Crop_Year,Area,Temperature,Rainfall,Production
gram,1998,17835.0,25.6156056776,64.4814638446,15170.0
gram,1998,50.0,24.9105990732,61.2246523645,35.0
gram,1998,24199.0,27.6668149797,78.0573817435,17873.0
gram,1998,9325.0,27.4038758715,77.9788003109,6070.0
gram,1998,41731.0,26.1081857337,69.3832961452,18557.0
gram,1998,48080.0,29.4389030997,72.7638494228,29390.0
gram,1998,748.0,25.6519313351,64.1536706295,201.0
gram,1998,3670.0,26.1366940216,70.4731984038,3476.0
gram,1998,2960.0,25.4795910417,78.8234266192,1627.0
gram,1998,2151.0,25.8492109816,72.6652057772,1114.0
gram,1998,25359.0,24.4866429351,64.8339373201,15281.0
gram,1998,26180.0,24.7982204204,82.2736080949,13291.0
gram,1998,119488.0,27.187088186,79.7241615204,62134.0
gram,1998,3937.0,27.3786499565,86.3762396402,909.0
gram,1998,1902.0,29.9387647505,64.4840482096,1169.0
gram,1998,21.0,24.1677582076,84.3562530878,15.0
gram,1998,11179.0,29.2175538568,80.8687402358,5352.0
gram,1998,57.0,29.3676458934,77.0701029235,38.0
gram,1998,923.0,27.2365322383,68.6911024012,213.0
gram,1998,14597.0,27.0706220674,68.4929303809,10077.0
gram,1998,332.0,25.343608461,66.8969539291,186.0
gram,1998,474.0,28.2876601339,73.528871487,260.0
gram,1998,128.0,29.9894317174,67.3493546924,70.0
gram,1999,18807.0,26.6543775636,69.4466636803,12599.0
gram,1999,36.0,28.343352406,67.7850346872,22.0
gram,1999,26089.0,29.5653900785,64.6915885271,21028.0
gram,1999,5788.0,27.1248713092,81.8596728918,3405.0
gram,1999,116.0,27.2360556033,61.1676435227,60.0
gram,1999,38957.0,27.2892626045,80.0394392221,15821.0
gram,1999,39763.0,26.0194887374,75.8562357763,31992.0
gram,1999,1075.0,27.6702769611,85.4283917625,575.0
gram,1999,2635.0,26.498019429,84.2015859695,1547.0
gram,1999,3168.0,25.0535976722,66.5685428503,1252.0
gram,1999,1891.0,26.5155132681,76.8145278431,757.0
gram,1999,24898.0,24.7330612382,81.4405695035,13148.0
gram,1999,23815.0,26.6442381492,66.3564667675,9064.0
gram,1999,101945.0,29.0213405067,79.1297545694,50003.0
gram,1999,2014.0,29.6319373601,83.6354078809,1182.0
gram,1999,1987.0,24.0230127968,86.3405651809,804.0
gram,1999,9148.0,25.4069670626,66.2529678431,3465.0
gram,1999,213.0,28.2809572774,87.8224826412,117.0
gram,1999,1335.0,29.9649038003,81.9319050553,694.0
gram,1999,14620.0,25.0048370923,69.29879379,7262.0
gram,1999,373.0,29.6382017598,67.569101317,194.0
gram,1999,553.0,28.8390540157,83.2122449827,287.0
gram,1999,128.0,28.5228957448,68.1074726722,67.0
gram,2000,16454.0,26.8695825565,81.913577992,9834.0
gram,2000,20.0,28.1842619378,79.6974521114,13.0
gram,2000,34072.0,28.8435875548,66.6224179831,18483.0
