crop,Crop_Year,Area,Temperature,Rainfall,Production
groundnut,1997,75288.0,24.1167157116,52.4498657663,58174.0
groundnut,1997,76932.0,26.7203576483,62.9350000761,38353.0
groundnut,1997,19469.0,29.2559144625,69.2705087419,19986.0
groundnut,1997,2499.0,28.9407704568,56.9153324542,648.0
groundnut,1997,61771.0,29.7659785957,51.8780597303,18424.0
groundnut,1997,5010.0,23.0417147085,67.3177092807,6189.0
groundnut,1997,131629.0,29.6195994684,58.9065704661,88231.0
groundnut,1997,116222.0,27.0564580298,72.0826550282,73437.0
groundnut,1997,66070.0,22.7260990038,59.301266382,29837.0
groundnut,1997,3506.0,22.4828774662,63.7488255615,4250.0
groundnut,1997,86924.0,29.1311621351,69.0776678989,68844.0
groundnut,1997,7230.0,22.0137650156,69.7841485165,4372.0
groundnut,1997,36156.0,29.5281965699,66.0118386426,36705.0
groundnut,1997,62527.0,25.9995307036,74.5671793366,22818.0
groundnut,1997,6407.0,29.826786958,57.5412186309,7075.0
groundnut,1997,89163.0,20.7532497842,70.2958951226,47699.0
groundnut,1997,863.0,28.5338448164,58.8744404209,520.0
groundnut,1998,16368.0,26.4875806046,71.6311556369,7734.0
groundnut,1998,23543.0,23.9658296829,65.0166540479,24490.0
groundnut,1998,81367.0,21.796217223,60.8621400522,68291.0
groundnut,1998,68396.0,26.4641866482,63.6657591935,61555.0
groundnut,1998,769.0,28.1536292484,71.5339868578,709.0
groundnut,1998,2344.0,24.9790447812,66.9453078365,681.0
groundnut,1998,56125.0,20.4159680741,64.5463281323,14096.0
groundnut,1998,17248.0,25.2796216145,59.8172073888,22861.0
groundnut,1998,5561.0,20.6702608299,63.6469874842,7173.0
groundnut,1998,155527.0,23.3522160105,69.5143274303,191503.0
groundnut,1998,27008.0,22.8950405216,68.4728489976,25351.0
groundnut,1998,38406.0,27.7249853022,70.0994859383,38237.0
groundnut,1998,77698.0,20.9776328182,62.9452253252,53509.0
groundnut,1998,59104.0,29.292442318,50.8629047853,19989.0
groundnut,1998,1884.0,23.5852291127,74.108326663,1826.0
groundnut,1998,29150.0,27.2300878307,72.5022303595,33033.0
groundnut,1998,84759.0,21.1458866442,64.5104971814,69141.0
groundnut,1998,33546.0,21.739847077,70.4440250146,13592.0
groundnut,1998,8857.0,25.669973912,59.4938692936,7657.0
groundnut,1998,10799.0,25.6726150079,56.1899285766,12051.0
groundnut,1998,35726.0,28.5727057617,67.0512005323,14179.0
groundnut,1998,2883.0,27.6032573849,59.7057069064,2791.0
groundnut,1998,174731.0,25.4456485455,50.6475076854,237842.0
groundnut,1998,13.0,27.2576798668,67.3858243042,12.0
groundnut,1998,765.0,27.2716587438,66.3837510124,713.0
groundnut,1999,13284.0,24.3284918241,52.8832514995,7326.0
groundnut,1999,18643.0,21.503576241,73.6132252203,14273.0
groundnut,1999,82825.0,29.049804035,54.0279410551,68877.0
groundnut,1999,64145.0,26.4535722382,64.6982596993,60202.0
groundnut,1999,792.0,21.0290494593,64.5529490113,473.0
groundnut,1999,1813.0,26.0438728092,64.9044487171,956.0
groundnut,1999,50061.0,26.6136068334,69.7709552894,23332.0
groundnut,1999,11448.0,20.657085151,51.6366346449,13685.0
groundnut,1999,4264.0,20.1609734476,63.1538596525,3099.0
groundnut,1999,157464.0,21.5836300354,73.7683444106,107080.0
groundnut,1999,24464.0,24.2791986861,67.3818138309,16511.0
groundnut,1999,32566.0,22.5377094672,56.083594241,23499.0
groundnut,1999,59896.0,27.3611100694,71.30692077,17927.0
groundnut,1999,54268.0,28.794036903,54.8742405464,25474.0
groundnut,1999,3208.0,25.775066924,58.9170874515,2533.0
groundnut,1999,27664.0,21.5900962217,69.7578324135,20820.0
groundnut,1999,65167.0,25.7517379242,59.3040623743,30583.0
groundnut,1999,40810.0,27.577031164,50.6069281993,22826.0
groundnut,1999,6443.0,20.5829744666,70.2570721855,5086.0
groundnut,1999,9189.0,24.5816758716,55.1638121784,5646.0
groundnut,1999,33776.0,23.7827728235,61.7877065506,14921.0
groundnut,1999,2754.0,21.7729158382,62.871874909,1852.0
groundnut,1999,168771.0,24.3930397253,72.2209769506,72917.0
groundnut,1999,733.0,20.9335335019,69.2286937962,428.0
groundnut,2000,14487.0,23.0253495209,68.5781572519,9664.0
groundnut,2000,17892.0,21.2497235295,74.0177078824,16596.0
groundnut,2000,80929.0,24.1780414104,51.613512076,77319.0
groundnut,2000,59678.0,27.1252934408,55.8150551137,54533.0
groundnut,2000,382.0,25.813974819,62.8386096848,383.0
groundnut,2000,1760.0,20.7011230929,57.9194549357,558.0
groundnut,2000,51040.0,28.5540171107,53.1701725003,22311.0
groundnut,2000,6288.0,23.5824369052,50.2611515015,8058.0
groundnut,2000,2630.0,21.6587175442,59.8758548288,3393.0
groundnut,2000,151983.0,27.1901571063,66.6377088363,176342.0
groundnut,2000,17754.0,25.9049542384,60.3142076085,18537.0
groundnut,2000,35073.0,24.3641041459,59.4187862251,39663.0
groundnut,2000,72846.0,25.475662952,68.3559240353,39036.0
groundnut,2000,46936.0,23.7507899132,55.8945681422,35519.0
