crop,Crop_Year,Area,Temperature,Rainfall,Production
jowar,1997,140805.0,28.6249351738,61.1780396692,63996.0
jowar,1997,41994.0,29.8539421156,56.9137584242,40394.0
jowar,1997,37204.0,30.3768387075,47.4448500167,5233.0
jowar,1997,510692.0,28.8830269684,33.6653784377,263237.0
jowar,1997,6280.0,28.2482238031,60.4399874753,6417.0
jowar,1997,32746.0,25.5821677977,51.5942881063,13681.0
jowar,1997,171442.0,30.9841611334,49.5285106455,85600.0
jowar,1997,357100.0,31.8243657268,55.3578361179,146121.0
jowar,1997,1433.0,29.1616899956,41.9361804694,630.0
jowar,1997,1026.0,26.0934761176,47.4508180011,462.0
jowar,1997,194872.0,28.4897653312,57.5643864384,94518.0
jowar,1997,2779.0,28.7094787537,34.3666940445,1239.0
jowar,1997,2740.0,27.6987460046,56.0299714793,1218.0
jowar,1997,59.0,30.0651514599,36.3403067406,27.0
jowar,1998,152540.0,25.2858902929,30.6291775593,120840.0
jowar,1998,134018.0,27.7843898805,60.9881013074,119907.0
jowar,1998,49031.0,31.4719670484,46.7563977651,47827.0
jowar,1998,30169.0,25.1000058644,40.5343775768,13646.0
jowar,1998,293441.0,27.8845125177,46.8162478623,201599.0
jowar,1998,120.0,27.5026745184,59.3732193966,83.0
jowar,1998,6440.0,31.1915874146,45.4275407388,7054.0
jowar,1998,16789.0,28.8665934411,48.5307744743,11307.0
jowar,1998,8455.0,31.6998051579,64.7555911957,8251.0
jowar,1998,41923.0,25.7455497218,62.1529531905,24906.0
jowar,1998,71513.0,29.2784012795,36.5900806876,39828.0
jowar,1998,362341.0,28.8403878682,60.34684864,226824.0
jowar,1998,1558.0,29.0517407819,45.2074897918,989.0
jowar,1998,40371.0,26.1700841123,39.7983244606,29613.0
jowar,1998,39997.0,29.4371109444,47.3741600194,23824.0
jowar,1998,1130.0,31.1157203511,52.368348239,777.0
jowar,1998,169677.0,29.3561509762,54.134759931,125732.0
jowar,1998,100.0,29.6963223024,56.6711029201,69.0
jowar,1998,498.0,26.3781132194,57.0627707318,339.0
jowar,1998,51.0,29.352064748,33.6071554189,35.0
jowar,1999,160974.0,30.7226844272,41.1730441774,147679.0
jowar,1999,141961.0,30.2176487167,51.4466784688,115177.0
jowar,1999,66040.0,27.4286681656,48.1208336415,61544.0
jowar,1999,31377.0,29.9179322067,36.6580975709,15692.0
jowar,1999,333059.0,29.9223240263,42.1887664598,248024.0
jowar,1999,60.0,30.1732603947,36.2503118989,41.0
jowar,1999,5435.0,31.5623119393,43.7630851825,5938.0
jowar,1999,26641.0,28.4409039772,46.2846365198,15741.0
jowar,1999,10564.0,27.3424951418,53.337961798,5994.0
jowar,1999,42957.0,26.2430621341,44.0892678588,24812.0
jowar,1999,78752.0,30.463787607,60.7227498592,33816.0
jowar,1999,420914.0,28.5815733362,33.0573037634,316937.0
jowar,1999,782.0,27.5850917419,62.309636784,599.0
