crop,Crop_Year,Area,Temperature,Rainfall,Production
linseed,1998,4667.0,24.1355624758,46.2706159281,1667.0
linseed,1998,2707.0,24.0145682872,65.0677076689,967.0
linseed,1998,113.0,24.9681520875,74.3638467459,37.0
linseed,1998,503.0,24.6239055874,56.2659500224,163.0
linseed,1998,6394.0,22.8923573197,48.2606755613,2284.0
linseed,1998,8.0,24.9395302636,45.3232491313,3.0
linseed,1998,292.0,22.4516140446,60.0425019697,95.0
linseed,1998,1173.0,21.2960310746,73.5021809806,381.0
linseed,1998,1616.0,23.8785124608,71.384334566,292.0
linseed,1998,436.0,25.3479905122,64.9920756659,142.0
linseed,1998,1424.0,23.8693623035,70.1127658094,257.0
linseed,1998,395.0,23.6796980458,65.60214449,128.0
linseed,1998,32.0,22.2131679645,62.7953843743,10.0
linseed,1998,46.0,22.2630100425,68.8186614529,15.0
linseed,1999,5667.0,25.098600477,56.2001325851,1647.0
linseed,1999,2341.0,21.2401231618,54.3240989893,681.0
linseed,1999,195.0,21.3359713835,47.7667715713,66.0
linseed,1999,472.0,24.3662744447,48.675992655,159.0
linseed,1999,7190.0,25.2563384973,58.3050376877,2910.0
linseed,1999,4.0,24.7874635548,62.3280616642,1.0
linseed,1999,290.0,22.3713875511,55.3184830863,98.0
linseed,1999,1140.0,21.8574767652,65.7070267987,384.0
linseed,1999,1176.0,24.2706968193,70.1331582407,347.0
linseed,1999,430.0,21.2477075178,55.2373002957,145.0
linseed,1999,1470.0,24.5892105815,70.7151878374,434.0
linseed,1999,254.0,23.4659668105,54.8917251845,86.0
linseed,1999,31.0,24.7734199715,66.2369364116,10.0
linseed,1999,50.0,25.9634293306,70.8882692439,17.0
linseed,2000,4647.0,23.6262415517,47.8617141416,1377.0
linseed,2000,2454.0,24.6143469709,67.4822441918,727.0
linseed,2000,11.0,22.4884982468,66.1495121729,4.0
linseed,2000,474.0,23.9160146663,64.3975347826,175.0
linseed,2000,5337.0,21.2536181029,46.1453666948,2484.0
linseed,2000,342.0,24.0932545087,66.7519946233,126.0
linseed,2000,1036.0,23.6217837574,61.7250058159,382.0
linseed,2000,1006.0,23.9250522142,47.4123421898,371.0
linseed,2000,285.0,21.2285032261,66.0038112328,105.0
linseed,2000,1674.0,21.6376284188,59.1043582787,617.0
linseed,2000,52.0,21.898031361,66.1117059849,19.0
linseed,2000,6.0,23.2546487363,57.9115948232,2.0
linseed,2000,3.0,24.4233063079,54.6479800943,1.0
linseed,2000,38.0,21.0556319765,63.6562732903,14.0
linseed,2001,6261.0,22.0317080651,56.8976733714,2641.0
linseed,2001,2524.0,21.7842635172,46.3837191573,571.0
linseed,2001,19.0,21.559910976,53.8519367917,6.0
linseed,2001,609.0,21.7139775676,70.8533689276,204.0
linseed,2001,6271.0,21.2371201976,71.8053058853,1829.0
linseed,2001,3.0,22.6703326971,74.5948362874,1.0
linseed,2001,234.0,21.9665514538,74.5205692087,78.0
linseed,2001,979.0,25.1593594596,61.4078191565,221.0
linseed,2001,1081.0,24.1381658641,74.701560357,363.0
linseed,2001,74.0,24.4830036477,46.2274153967,25.0
linseed,2001,1389.0,23.2039097277,53.3956110306,586.0
linseed,2001,155.0,24.0492449162,67.4635292922,52.0
linseed,2001,5.0,23.0127739383,52.5522240418,2.0
linseed,2001,7.0,24.5160984559,66.9508463696,2.0
linseed,2002,4997.0,23.2514052894,55.2214033857,2207.0
linseed,2002,2329.0,24.6632691235,47.8508905635,436.0
linseed,2002,11.0,22.2751820145,52.2276266926,4.0
linseed,2002,570.0,21.1960120659,53.8428847765,200.0
linseed,2002,5006.0,21.546006875,54.6513972456,1831.0
linseed,2002,3.0,23.4596569614,64.6134048515,1.0
linseed,2002,234.0,21.6836874067,65.1115457317,82.0
linseed,2002,1051.0,24.9368928608,45.7767786758,322.0
linseed,2002,788.0,24.4363957516,52.502835987,277.0
linseed,2002,45.0,24.03639496,59.075415408,16.0
linseed,2002,2013.0,23.1000608335,47.7558162598,618.0
linseed,2002,334.0,23.8728561929,57.4662051625,117.0
linseed,2002,5.0,21.8832859481,69.3116317676,2.0
linseed,2002,15.0,21.903934021,52.9775422176,5.0
linseed,2003,3523.0,23.1284143171,50.0283752535,264.0
linseed,2003,1897.0,23.2668428667,51.9631653753,373.0
linseed,2003,6.0,25.0343772025,52.7819188795,0.0
linseed,2003,601.0,23.7166621868,66.6019109835,46.0
linseed,2003,3324.0,25.3311802325,57.90631403,38.0
linseed,2003,2.0,25.2093410399,72.4283428214,0.0
linseed,2003,68.0,23.2152009264,53.2354821874,5.0
linseed,2003,1014.0,25.1264126731,59.4582833894,78.0
linseed,2003,485.0,23.9571107492,65.8399111362,37.0
linseed,2003,33.0,22.8672778678,62.2575843828,3.0
linseed,2003,1784.0,22.2462712306,48.0069959845,139.0
linseed,2003,157.0,24.6003680762,60.9681597893,12.0
linseed,2003,5.0,23.0855447942,64.6570275573,0.0
linseed,2003,10.0,22.7039110796,64.2667953645,1.0
linseed,2004,3348.0,25.8365677121,69.318323729,658.0
linseed,2004,1750.0,21.2055015926,52.6884629464,318.0
