crop,Crop_Year,Area,Temperature,Rainfall,Production
maize_r,1997,26432.0,24.9616414652,61.4759319624,50103.0
maize_r,1997,600.0,25.0902205377,206.975275465,1225.0
maize_r,1997,339.0,21.1526273026,240.9735561428,694.0
maize_r,1997,38.0,22.4684098588,139.156326997,68.0
maize_r,1997,15892.0,21.449135427,245.5658150575,35590.0
maize_r,1997,494.0,24.0278102358,235.5889556767,1010.0
maize_r,1997,1789.0,24.127029524,160.0766324272,3654.0
maize_r,1997,228.0,21.5459139754,93.5491802014,462.0
maize_r,1997,9.0,22.7102728166,232.6410489021,18.0
maize_r,1997,239.0,21.579522085,69.3953856469,489.0
maize_r,1997,1338.0,21.9308930584,98.6663489228,2712.0
maize_r,1997,336.0,26.2644216175,240.480845626,658.0
maize_r,1997,2.0,24.8297763496,107.8209297034,4.0
maize_r,1997,1104.0,25.3839549261,66.8764479832,2239.0
maize_r,1997,4.0,23.8964441054,186.291331017,6.0
maize_r,1998,10520.0,23.8710719061,268.0370550685,24026.0
maize_r,1998,68.0,23.2767323213,95.5395351963,139.0
maize_r,1998,30633.0,22.900385083,186.1099752784,58696.0
maize_r,1998,1217.0,26.0849986914,223.4434617993,2472.0
maize_r,1998,165.0,23.4684249344,292.5748724599,338.0
maize_r,1998,47.0,21.4982460286,285.0654279426,78.0
maize_r,1998,4216.0,24.5097040275,130.403292377,9629.0
maize_r,1998,1508.0,25.5654983592,224.8365547887,3093.0
maize_r,1998,374.0,26.1912909771,167.662895558,767.0
maize_r,1998,1.0,23.7931710093,191.5586951887,2.0
maize_r,1998,76.0,26.4077344555,282.7437488533,154.0
maize_r,1998,17.0,25.0282548154,283.900276369,35.0
maize_r,1998,163.0,23.4684777633,225.9725340615,331.0
maize_r,1998,156.0,22.8476045529,138.6034305331,304.0
maize_r,1998,80.0,21.1027942037,221.1900294558,164.0
maize_r,1998,64.0,23.8918929203,196.5376382943,131.0
maize_r,1998,285.0,26.8366559993,269.5171957829,583.0
maize_r,1998,109.0,23.5174685002,64.6608440032,215.0
maize_r,1998,1.0,23.9551758527,227.5803692264,2.0
maize_r,1998,220.0,26.4324011094,124.628149875,444.0
maize_r,1998,2.0,23.5796933068,277.2146146642,2.0
maize_r,1999,15401.0,22.793379772,94.2204421029,41391.0
maize_r,1999,61.0,21.2714260923,178.2389170438,149.0
maize_r,1999,35256.0,24.3615482467,172.5640999317,77615.0
maize_r,1999,1513.0,24.7321739736,221.4693972609,3647.0
maize_r,1999,23.0,25.8959996598,239.7628163036,56.0
maize_r,1999,47.0,24.2400398824,287.9320378354,99.0
maize_r,1999,5473.0,23.8941121383,169.2208375535,14709.0
maize_r,1999,2932.0,23.8341204288,62.01199646,7175.0
maize_r,1999,663.0,25.7333098829,268.2198677572,1622.0
maize_r,1999,350.0,23.2517791813,268.0225133254,816.0
maize_r,1999,56.0,26.8390992157,273.0868360866,131.0
maize_r,1999,958.0,21.0784560834,118.5831846378,2321.0
maize_r,1999,183.0,24.9389877261,195.8879991658,448.0
maize_r,1999,1639.0,24.1733608293,157.9475022279,3893.0
maize_r,1999,1679.0,22.890249316,261.9032199581,3889.0
maize_r,1999,202.0,21.6166033255,267.6403700419,494.0
maize_r,1999,755.0,25.6751086514,282.4244693282,1848.0
maize_r,1999,15.0,24.4806793009,86.354018622,28.0
maize_r,1999,63.0,24.8523136983,208.3856576527,129.0
maize_r,1999,536.0,25.8599166645,253.0658586634,1312.0
maize_r,1999,2.0,26.778520594,271.2897030361,3.0
maize_r,2000,17492.0,23.6671740671,214.0254304937,47659.0
maize_r,2000,21.0,25.3362711912,199.1046316435,53.0
maize_r,2000,27118.0,24.2125370503,107.5004130481,61570.0
maize_r,2000,605.0,23.3775642277,186.9376488573,1435.0
maize_r,2000,84.0,26.451111449,217.7263342696,212.0
maize_r,2000,46.0,25.8110065858,297.6134998707,107.0
maize_r,2000,5709.0,24.5575295647,196.1155792727,15652.0
maize_r,2000,173.0,22.9580812414,251.8972208936,474.0
maize_r,2000,910.0,21.2349245843,155.4716993311,2293.0
maize_r,2000,81.0,26.5684969008,115.1515635273,171.0
maize_r,2000,121.0,24.843141524,254.7943324341,288.0
maize_r,2000,1902.0,23.3187979558,66.095274329,4759.0
maize_r,2000,132.0,21.924479686,219.3971944953,332.0
maize_r,2000,994.0,22.8873453066,66.716258434,1974.0
maize_r,2000,1164.0,26.0374894644,210.1897459131,2715.0
maize_r,2000,942.0,26.3832531869,122.7522297426,2373.0
maize_r,2000,282.0,23.0853350168,258.5141566623,555.0
maize_r,2000,20.0,23.9234005201,269.8013664425,50.0
maize_r,2000,1.0,24.349386356,253.9892290835,2.0
maize_r,2001,15597.0,25.6832207984,196.5994246673,43755.0
maize_r,2001,37.0,22.6903888421,278.617162303,91.0
maize_r,2001,32666.0,21.5771956671,267.4655311379,71660.0
maize_r,2001,1325.0,22.8890173508,163.2152725921,3077.0
maize_r,2001,40.0,23.9748389753,262.2793578614,99.0
maize_r,2001,36.0,26.02983689,144.676655322,68.0
maize_r,2001,5812.0,21.090211901,93.7268587672,12641.0
maize_r,2001,2495.0,26.8554335376,150.6925016217,5560.0
maize_r,2001,1277.0,25.5653690392,80.4553297087,3119.0
maize_r,2001,71.0,23.9612814759,230.58966215,148.0
maize_r,2001,81.0,21.3404904426,128.7370954677,191.0
maize_r,2001,863.0,26.3524180034,277.5444492213,2120.0
maize_r,2001,119.0,26.0607386392,234.165610549,277.0
maize_r,2001,2172.0,23.9164272204,254.1171611532,4215.0
maize_r,2001,927.0,23.2992686031,117.3537160088,2167.0
maize_r,2001,63.0,26.2491055875,274.1928507564,155.0
maize_r,2001,617.0,22.1029397457,117.6584745363,1520.0
maize_r,2001,654.0,21.886991961,252.1832780367,1225.0
maize_r,2001,69.0,26.4466182297,248.5751733137,162.0
maize_r,2001,268.0,24.1942625986,212.5285179102,519.0
maize_r,2002,9197.0,26.4604875605,118.178809223,31585.0
maize_r,2002,196.0,21.7506712374,126.5469632118,502.0
maize_r,2002,24130.0,25.3556775286,141.7864488959,53723.0
maize_r,2002,2592.0,25.381638485,214.4728967771,6539.0
maize_r,2002,125.0,26.7362547846,145.9238940151,320.0
maize_r,2002,89.0,21.467458806,266.1124199828,145.0
maize_r,2002,5606.0,23.2156124847,136.4398858077,13495.0
maize_r,2002,1610.0,21.3511978854,293.459571461,4120.0
maize_r,2002,1767.0,22.3340728176,289.7809459391,4522.0
maize_r,2002,47.0,22.1535974516,159.4025828183,119.0
maize_r,2002,178.0,21.0115387112,97.3584847746,446.0
maize_r,2002,1170.0,23.3242305064,82.4067587549,1625.0
maize_r,2002,108.0,23.4254649918,88.0013748403,276.0
maize_r,2002,2972.0,22.161700378,86.6168751075,7353.0
maize_r,2002,870.0,25.4367587159,116.7126247644,2225.0
maize_r,2002,657.0,26.8999229263,108.904896144,1681.0
maize_r,2002,934.0,26.5124149953,288.9501901545,2387.0
maize_r,2002,245.0,25.6067361737,282.2849424826,627.0
maize_r,2002,5382.0,24.4717621233,130.4655398393,13379.0
maize_r,2002,9.0,22.7084632177,209.7966707161,22.0
maize_r,2002,1618.0,25.3752954737,75.3378469196,4109.0
maize_r,2002,1.0,22.0348185994,177.0769510928,3.0
maize_r,2003,11898.0,25.6694265306,198.4084643577,32576.0
maize_r,2003,100.0,21.9960174345,63.8024580902,230.0
maize_r,2003,29555.0,25.7338701292,272.2991212407,50205.0
maize_r,2003,2410.0,25.0437370462,242.2430774228,5109.0
maize_r,2003,34.0,25.6173912479,189.6994757277,78.0
maize_r,2003,92.0,25.3706704418,295.5724296614,112.0
maize_r,2003,4453.0,22.4168426987,153.7414198291,8706.0
maize_r,2003,3804.0,26.8419122187,246.0439413711,3948.0
maize_r,2003,3311.0,26.4113234317,139.7028316315,6671.0
maize_r,2003,216.0,21.4489313475,88.6664458223,473.0
maize_r,2003,349.0,22.7094354594,83.7639832645,797.0
maize_r,2003,1215.0,26.9420548902,96.640514109,2707.0
maize_r,2003,128.0,22.7515262354,183.6253874283,295.0
maize_r,2003,1141.0,26.2865263497,145.8080865273,1498.0
maize_r,2003,1369.0,25.8363148171,206.1035585337,2999.0
maize_r,2003,339.0,23.3079556943,93.2671246574,781.0
maize_r,2003,414.0,22.4016628166,153.8367341803,908.0
maize_r,2003,913.0,22.4287327545,151.6838450597,1681.0
maize_r,2003,2051.0,23.8085797978,171.7927064708,2850.0
maize_r,2003,36.0,21.7232016767,221.0975603885,67.0
maize_r,2003,34.0,24.5922185221,96.0933844524,78.0
maize_r,2003,331.0,21.4889732934,117.8808320934,756.0
maize_r,2003,6.0,25.0479902781,216.2491981809,4.0
maize_r,2004,12094.0,23.7645575343,210.0497627141,42223.0
maize_r,2004,72.0,23.1703715901,201.1695941078,219.0
maize_r,2004,25755.0,21.5872270077,86.3938560509,79447.0
maize_r,2004,1657.0,25.5905259124,293.6924198032,3956.0
maize_r,2004,6.0,21.2865338125,150.4417211827,18.0
maize_r,2004,77.0,24.0147869545,149.2028604136,173.0
maize_r,2004,4776.0,21.0096268989,277.8235015202,6547.0
maize_r,2004,1482.0,21.6188076043,137.375279959,4334.0
maize_r,2004,1716.0,23.5670815023,242.3759074718,4953.0
maize_r,2004,81.0,26.9905377224,141.6938526473,247.0
maize_r,2004,381.0,24.7634864309,199.1738648236,1160.0
maize_r,2004,1260.0,21.1146177965,220.1941862988,3837.0
maize_r,2004,175.0,21.5189345011,225.2563453519,533.0
maize_r,2004,3287.0,23.5053352599,270.1502151439,9866.0
maize_r,2004,432.0,24.6591704265,61.4573530187,1314.0
maize_r,2004,50.0,23.8440426985,198.3007142674,150.0
maize_r,2004,367.0,22.299822575,166.9640299679,1118.0
maize_r,2004,437.0,26.0743637379,207.072443254,1323.0
maize_r,2004,92.0,23.6700909977,98.9550699867,280.0
maize_r,2004,2861.0,23.485312915,168.9263556105,8616.0
maize_r,2004,4.0,22.7991212866,208.1147151303,12.0
maize_r,2004,413.0,25.6462057897,204.4513806791,1258.0
maize_r,2004,3.0,24.9502332572,245.9392765081,5.0
maize_r,2005,14743.0,26.7880112543,172.5223787265,61920.0
maize_r,2005,139.0,21.7524811548,172.266425173,497.0
maize_r,2005,41389.0,23.1097734497,141.2288750717,145279.0
maize_r,2005,2382.0,22.7604205263,219.9304236521,8307.0
maize_r,2005,41.0,26.7190142813,255.60752336,147.0
maize_r,2005,71.0,21.4997277533,118.5099677554,220.0
maize_r,2005,6588.0,24.9470094595,95.8459474166,13600.0
maize_r,2005,1604.0,24.5744083367,143.383116215,3780.0
maize_r,2005,1946.0,24.7754230415,224.0193583676,6870.0
maize_r,2005,285.0,21.0599297247,268.084435045,1019.0
maize_r,2005,527.0,22.671239169,270.0590784738,1737.0
maize_r,2005,1190.0,22.662037218,122.1928774114,6301.0
maize_r,2005,159.0,21.9120656448,181.6792912775,566.0
maize_r,2005,6087.0,21.4688968081,112.610228502,17832.0
maize_r,2005,788.0,26.9025867416,238.9468585293,1802.0
maize_r,2005,536.0,22.9140385217,279.6601472492,1916.0
maize_r,2005,1420.0,26.3854364025,221.756548985,5075.0
maize_r,2005,18.0,23.3486373708,67.9065743856,64.0
maize_r,2005,1545.0,23.6812470715,86.802111997,5173.0
maize_r,2005,10.0,25.5152660831,150.0101994719,36.0
maize_r,2005,84.0,22.5592261888,232.3517514065,300.0
maize_r,2005,32.0,26.2307544237,281.4990894759,114.0
maize_r,2005,37.0,22.5791409436,62.3087640739,63.0
maize_r,2006,12637.0,21.5884350463,290.0001158405,44443.0
maize_r,2006,160.0,25.5921740216,118.4401292336,504.0
maize_r,2006,31931.0,23.3033774676,237.1569003943,97463.0
maize_r,2006,871.0,24.2900227197,117.9440280726,2274.0
maize_r,2006,24.0,23.7154703507,133.6336930552,76.0
maize_r,2006,83.0,21.6191294349,134.4080434548,186.0
maize_r,2006,6967.0,23.3189149487,107.5777332592,17519.0
maize_r,2006,881.0,25.7204720176,232.6598653646,1971.0
maize_r,2006,7136.0,21.724632532,245.3940042087,21374.0
maize_r,2006,454.0,24.7387426035,273.1781375973,1111.0
maize_r,2006,287.0,25.5228833237,104.9939323335,834.0
maize_r,2006,615.0,23.4178994275,63.5803165592,1364.0
maize_r,2006,94.0,25.3713428104,162.4880837602,293.0
maize_r,2006,6848.0,26.4314281864,137.8621562491,22729.0
maize_r,2006,1398.0,25.0810441315,111.6256005595,2426.0
maize_r,2006,50.0,23.2986464878,251.1546229898,158.0
maize_r,2006,2369.0,24.0992672905,211.9019928448,5200.0
maize_r,2006,1928.0,22.2113844407,93.1174196223,5115.0
maize_r,2006,760.0,26.089117478,286.0168651726,1615.0
maize_r,2006,2462.0,24.3820753486,212.4540424367,7439.0
maize_r,2006,40.0,23.8048869115,115.8112980568,126.0
maize_r,2006,22.0,21.7069844614,190.4109939735,69.0
maize_r,2006,837.0,23.9945994018,299.8493193456,2637.0
maize_r,2006,30.0,26.9671277699,91.4567345748,95.0
maize_r,2006,18.0,24.7598368844,297.2289869784,18.0
maize_r,2007,16147.0,22.0217365663,131.8556330688,67418.0
maize_r,2007,110.0,21.3243026985,81.9266938678,393.0
maize_r,2007,28881.0,26.298756541,168.4836238918,96184.0
maize_r,2007,2886.0,22.1714152855,181.590032309,9162.0
maize_r,2007,133.0,21.6302565926,231.8188190709,475.0
maize_r,2007,77.0,26.2419006178,270.4362440586,216.0
maize_r,2007,7451.0,24.8170109645,274.4179723514,21787.0
maize_r,2007,1036.0,23.3959766186,169.3986212061,3075.0
maize_r,2007,239.0,25.1633872455,110.8880242613,837.0
maize_r,2007,2616.0,21.4169826663,101.2441725246,9034.0
maize_r,2007,543.0,22.9523302955,143.3978466121,1159.0
maize_r,2007,772.0,24.5763195269,148.4388091161,2137.0
maize_r,2007,1311.0,22.81046069,294.3154641803,1167.0
maize_r,2007,276.0,22.6008462408,285.0980779874,955.0
maize_r,2007,7299.0,24.8790187512,130.7085728,23706.0
maize_r,2007,1750.0,22.6737178346,218.8399867565,5120.0
maize_r,2007,45.0,22.2669701507,104.0018760062,161.0
maize_r,2007,2365.0,23.9059699036,241.7556629298,7582.0
maize_r,2007,12.0,21.8752194102,218.1320089119,43.0
maize_r,2007,3105.0,25.6539895322,269.8077420302,8409.0
maize_r,2007,369.0,21.1463693025,165.1264186889,1312.0
maize_r,2007,60.0,23.4367865787,176.1341549386,214.0
maize_r,2007,19.0,21.4591371785,265.7939229654,68.0
maize_r,2007,81.0,23.8584481132,171.584083347,159.0
maize_r,2007,15.0,26.4433929215,138.3559803223,54.0
maize_r,2007,56.0,26.7013059176,65.4435940318,145.0
maize_r,2008,20427.0,23.0770218787,62.0724503105,73062.0
maize_r,2008,85.0,24.202930071,221.8647191463,268.0
maize_r,2008,37921.0,24.8548212762,294.0138694467,119848.0
maize_r,2008,3418.0,26.415016367,256.3201000822,7487.0
maize_r,2008,123.0,26.3958439217,126.0301159067,388.0
maize_r,2008,134.0,24.2228838493,268.241488594,284.0
maize_r,2008,13677.0,22.713340033,280.1664447609,29871.0
maize_r,2008,1462.0,21.9296745458,197.9554338463,5325.0
maize_r,2008,1455.0,22.7254278144,212.7773824284,4575.0
maize_r,2008,5209.0,25.3455136419,195.2077689525,11688.0
maize_r,2008,526.0,22.2384315192,283.8643831636,1371.0
maize_r,2008,2713.0,25.9640861388,207.2063122535,7954.0
maize_r,2008,2607.0,23.3922035985,199.5871418938,6013.0
maize_r,2008,864.0,23.4221242914,83.9545066249,2597.0
maize_r,2008,7202.0,24.2105344264,137.1308800049,21848.0
maize_r,2008,2207.0,21.5531627068,170.5691515244,6508.0
maize_r,2008,146.0,21.1838253797,212.182426264,460.0
maize_r,2008,94.0,26.3093078842,163.3610698803,296.0
maize_r,2008,3263.0,25.6719974988,219.7939132682,8790.0
maize_r,2008,3323.0,25.2918959036,232.9679591457,8461.0
maize_r,2008,116.0,25.1088757526,279.1501104046,366.0
maize_r,2008,100.0,24.5290013815,210.7003983793,315.0
maize_r,2008,120.0,25.2540585325,268.3901919701,378.0
