crop,Crop_Year,Area,Temperature,Rainfall,Production
ragi,1997,2501.0,24.3913352886,106.400992139,2525.0
ragi,1997,17185.0,33.8121486546,100.7004361229,12676.0
ragi,1997,178931.0,26.7692546262,100.7228343469,309672.0
ragi,1997,53900.0,33.7584995121,105.8747912638,60319.0
ragi,1997,62426.0,33.4964387824,99.8330948676,53619.0
ragi,1997,5389.0,24.4943806306,98.041259853,3889.0
ragi,1997,76.0,32.9186949047,91.089530404,99.0
ragi,1997,106980.0,30.4292573965,92.3575975747,143458.0
ragi,1997,360.0,20.7411965186,100.8967071327,470.0
ragi,1997,100225.0,21.290469637,97.9007962408,142957.0
ragi,1997,78428.0,24.186260313,103.4446603891,137349.0
ragi,1997,90302.0,31.6222833644,101.297465168,133034.0
ragi,1997,20950.0,30.5231864808,98.1828374372,19094.0
ragi,1997,180184.0,20.2826102516,102.8576042298,195029.0
ragi,1997,84.0,23.1266718848,94.6088815817,92.0
ragi,1998,145038.0,32.0078399708,106.8851225388,242901.0
ragi,1998,2625.0,23.6587015739,107.9620562786,2325.0
ragi,1998,6531.0,30.6403229453,104.5772201492,5804.0
ragi,1998,47929.0,22.0471211762,103.7673615629,102625.0
ragi,1998,20767.0,21.1739311864,108.3675935945,29866.0
ragi,1998,61058.0,26.3432829098,105.2036353109,104235.0
ragi,1998,61386.0,28.7427631445,91.0187570469,95832.0
ragi,1998,35678.0,28.8269367759,92.5836917688,61106.0
ragi,1998,165.0,23.1622399079,92.5867265335,148.0
ragi,1998,18.0,24.3085215913,102.3277386042,26.0
ragi,1998,5.0,33.4862185595,107.567449288,4.0
ragi,1998,115642.0,25.7675760643,96.1661130957,215818.0
ragi,1998,4756.0,22.1781822425,93.5539486257,4079.0
ragi,1998,425.0,26.5099840602,109.4948409068,460.0
ragi,1998,117395.0,24.6683441698,97.0841251404,220794.0
ragi,1998,80593.0,26.9360299899,107.8936188282,156027.0
ragi,1998,71644.0,23.7616294983,99.0062189333,115488.0
ragi,1998,8654.0,20.60801072,99.9038987447,12441.0
ragi,1998,205777.0,29.1500093422,107.1570034417,294692.0
ragi,1998,87.0,23.6047399131,106.1363527854,96.0
ragi,1999,147095.0,25.4243944508,109.333365486,302839.0
ragi,1999,2296.0,25.112843664,100.3737014294,1509.0
ragi,1999,5501.0,25.65428845,92.3543525154,4146.0
ragi,1999,45404.0,23.978676697,102.1954279324,124107.0
ragi,1999,12758.0,24.0558925985,94.7125165411,16180.0
ragi,1999,55909.0,28.6108602655,100.1352408085,89066.0
ragi,1999,59772.0,31.8197870169,93.3766653884,79814.0
ragi,1999,37553.0,21.2039244826,90.6272579355,44756.0
ragi,1999,245.0,24.0872101982,92.2405807759,159.0
ragi,1999,26.0,30.4235261768,93.2872907273,36.0
ragi,1999,7.0,23.2737807241,97.8009169494,5.0
ragi,1999,97148.0,21.8990326644,102.5574223986,138813.0
ragi,1999,3748.0,25.1999910291,103.3443192469,2576.0
ragi,1999,203.0,21.9982615039,91.8418411768,263.0
ragi,1999,90091.0,30.3948394259,108.4594705148,127105.0
ragi,1999,60099.0,21.0336298492,104.6488048357,98795.0
