crop,Crop_Year,Area,Temperature,Rainfall,Production
rice,1997,11240.0,27.7139501455,11.6210958412,26256.0
rice,1997,63734.0,28.1310954379,12.6315519426,91677.0
rice,1997,34112.0,20.3550817399,15.1432734498,96733.0
rice,1997,3507.0,18.1820720538,14.6944337738,11033.0
rice,1997,9385.0,29.6261674461,13.3698406822,6109.0
rice,1997,450.0,28.8049030807,13.9539667828,635.0
rice,1997,48109.0,26.287081873,17.1120429751,112905.0
rice,1997,39725.0,17.9113061694,13.1813993285,136465.0
rice,1997,92885.0,25.697764665,16.7724974938,180119.0
rice,1997,89655.0,17.6119164017,17.9441822391,103406.0
rice,1997,6591.0,18.8779663445,19.5842548675,12179.0
rice,1997,53948.0,19.5767229365,12.2656239078,147084.0
rice,1997,39414.0,22.0596836446,16.6941685972,87476.0
rice,1997,12130.0,28.0278381535,16.4575103418,26791.0
rice,1997,57997.0,23.7919305768,16.3639857223,150905.0
rice,1997,105069.0,28.5317131449,14.3136621701,306717.0
rice,1997,92636.0,20.4665748578,19.0921594903,287526.0
rice,1997,162939.0,27.4212839915,13.2173764315,370499.0
rice,1997,22589.0,20.0177815919,13.2970932633,57865.0
rice,1997,85415.0,27.1666767229,12.2460583159,128113.0
rice,1998,197.0,17.4160260749,12.8753881134,316.0
rice,1998,14305.0,24.1299857852,18.6133687482,39567.0
rice,1998,62701.0,21.3473098867,15.9474487288,114050.0
rice,1998,39395.0,29.7002088576,15.3405694681,124945.0
rice,1998,5124.0,21.2919952161,12.6144983691,14255.0
rice,1998,9587.0,20.5388424186,17.6001358756,5825.0
rice,1998,394.0,24.1326699963,15.3719999302,541.0
rice,1998,16108.0,28.0599601912,19.4985867734,52488.0
rice,1998,46109.0,26.5680543003,19.5173253641,108109.0
rice,1998,3235.0,22.9581275997,14.1189498027,9914.0
rice,1998,39173.0,26.6221893205,13.0574163627,79829.0
rice,1998,66853.0,22.0454583549,10.4137496841,217686.0
rice,1998,36998.0,29.0414493461,16.7197620578,33695.0
rice,1998,815.0,23.6660396618,18.052369008,1884.0
rice,1998,13228.0,24.151345539,17.2816497128,17439.0
rice,1998,55878.0,16.8554138114,14.2264497644,129213.0
rice,1998,52395.0,23.6365462157,11.6427580262,78129.0
rice,1998,40092.0,22.1615340474,15.51706216,83315.0
rice,1998,13466.0,21.1779978502,12.4556181121,34437.0
rice,1998,35128.0,19.3198387795,11.8696292021,119948.0
rice,1998,60785.0,23.6337359766,16.3701102482,178974.0
rice,1998,95399.0,17.3688239761,16.7654307531,291632.0
rice,1998,66264.0,22.4004037028,15.7451957122,225260.0
rice,1998,136875.0,28.6263026544,12.2092550299,315137.0
rice,1998,29765.0,21.3247087158,12.7828584013,81706.0
rice,1998,54300.0,22.588118504,15.0633382514,94221.0
rice,1998,84624.0,23.0477592987,12.7006485549,146655.0
rice,1999,128.0,29.5988214845,18.5897038842,202.0
rice,1999,11541.0,21.8748382177,17.5981243067,32410.0
rice,1999,63427.0,27.0016645389,16.2734449671,119657.0
rice,1999,47915.0,28.1557412506,14.7542856194,162081.0
rice,1999,4551.0,20.431380169,16.278205634,10649.0
rice,1999,10023.0,16.3463566905,14.872359872,8373.0
rice,1999,365.0,21.3724801347,14.394160513,506.0
