crop,Crop_Year,Area,Temperature,Rainfall,Production
safflower,1998,4590.0,25.3282597874,83.220514825,3570.0
safflower,1998,6427.0,28.9510696468,76.8354773401,2930.0
safflower,1998,6134.0,28.5266104225,66.5471068039,3243.0
safflower,1998,9470.0,25.1353437836,68.0621282137,9140.0
safflower,1998,11372.0,27.7544188665,78.9409502503,6266.0
safflower,1998,208.0,25.1712942269,70.3192346878,125.0
safflower,1998,1044.0,30.3927677474,77.1856443352,549.0
safflower,1998,473.0,26.2063957108,84.7429074821,285.0
safflower,1998,7247.0,24.6252067367,79.9776793284,7050.0
safflower,1998,5326.0,24.2646577373,68.5263243719,3128.0
safflower,1998,24459.0,29.4277923927,74.2281643627,12365.0
safflower,1998,2506.0,28.2462852573,79.7216180017,1471.0
safflower,1998,7073.0,24.5905092187,67.4628240992,3454.0
safflower,1998,11158.0,27.9498080944,84.1785318065,5151.0
safflower,1999,3926.0,31.365671612,78.5880265479,2828.0
safflower,1999,6584.0,29.0550828605,62.181702749,3116.0
safflower,1999,6116.0,28.0101460589,67.3440378476,6219.0
safflower,1999,7938.0,29.5839377165,63.1460334908,9585.0
safflower,1999,11719.0,27.2857215502,64.5026945812,8049.0
safflower,1999,250.0,25.0604884113,72.6287166257,188.0
safflower,1999,2398.0,28.1363789057,76.4621593623,1800.0
safflower,1999,189.0,29.3219380704,63.6872025335,142.0
safflower,1999,7100.0,29.2723241406,70.4320595043,7092.0
safflower,1999,5325.0,31.1506029002,75.3387696998,4304.0
safflower,1999,27271.0,27.6734621144,82.5435071406,19118.0
safflower,1999,3388.0,28.9949062806,86.2004634358,2736.0
safflower,1999,5387.0,27.7989903743,60.0996513727,4294.0
safflower,1999,12923.0,25.8167841656,86.6914835745,6012.0
safflower,1999,2.0,24.536809375,72.3230742031,2.0
safflower,2000,3296.0,31.9464345468,68.4310671978,3023.0
safflower,2000,7250.0,24.4868719139,65.0289400688,3810.0
safflower,2000,6084.0,24.2883043377,64.2330505688,3237.0
safflower,2000,9473.0,27.7698058784,61.0412765915,10025.0
safflower,2000,11056.0,29.8188235056,81.1127087856,7121.0
safflower,2000,288.0,29.2065710301,89.7439254251,222.0
safflower,2000,1019.0,25.4040910167,88.5899589554,567.0
safflower,2000,430.0,30.9048838512,64.895684738,332.0
safflower,2000,6533.0,29.0178822631,89.5352193486,6109.0
safflower,2000,3681.0,25.1273909429,68.9618743656,2994.0
safflower,2000,24078.0,30.1727279972,69.1932965128,18416.0
safflower,2000,2055.0,26.2032630393,63.7627714863,1144.0
safflower,2000,6708.0,24.0678996833,65.2496490942,4901.0
safflower,2000,11593.0,24.692224297,70.213443849,10176.0
safflower,2000,2.0,29.2176999042,65.1806099121,2.0
safflower,2001,4793.0,25.509738966,67.2378448209,2817.0
safflower,2001,4700.0,24.7456528863,86.4719657797,2694.0
safflower,2001,5265.0,30.7145553508,75.0877708272,2076.0
safflower,2001,11239.0,25.2122153456,85.987404347,16272.0
safflower,2001,10368.0,24.8148165461,63.2820354224,6481.0
safflower,2001,80.0,25.7237660419,78.4083417827,62.0
safflower,2001,1358.0,24.7982083091,89.4903561929,535.0
safflower,2001,58.0,24.3783186056,89.5065107331,45.0
safflower,2001,7189.0,30.2095292841,78.0360029925,3982.0
safflower,2001,2800.0,25.4591659639,69.6783670555,2171.0
safflower,2001,21107.0,29.0433577692,85.6341480201,16388.0
safflower,2001,1708.0,29.8626872427,61.312817445,922.0
safflower,2001,7564.0,25.4193146112,65.5185364441,5957.0
safflower,2001,13780.0,25.4966475331,64.239703247,12376.0
safflower,2001,20.0,31.2297251415,66.1851462396,16.0
safflower,2002,3916.0,30.3653128926,79.7243159659,2703.0
safflower,2002,6401.0,30.7763749892,67.7916810239,3492.0
safflower,2002,2259.0,28.9709910552,67.9445840515,594.0
safflower,2002,10898.0,31.5076270328,72.0922676999,14173.0
safflower,2002,9490.0,28.070627593,78.0638900934,4931.0
safflower,2002,29.0,28.5226892687,67.4612435985,19.0
safflower,2002,2708.0,24.5018232392,79.4587938135,1760.0
safflower,2002,242.0,26.9472055637,88.7789866517,157.0
safflower,2002,6283.0,26.580716951,70.1408005021,3110.0
safflower,2002,6832.0,27.8318592715,86.6994074209,2210.0
safflower,2002,19101.0,27.941109047,63.2372577795,13829.0
safflower,2002,1443.0,29.1977679789,75.9761748703,632.0
safflower,2002,6390.0,25.0534319408,88.8957893143,2143.0
safflower,2002,8954.0,26.6341594462,62.6657766162,5487.0
safflower,2003,2767.0,28.9747813449,61.1617303665,343.0
safflower,2003,10361.0,30.7042495026,84.8311971412,2699.0
safflower,2003,4850.0,29.7127096009,81.7625567106,1209.0
safflower,2003,11053.0,26.6306706339,87.3147494096,14511.0
safflower,2003,9079.0,26.1223627555,89.6061729585,1656.0
safflower,2003,4.0,24.8955148362,70.0472604069,2.0
safflower,2003,5462.0,25.8088062267,68.5669912012,1984.0
safflower,2003,268.0,31.9445240287,74.0133496562,113.0
safflower,2003,14712.0,26.7393711661,77.4080807845,2212.0
safflower,2003,4425.0,27.7893828266,61.1566709519,1615.0
safflower,2003,17807.0,30.0792972789,71.3674864284,8363.0
safflower,2003,2252.0,30.9919323025,65.2880242039,663.0
safflower,2003,7480.0,31.4377335011,84.9378243577,1720.0
safflower,2003,8123.0,30.0266900673,70.3501841754,4509.0
safflower,2004,2857.0,29.2141304066,89.2297841877,943.0
safflower,2004,11490.0,26.2753753344,84.5971034468,5472.0
safflower,2004,5975.0,26.3273993021,76.6912445104,1977.0
safflower,2004,12160.0,24.6790663691,83.6066513572,9819.0
safflower,2004,5644.0,31.5355325723,67.7477562949,3217.0
safflower,2004,10.0,29.310419099,77.0828312335,5.0
safflower,2004,4153.0,26.8906713804,77.6358644602,1378.0
safflower,2004,151.0,28.3373129155,77.8671070647,36.0
safflower,2004,15581.0,25.761164306,69.6446333202,10358.0
safflower,2004,5142.0,27.1998928893,75.9790077785,2926.0
safflower,2004,15365.0,25.2932226163,71.0151854576,6566.0
safflower,2004,1459.0,29.2370369336,74.7653462574,1317.0
safflower,2004,7295.0,29.2689531673,64.3211330438,2772.0
safflower,2004,7150.0,29.9116096819,76.718804559,2037.0
safflower,2004,4.0,25.2583172577,76.5650119917,2.0
safflower,2004,14.0,24.3090840465,81.4077704326,7.0
safflower,2005,2901.0,31.7568871025,75.7733786343,1293.0
safflower,2005,9662.0,25.7387585794,65.5072626482,6991.0
safflower,2005,4832.0,30.2593575366,72.3232489834,1579.0
safflower,2005,12705.0,24.8285765877,68.4384210963,15908.0
safflower,2005,4690.0,25.5186532473,79.1622613784,1568.0
safflower,2005,43.0,29.5076623263,64.6211156758,33.0
safflower,2005,3071.0,27.5635098163,85.6249489071,557.0
safflower,2005,20.0,28.1784749884,60.437298388,15.0
safflower,2005,8789.0,30.9068607761,79.6504281505,9273.0
safflower,2005,3791.0,27.9849245368,66.6155557298,2846.0
safflower,2005,15585.0,28.8910390447,67.6768992672,10882.0
safflower,2005,1888.0,27.5833699968,76.5477019424,1376.0
safflower,2005,5660.0,30.9284521535,69.039297731,2468.0
safflower,2005,7291.0,31.1758090057,67.1372176334,6705.0
safflower,2005,2.0,28.3577332485,87.1028980281,2.0
safflower,2005,15.0,31.9033926136,62.882722269,11.0
safflower,2006,3865.0,27.2235722583,65.5624647785,1345.0
safflower,2006,8131.0,27.5731327196,86.3050649249,4665.0
safflower,2006,3765.0,31.2885473101,78.4978541228,1628.0
safflower,2006,11744.0,24.0409494987,80.9281621408,16021.0
safflower,2006,8426.0,31.3414492794,66.3397621985,3442.0
safflower,2006,105.0,29.5690366555,60.7393686455,78.0
safflower,2006,2920.0,28.4352298195,82.0897754045,2510.0
safflower,2006,45.0,25.7078290243,62.5736875116,33.0
safflower,2006,9609.0,27.5285821824,60.9178443856,11092.0
safflower,2006,5873.0,28.5761089649,88.4953277675,2682.0
safflower,2006,12788.0,28.2741528674,86.7955313085,8420.0
safflower,2006,1766.0,28.6591152747,79.8654952034,1196.0
safflower,2006,4231.0,26.773280227,62.0082224675,1021.0
safflower,2006,7325.0,27.3031046758,78.9753020214,5486.0
safflower,2006,14.0,25.5936970528,70.6693018038,10.0
safflower,2007,3098.0,26.9943413418,68.8007557076,2688.0
safflower,2007,7829.0,31.3120778646,76.4147017976,4305.0
safflower,2007,3198.0,24.3197166342,73.6209290294,1972.0
safflower,2007,9989.0,31.4503095625,78.8601045473,14566.0
safflower,2007,6885.0,27.5445260901,79.1969446187,1975.0
safflower,2007,52.0,24.6844886061,61.4317929672,44.0
safflower,2007,1952.0,30.5778024933,82.0036852892,1022.0
safflower,2007,161.0,24.586327078,89.7328195129,135.0
safflower,2007,8919.0,27.5318836764,80.013906687,10201.0
safflower,2007,3209.0,29.1360599584,60.8559769151,3411.0
safflower,2007,11342.0,31.1841191683,87.4431483519,7734.0
safflower,2007,1776.0,28.8798242726,66.6325029434,1517.0
safflower,2007,6801.0,28.3782934524,64.6716966462,4161.0
safflower,2007,5007.0,26.7600998878,66.6486771864,5491.0
safflower,2008,3580.0,26.3484358568,71.6711882962,2258.0
safflower,2008,6937.0,28.8500497203,88.9014724535,5183.0
safflower,2008,1285.0,31.430892106,77.5103286019,472.0
safflower,2008,10804.0,25.8896588438,84.5739405541,13394.0
safflower,2008,10224.0,29.1567343239,81.7353943246,4983.0
safflower,2008,54.0,30.8865276634,79.171076068,44.0
safflower,2008,4652.0,25.1790593076,85.1094028076,2581.0
safflower,2008,30.0,31.0961114054,84.1554732157,24.0
safflower,2008,7026.0,30.1926159784,76.658796758,10916.0
safflower,2008,4391.0,24.7387426342,88.7338461714,4292.0
