crop,Crop_Year,Area,Temperature,Rainfall,Production
sugarcane,1997,125173.0,21.0538505285,81.4284114774,11177949.0
sugarcane,1997,6945.0,25.4367036809,86.0989206223,488234.0
sugarcane,1997,1585.0,27.9319689599,115.435177929,149070.0
sugarcane,1997,22571.0,23.950004903,127.0325405992,1543856.0
sugarcane,1997,56484.0,27.0330601512,119.814582904,5795258.0
sugarcane,1997,1488.0,23.3577817009,93.5575228136,163978.0
sugarcane,1997,8378.0,29.3255724861,78.2848771871,827746.0
sugarcane,1997,2154.0,20.4542877889,112.0280058609,188260.0
sugarcane,1997,7762.0,28.2655428518,75.4141584952,442434.0
sugarcane,1997,5032.0,27.2813540408,99.2246201009,411114.0
sugarcane,1997,4919.0,25.002851053,112.8305832407,495343.0
sugarcane,1997,7.0,26.4486644526,125.6993238155,658.0
sugarcane,1997,3183.0,27.5795852307,116.2687050129,290290.0
sugarcane,1997,26846.0,25.0829579746,95.4737692097,2958429.0
sugarcane,1997,19349.0,23.6783327199,92.4803461072,2058734.0
sugarcane,1997,1304.0,20.8577782714,115.8104498403,122641.0
sugarcane,1997,12141.0,20.1528696649,109.5842362001,1614753.0
sugarcane,1997,1732.0,22.1497268029,127.3069408523,171122.0
sugarcane,1997,1804.0,29.5696497922,121.3207783324,99400.0
sugarcane,1999,53888.0,22.7864933636,77.4150180833,6143232.0
sugarcane,1999,1484.0,23.4729582249,143.3369106614,149439.0
sugarcane,1999,140512.0,21.7366912266,102.8054801655,13081667.0
sugarcane,1999,7336.0,28.7096875391,142.805157607,655105.0
sugarcane,1999,66.0,21.1424930742,132.264318058,6646.0
sugarcane,1999,26826.0,26.0290637448,84.3149101192,2140715.0
sugarcane,1999,15680.0,26.0242219888,110.7002090716,1787520.0
sugarcane,1999,19079.0,26.8739292681,128.0471055257,2301881.0
sugarcane,1999,1235.0,26.5123347733,118.9521065269,140790.0
sugarcane,1999,1314.0,21.9385485731,125.5672998629,132320.0
sugarcane,1999,598.0,23.7279527589,149.4881082882,60219.0
sugarcane,1999,14872.0,25.1791928745,145.7252328287,551008.0
sugarcane,1999,3906.0,22.4129808871,91.1423244048,359938.0
sugarcane,1999,130.0,20.6160874223,114.3268666084,13091.0
sugarcane,1999,8535.0,22.5885148672,104.7608311635,810825.0
sugarcane,1999,5054.0,23.1713026041,83.0510562341,576156.0
sugarcane,1999,7251.0,28.0497683576,133.1538295328,668180.0
sugarcane,1999,4101.0,25.0227532379,75.9457809732,483098.0
sugarcane,1999,2194.0,21.5558907449,144.6841237379,220936.0
sugarcane,1999,31377.0,26.7267018095,105.3426499039,4113525.0
sugarcane,1999,11118.0,21.6185053433,90.7775729408,1288576.0
