crop,Crop_Year,Area,Temperature,Rainfall,Production
urad,1999,296.0,19.160000702,51.9989311463,96.0
urad,1999,1887.0,27.8950809911,52.4800236385,613.0
urad,1999,269.0,24.6409171314,53.1700231738,87.0
urad,1999,116.0,29.6237667339,53.222892016,38.0
urad,1999,78045.0,24.2798471066,58.5103833861,18091.0
urad,1999,356.0,18.1623180055,64.5583800647,116.0
urad,1999,1188.0,27.0675298258,54.3916048796,386.0
urad,1999,82.0,24.1041261981,59.3825187019,27.0
urad,1999,1504.0,20.7510962498,52.8064735376,489.0
urad,1999,168.0,20.0883008515,71.3133040755,55.0
urad,1999,569.0,29.4222589399,58.1330984251,185.0
urad,1999,28059.0,20.3578999021,69.277630718,16367.0
urad,1999,1570.0,26.5165087405,60.8411456874,510.0
urad,1999,1113.0,15.7466832016,59.7026910864,362.0
urad,1999,45.0,19.8995325382,69.9858920499,15.0
urad,1999,408.0,27.2496249179,71.3138273736,133.0
urad,1999,1846.0,23.4073302865,55.9766262039,600.0
urad,1999,111.0,16.3168074807,56.6330710051,36.0
urad,1999,833.0,21.2791095633,57.7440077374,271.0
urad,2000,286.0,25.2553967934,51.6194496616,111.0
urad,2000,2422.0,28.1194026053,61.8370562438,936.0
urad,2000,148.0,29.1238172908,62.8765519097,57.0
urad,2000,134.0,16.8651234108,65.9907207465,52.0
urad,2000,84597.0,19.2555890012,57.8157861749,27727.0
urad,2000,1053.0,16.1313325752,56.799914825,407.0
urad,2000,681.0,21.903544198,54.8127260205,263.0
urad,2000,81.0,16.3731624264,67.269360419,31.0
urad,2000,169.0,28.8743607036,73.1147828033,65.0
urad,2000,505.0,20.0217077128,66.6047521358,195.0
urad,2000,8.0,15.8104016831,57.291285972,3.0
urad,2000,37524.0,18.702127491,55.1101742617,19321.0
urad,2000,968.0,25.5805358767,67.6152904158,498.0
urad,2000,1178.0,24.6649094156,74.3541852216,455.0
urad,2000,53.0,29.3931719229,58.4823249055,20.0
urad,2000,469.0,25.5139473551,67.52564936,181.0
urad,2000,2645.0,27.473744273,62.1581083869,1023.0
urad,2000,31.0,21.1384834828,69.8790187841,12.0
urad,2000,117.0,22.4113735789,52.5055900966,45.0
urad,2000,660.0,19.768148233,54.534981746,255.0
urad,2001,81.0,24.1748672423,68.6691567202,30.0
urad,2001,2727.0,21.5795620019,74.7198312233,1008.0
urad,2001,67.0,29.749794719,65.169767951,25.0
urad,2001,38.0,19.913843891,59.5383654293,14.0
urad,2001,86581.0,25.7260284946,58.8546184546,35780.0
urad,2001,1720.0,15.2119831477,72.0640192804,636.0
urad,2001,633.0,26.0915799641,54.5664446599,234.0
urad,2001,40.0,27.3553951087,70.9075752057,15.0
urad,2001,125.0,19.0455532258,63.2594413918,46.0
urad,2001,1113.0,29.5366240037,65.6143947661,411.0
urad,2001,4.0,16.0072549888,57.2980084669,1.0
urad,2001,49255.0,29.214523947,50.4871445654,14646.0
urad,2001,828.0,26.6306417486,66.7440305629,54.0
urad,2001,1156.0,23.0552199983,54.218320617,427.0
urad,2001,41.0,21.7184184707,60.6352789948,15.0
urad,2001,3.0,26.685851618,62.6600044163,1.0
urad,2001,350.0,17.1636885921,51.5725802203,129.0
urad,2001,5184.0,29.0843634701,73.04086427,1916.0
urad,2001,42.0,27.3645795062,66.7669897994,16.0
urad,2001,110.0,26.9629552739,57.8429393569,41.0
urad,2001,490.0,17.1479073716,56.5921039448,181.0
urad,2002,25.0,27.5121771338,53.1860380742,4.0
urad,2002,1815.0,15.8021862617,50.7953374756,202.0
urad,2002,28.0,25.0233144256,54.3609171299,4.0
urad,2002,13.0,24.71576762,68.6767081722,2.0
urad,2002,83943.0,24.309469875,63.1091250839,10207.0
urad,2002,1878.0,25.4640926644,59.4172265651,293.0
urad,2002,780.0,21.9050235683,59.9207018118,111.0
urad,2002,31.0,22.62356051,65.2888926598,4.0
urad,2002,45.0,24.3883033398,70.7476372799,6.0
urad,2002,1489.0,15.8576042034,60.3359009268,212.0
urad,2002,1.0,21.3391715287,51.5906505319,0.1
urad,2002,53648.0,15.2902983481,63.5338292007,9378.0
urad,2002,751.0,19.6084455144,57.2898216496,107.0
urad,2002,419.0,26.7478608434,50.1745707096,47.0
urad,2002,106.0,17.1515570326,59.0762503383,15.0
urad,2002,291.0,19.6657833944,59.5782968916,41.0
urad,2002,3569.0,23.2263208194,68.0847710727,556.0
urad,2002,13.0,16.541709482,54.5822178272,2.0
urad,2002,116.0,27.3006574372,53.273903906,17.0
urad,2002,408.0,28.7976272571,68.8924409232,58.0
urad,2003,104.0,28.3892636546,64.2660389696,26.0
urad,2003,1064.0,18.4851804113,54.5326340595,237.0
urad,2003,26.0,18.1529176778,68.0307202938,7.0
urad,2003,21.0,27.6227049056,58.8570893244,5.0
urad,2003,69566.0,23.6289662404,72.4802364443,16125.0
urad,2003,1141.0,18.0509595127,59.9589283845,33.0
