crop,Crop_Year,Area,Temperature,Rainfall,Production
bajra,1997,34917.0,16.1729112271,41.3486937082,5666.0
bajra,1997,14047.0,15.4354142537,46.0036856136,7221.0
bajra,1997,14756.0,16.8733438179,49.26884413,9500.0
bajra,1997,94756.0,15.5083573291,59.9358933956,40777.0
bajra,1997,5257.0,15.3551976355,43.4546109855,1816.0
bajra,1997,1581.0,15.2868786136,46.1216418117,564.0
bajra,1997,66832.0,16.3981593116,52.8256445609,39483.0
bajra,1997,119.0,16.0967377678,47.9407233331,44.0
bajra,1997,365.0,17.060504046,47.2436001063,161.0
bajra,1997,68296.0,16.304046498,57.6471863213,26777.0
bajra,1997,223.0,18.4301658181,44.5868635415,47.0
bajra,1998,48855.0,19.9659975532,46.791950817,52375.0
bajra,1998,30894.0,18.5714777678,48.3250481671,8901.0
bajra,1998,25918.0,16.5179551745,57.132650222,24114.0
bajra,1998,13994.0,19.626673826,51.6953557645,6398.0
bajra,1998,88693.0,18.4015951434,46.4485254577,64614.0
bajra,1998,790.0,19.0945883562,52.2572022408,548.0
bajra,1998,8649.0,16.09172885,58.9717411814,6113.0
bajra,1998,914.0,19.5690088532,47.9669488114,515.0
bajra,1998,1190.0,18.0154692824,40.6847833854,598.0
bajra,1998,74628.0,17.1232079329,48.9966972286,47736.0
bajra,1998,892.0,17.9834773883,46.2232334894,589.0
bajra,1998,172.0,16.184042482,56.0683749211,81.0
bajra,1998,54118.0,19.0786460995,50.5578661003,26932.0
bajra,1998,5.0,17.6104977559,40.3506948928,2.0
bajra,1998,6.0,17.269579254,49.9004130467,3.0
bajra,1998,65722.0,17.7587951533,42.2312166622,42536.0
bajra,1998,376.0,15.0996743285,59.0891825671,176.0
bajra,1999,41122.0,16.9440320263,56.6569718272,29929.0
bajra,1999,40295.0,17.6571626866,56.9392113398,14078.0
bajra,1999,21565.0,19.6504268825,49.8287977732,13334.0
bajra,1999,8690.0,16.8749785282,53.8332609216,6722.0
bajra,1999,114012.0,18.1513032798,59.4109308266,73692.0
bajra,1999,663.0,16.0300556891,43.3712367498,400.0
bajra,1999,4852.0,19.17556758,56.5113565534,2259.0
bajra,1999,447.0,15.7576253999,59.0378872533,208.0
bajra,1999,1168.0,15.2477086427,58.5039417416,444.0
bajra,1999,82670.0,19.5024256078,54.9742981423,59531.0
bajra,1999,647.0,15.1614959672,54.4957633165,352.0
bajra,1999,228.0,15.3220385335,40.857973157,87.0
bajra,1999,50498.0,19.2748644915,50.5603237303,28131.0
bajra,1999,52.0,19.5653425192,41.9042581692,29.0
bajra,1999,54069.0,19.1492294089,52.2978957573,21834.0
bajra,1999,207.0,18.0559640324,51.2800503996,79.0
bajra,2000,41232.0,19.0495227512,43.2835274813,41300.0
bajra,2000,42290.0,15.9602369536,44.9792479598,18187.0
bajra,2000,25729.0,16.894273363,51.0851439283,21054.0
bajra,2000,9808.0,17.8937631941,55.9926662093,7442.0
bajra,2000,111741.0,15.3424936318,56.8987849813,89582.0
bajra,2000,677.0,19.0048761157,54.4872477813,510.0
bajra,2000,5174.0,19.167541867,42.9889547592,3919.0
bajra,2000,633.0,16.8494286682,57.4083496132,368.0
bajra,2000,41.0,19.1003359564,46.3975008303,18.0
bajra,2000,1858.0,19.3651199199,51.5194481205,945.0
bajra,2000,86296.0,17.0698137781,44.7995483735,77248.0
bajra,2000,382.0,16.5399038711,44.7653897524,286.0
bajra,2000,44.0,19.4185355079,47.9283716842,19.0
bajra,2000,59035.0,16.7432618401,45.6693878875,35279.0
bajra,2000,21.0,16.8118585259,58.955595702,15.0
bajra,2000,75776.0,16.3999508808,44.8630839968,44190.0
bajra,2000,311.0,16.5777511002,47.8200359761,136.0
bajra,2001,15169.0,18.0165936124,44.1546687747,11519.0
bajra,2001,11314.0,16.6322117878,47.6303683896,3171.0
bajra,2001,16332.0,18.7865510815,53.720634895,12464.0
bajra,2001,8672.0,18.177253248,59.1259941966,5038.0
bajra,2001,10298.0,15.5904751508,55.8878994095,5437.0
bajra,2001,323.0,17.6829318568,55.9711759605,160.0
bajra,2001,3376.0,15.9297672094,45.8008025751,1583.0
bajra,2001,517.0,19.2891050451,56.0563246944,220.0
bajra,2001,2032.0,16.5770265895,56.8210417571,1084.0
bajra,2001,59717.0,17.1174153297,53.7596624961,41750.0
bajra,2001,344.0,15.5272369786,45.3289208878,172.0
bajra,2001,38041.0,16.397354641,47.4804572545,15489.0
bajra,2001,41821.0,17.9493076935,54.1172508016,12900.0
bajra,2001,4.0,17.5417925854,46.7750777206,2.0
bajra,2001,253.0,19.7625595904,47.5390075685,102.0
bajra,2002,24007.0,15.1095664164,44.2115120602,7171.0
bajra,2002,20990.0,19.8427634894,44.4098788637,2820.0
bajra,2002,13560.0,19.3837467912,58.1823597271,6488.0
bajra,2002,8364.0,18.6090708044,42.721408336,6234.0
bajra,2002,55607.0,17.0893689021,48.184005753,22679.0
bajra,2002,572.0,15.0039672373,43.0142513081,377.0
bajra,2002,3557.0,17.9435476586,48.5810363151,2254.0
bajra,2002,405.0,15.5424881693,44.8804706554,142.0
bajra,2002,1395.0,15.5930938536,53.4141974185,811.0
bajra,2002,60130.0,18.3711103441,47.9581073762,45774.0
bajra,2002,433.0,19.3600446448,55.7568758687,157.0
bajra,2002,378.0,19.6608908813,41.7273711841,138.0
bajra,2002,50604.0,16.8745618742,47.4528065531,5960.0
bajra,2002,63588.0,16.0166734584,54.2813746061,18369.0
bajra,2002,34.0,16.2206050729,47.0648608748,12.0
bajra,2002,244.0,16.5290344333,50.7067651587,89.0
bajra,2003,15454.0,19.7821302556,59.9291328086,8153.0
bajra,2003,5925.0,18.5634172476,52.4918433634,1062.0
bajra,2003,25949.0,15.2073475903,55.8519394318,17480.0
bajra,2003,10039.0,16.4354096777,42.3518201573,9804.0
bajra,2003,36571.0,17.925829736,43.0297598367,21145.0
bajra,2003,241.0,16.0768331046,53.2746745219,160.0
bajra,2003,3139.0,18.4319711972,55.3828277482,1212.0
bajra,2003,905.0,19.3107876652,46.0336821401,544.0
bajra,2003,1498.0,18.2623997093,59.5915998552,693.0
bajra,2003,72378.0,15.8823172336,43.045655095,52136.0
bajra,2003,43.0,15.6300231251,44.3373601245,25.0
bajra,2003,31.0,17.045887867,51.3268659225,9.0
bajra,2003,76296.0,16.2182819876,56.3404413462,48590.0
bajra,2003,69550.0,15.4127192865,41.1303871995,29978.0
bajra,2003,309.0,16.7628757708,48.6515317014,88.0
bajra,2004,50947.0,19.3349512,46.2607426748,32970.0
bajra,2004,40727.0,19.3363720973,47.8189290694,20505.0
bajra,2004,17021.0,17.4525024493,47.3550763264,12115.0
bajra,2004,8912.0,15.837963387,44.9234219538,7744.0
bajra,2004,97629.0,18.3065416159,57.8733026906,64623.0
bajra,2004,619.0,15.4406315861,44.4648565717,499.0
bajra,2004,7171.0,18.7328625461,42.5452144856,4002.0
bajra,2004,604.0,17.3973227612,47.4190599484,333.0
bajra,2004,2015.0,15.8502836233,57.0259891516,1191.0
bajra,2004,68824.0,15.8868533974,56.6023955813,54244.0
bajra,2004,178.0,16.890450872,57.7747061482,97.0
bajra,2004,77.0,16.5217405432,56.8214761402,29.0
bajra,2004,73307.0,18.2015787175,53.6830221873,33517.0
bajra,2004,74080.0,17.3488027914,47.357911561,32237.0
bajra,2004,261.0,19.9024720169,49.6644121627,97.0
bajra,2005,44354.0,15.650569182,52.3760136214,54674.0
bajra,2005,33.0,19.0134559154,57.1841547066,19.0
bajra,2005,27553.0,17.9468973502,51.1648938629,10729.0
bajra,2005,20594.0,15.772018825,41.8422834816,16424.0
bajra,2005,9577.0,18.6860968132,49.6982765271,6050.0
bajra,2005,83066.0,16.2422494064,46.4156670878,52471.0
bajra,2005,915.0,16.9167522734,50.4084738635,903.0
bajra,2005,4772.0,18.2489236627,49.8141930133,4053.0
bajra,2005,716.0,19.8511901904,50.7349404695,436.0
bajra,2005,2482.0,16.0862323551,44.1049978163,2204.0
bajra,2005,72667.0,15.5236240319,58.8466993802,70441.0
bajra,2005,73.0,19.8346742946,47.6310777492,62.0
bajra,2005,93.0,18.2185608909,42.5846361534,54.0
bajra,2005,94687.0,18.7206183595,40.0833142059,101389.0
bajra,2005,68058.0,17.0522392846,47.4393675255,69299.0
bajra,2005,249.0,18.2052876931,49.3736551866,212.0
bajra,2006,39194.0,15.166416944,46.4821272889,13233.0
bajra,2006,6.0,19.8326775149,54.050836684,3.0
bajra,2006,30036.0,19.0593760174,51.3077346006,9567.0
bajra,2006,15831.0,18.5102876575,52.3913889423,7505.0
bajra,2006,9430.0,15.4402558136,49.7220625808,7831.0
bajra,2006,95656.0,15.1047604032,41.0380626355,44250.0
bajra,2006,387.0,17.6603444405,51.6626166537,244.0
bajra,2006,1072.0,19.8661560646,50.7173610058,544.0
bajra,2006,494.0,16.3661243459,54.0596023259,366.0
bajra,2006,2004.0,16.9078948882,50.964691259,890.0
bajra,2006,65634.0,16.8544799626,48.7833356863,43042.0
bajra,2006,69.0,15.5839162306,44.5012129439,28.0
bajra,2006,100.0,19.4091222426,45.6257288769,45.0
bajra,2006,69097.0,18.2650741131,57.3847335367,16612.0
bajra,2006,57333.0,18.998368763,49.6484993787,17692.0
bajra,2006,113.0,18.7718435648,53.7678903081,51.0
bajra,2007,51037.0,19.6324209583,42.0134437099,58785.0
bajra,2007,4.0,17.1266461822,57.0771769967,3.0
bajra,2007,36172.0,17.7784455742,50.3551731361,17343.0
bajra,2007,15855.0,17.7249723586,58.3696232277,13500.0
bajra,2007,8077.0,16.755131669,46.6262691815,8456.0
bajra,2007,116368.0,15.5348838389,46.8125371204,74324.0
bajra,2007,782.0,16.095819179,48.5942404717,967.0
bajra,2007,2293.0,17.1618084278,55.7295909131,2208.0
bajra,2007,721.0,16.7365925864,41.1219080407,720.0
bajra,2007,1950.0,16.277003627,52.9558997247,3198.0
bajra,2007,61866.0,15.7137094594,45.7864625457,48530.0
bajra,2007,47.0,17.6844577395,56.4576429005,34.0
bajra,2007,39.0,15.1368039867,42.4757252805,27.0
bajra,2007,72360.0,15.9345434999,53.4175396973,61349.0
bajra,2007,62068.0,16.0301721937,40.9442945017,43211.0
bajra,2007,193.0,15.0366421045,41.2021580066,135.0
bajra,2008,22009.0,17.642680845,56.9467226687,24287.0
bajra,2008,4.0,17.667948416,59.4967476918,2.0
bajra,2008,14131.0,15.8105796622,59.2711388305,5753.0
bajra,2008,12052.0,15.1369260519,50.8723746532,7336.0
bajra,2008,7219.0,17.1058324517,54.5309993379,7065.0
bajra,2008,33180.0,15.6310491124,56.067328666,18521.0
bajra,2008,479.0,16.2858419151,45.6697903446,341.0
bajra,2008,1581.0,17.3862833949,58.1995730487,600.0
bajra,2008,925.0,19.8296724243,44.0536000619,582.0
bajra,2008,1621.0,18.0929711808,51.2159626386,930.0
bajra,2008,52617.0,19.9119454205,45.8695910171,41894.0
bajra,2008,15.0,17.8412402963,44.9996256186,8.0
bajra,2008,64697.0,17.8372485522,50.8086354831,35840.0
bajra,2008,53497.0,16.0742447403,55.5646538593,36280.0
bajra,2008,143.0,18.5989349601,44.2476137946,70.0
bajra,2009,43613.0,18.1241203726,55.7938426504,17323.0
bajra,2009,4.0,15.5886031839,50.3349451039,2.0
bajra,2009,24305.0,18.3839615673,45.8336644098,6290.0
bajra,2009,13586.0,15.1952019501,56.4864143059,8249.0
bajra,2009,7943.0,17.4510285446,59.3596846792,4377.0
bajra,2009,62057.0,17.8075555939,44.9094764494,28246.0
bajra,2009,543.0,16.3561810555,45.0221581302,302.0
bajra,2009,1278.0,16.0009589847,53.2121143578,694.0
bajra,2009,958.0,19.4655469988,46.3976705664,646.0
bajra,2009,1804.0,18.0580371189,50.944557213,913.0
bajra,2009,35856.0,16.5551560096,58.8201655501,20403.0
bajra,2009,56210.0,18.8807358032,59.4118523052,18512.0
bajra,2009,55935.0,18.0470494086,41.1481233285,24202.0
bajra,2009,136.0,15.127145357,52.2783840223,42.0
bajra,2010,34045.0,16.9526602378,46.6920009526,49726.0
bajra,2010,4.0,16.6956602501,49.8715670117,4.0
bajra,2010,19149.0,15.0373972228,44.8202603887,11639.0
bajra,2010,13457.0,16.9828334278,45.9286246625,11295.0
bajra,2010,6717.0,19.7599660992,50.3757074046,5117.0
bajra,2010,65452.0,18.4727872932,56.0725003358,45773.0
bajra,2010,305.0,17.9405485305,43.1315555747,299.0
bajra,2010,46.0,16.1422664774,59.9185886928,42.0
bajra,2010,1508.0,17.8414556661,52.0710336959,825.0
bajra,2010,1405.0,19.2456229967,44.4748258109,2106.0
bajra,2010,2799.0,15.6445941587,41.1809918965,1781.0
bajra,2010,18875.0,18.1815630349,48.9948235825,13796.0
bajra,2010,66897.0,16.0662980795,45.4734716859,82512.0
bajra,2010,53772.0,15.6338116321,45.143669395,47919.0
bajra,2010,197.0,15.8981119596,41.4434692715,108.0
bajra,2010,23349.0,17.4287671279,56.4803897885,18167.0
bajra,2011,33222.0,19.7124704659,59.9170770528,42396.0
bajra,2011,4.0,18.7242392045,42.5582913346,3.0
bajra,2011,12459.0,18.9513140934,40.6284780383,6619.0
bajra,2011,14124.0,18.2242316034,56.2989213097,9253.0
bajra,2011,6414.0,16.7258697923,51.9651824189,5837.0
bajra,2011,60052.0,18.9584433376,55.3703854544,45322.0
bajra,2011,258.0,17.5638517603,40.2862588504,214.0
bajra,2011,843.0,15.2745448676,50.7416410479,1001.0
bajra,2011,1612.0,19.5108865989,52.1315231105,906.0
bajra,2011,894.0,18.9586294785,48.2978331666,582.0
bajra,2011,2159.0,19.3691549757,47.8446010688,1240.0
bajra,2011,20942.0,19.5143451983,49.954464974,16845.0
bajra,2011,7.0,15.3766601563,45.9542935197,6.0
bajra,2011,65874.0,19.3984789606,54.0753393172,75586.0
bajra,2011,45346.0,15.8330172299,58.7554997244,40543.0
bajra,2011,90.0,17.276897559,42.8574781793,64.0
bajra,2011,17401.0,18.9861445572,46.7584929062,9655.0
bajra,2012,19091.0,19.609242133,46.0802570306,18227.0
bajra,2012,5.0,19.8612381196,54.1263500405,5.0
bajra,2012,7579.0,15.8452166072,54.5231333329,2657.0
bajra,2012,20897.0,16.7776481572,58.2373617072,16954.0
bajra,2012,2.0,16.3223003213,56.8382574927,2.0
bajra,2012,5110.0,17.7789543298,58.1890561138,5772.0
bajra,2012,55438.0,15.7157042533,50.8092096109,51981.0
bajra,2012,640.0,16.6237628902,56.3995163252,1260.0
bajra,2012,5.0,18.7092257736,57.4120106513,5.0
bajra,2012,1330.0,18.0518517002,55.8597682185,699.0
bajra,2012,882.0,16.3903090326,41.912942063,640.0
bajra,2012,15.0,18.4542707509,47.5590024224,16.0
bajra,2012,2964.0,16.9684781742,50.4366097231,2312.0
bajra,2012,15566.0,16.6708637768,50.3603860019,16961.0
bajra,2012,43.0,18.6588087331,46.4742403866,45.0
bajra,2012,59.0,19.8892228569,41.4175678998,61.0
bajra,2012,71347.0,15.7391168288,47.0229629612,97196.0
bajra,2012,52357.0,18.2231389138,55.9061265316,51281.0
bajra,2012,12.0,19.9312004841,43.3744704529,12.0
bajra,2012,90.0,18.9397888469,59.7506230486,94.0
bajra,2012,21183.0,19.2707906198,57.0845665399,18977.0
bajra,2013,26519.0,15.0069535615,51.7046543747,24211.0
bajra,2013,12444.0,19.5188764965,53.9024910205,8204.0
bajra,2013,17017.0,16.3492457934,47.4463786031,17201.0
bajra,2013,7.0,16.4474380861,41.4775237534,8.0
bajra,2013,2939.0,18.6893730688,41.8543951908,3356.0
bajra,2013,69832.0,17.0005087578,48.1921984873,75694.0
bajra,2013,915.0,15.4208035924,46.3986226867,1409.0
bajra,2013,2.0,19.4396644,50.043214508,2.0
bajra,2013,1.0,17.7031555259,47.3694943601,1.0
bajra,2013,2049.0,15.3978947165,46.5226103758,1110.0
bajra,2013,653.0,17.4844065052,47.0181571869,659.0
bajra,2013,8.0,19.3788938611,44.7733603966,9.0
bajra,2013,2771.0,15.770520498,41.8568794164,2169.0
bajra,2013,14897.0,15.1183188626,49.4335888157,19870.0
bajra,2013,43.0,17.4995290415,58.4660621031,51.0
bajra,2013,59563.0,15.5655925894,55.8090813658,99363.0
bajra,2013,4.0,18.2897545192,54.6617005723,5.0
bajra,2013,50996.0,18.8533885064,49.2172073462,56876.0
bajra,2013,68.0,16.1032018839,55.2413684793,80.0
bajra,2013,4.0,15.4354754468,51.3152977779,5.0
bajra,2013,92.0,18.8972898168,40.0032764764,109.0
bajra,2013,19647.0,17.1714741878,50.7060809831,20531.0
bajra,2014,22021.0,17.8079793279,51.4443549534,24288.0
bajra,2014,9256.0,16.7974341395,59.0152362214,6146.0
bajra,2014,15570.0,15.4682564527,46.8477825172,16700.0
bajra,2014,3724.0,16.4774446298,47.965487206,3743.0
bajra,2014,48810.0,17.9358130978,40.0767194747,37281.0
bajra,2014,370.0,15.6524974804,41.4266190958,458.0
bajra,2014,1697.0,18.3358376532,49.1767863902,1053.0
bajra,2014,624.0,19.227081813,46.3817686445,620.0
bajra,2014,5.0,17.6366218612,51.9220472324,5.0
bajra,2014,2420.0,18.3481772878,41.3682086559,1421.0
bajra,2014,15642.0,15.6683243491,45.7268451606,18218.0
bajra,2014,51338.0,17.9313279124,43.8890575568,88910.0
bajra,2014,35.0,15.1801214497,47.5753233111,37.0
bajra,2014,46275.0,17.7712694457,48.3402009421,33806.0
bajra,2014,3.0,15.3845028522,58.066967156,3.0
bajra,2014,2.0,18.2738571134,52.4484217288,2.0
bajra,2014,337.0,15.7080655604,47.1445140404,358.0
bajra,2014,16160.0,18.9046003726,57.6850762571,15552.0
