crop,Crop_Year,Area,Temperature,Rainfall,Production
coriander,1997,215.0,25.4821001542,8.9361925112,26.0
coriander,1997,10736.0,17.4728177352,9.1876597277,2168.0
coriander,1997,154.0,18.4499985306,9.2748261999,17.0
coriander,1997,701.0,26.0737018363,9.8977481258,74.0
coriander,1997,400.0,24.607222632,9.2549258241,38.0
coriander,1997,1180.0,15.1974883978,7.7159509014,120.0
coriander,1997,782.0,26.2743015315,9.4025229609,79.0
coriander,1997,1796.0,24.6483063457,9.686854944,185.0
coriander,1997,21.0,21.590239651,8.3670913557,3.0
coriander,1997,251.0,21.2908169159,7.5663036154,32.0
coriander,1997,67.0,26.9691361039,8.0018301807,7.0
coriander,1997,870.0,18.0163286894,9.434699052,86.0
coriander,1997,38.0,25.3777424813,7.8808779702,7.0
coriander,1997,83.0,16.8737364391,9.532565376,8.0
coriander,1997,23.0,24.8928446261,8.921672353,3.0
coriander,1998,43.0,23.7531679849,9.2907906492,4.0
coriander,1998,129.0,19.5658693247,9.2213650618,14.0
coriander,1998,465.0,21.4431056222,8.946424258,55.0
coriander,1998,11095.0,17.5270252319,9.7163498606,2241.0
coriander,1998,12.0,25.1688119935,8.6162685082,2.0
coriander,1998,786.0,19.6013868665,8.6612778939,83.0
coriander,1998,381.0,25.9051433991,7.767078874,36.0
coriander,1998,166.0,16.4079764785,7.933203633,16.0
coriander,1998,1390.0,26.4676846463,7.7011082862,142.0
coriander,1998,698.0,27.8313534752,8.7784294327,70.0
coriander,1998,127.0,27.1202969443,9.2494569827,13.0
coriander,1998,576.0,25.4026466833,8.4421886912,59.0
coriander,1998,113.0,18.0622688685,9.6275019492,12.0
coriander,1998,46.0,18.2792257675,8.095906892,7.0
coriander,1998,226.0,26.0471456607,7.6869312572,28.0
coriander,1998,518.0,24.861357545,8.8721180393,53.0
coriander,1998,60.0,26.536213962,9.1705681012,6.0
coriander,1998,413.0,27.7200956446,9.8392074633,72.0
coriander,1998,639.0,27.3540131949,9.8838802305,63.0
coriander,1998,52.0,15.6515173315,9.1623039806,6.0
coriander,1999,31.0,27.4656595709,8.6759915758,3.0
coriander,1999,143.0,24.4940683188,8.4330911234,15.0
coriander,1999,488.0,18.6930462984,8.0276703632,58.0
coriander,1999,5948.0,23.8535982329,8.4248996179,1201.0
coriander,1999,19.0,23.1784434925,8.1283109562,3.0
coriander,1999,717.0,25.0740363277,9.5015763893,76.0
coriander,1999,362.0,23.8327903313,9.7857985124,34.0
coriander,1999,140.0,15.4913064916,7.6488615626,14.0
coriander,1999,1270.0,25.7722168253,9.8965595998,130.0
coriander,1999,387.0,16.6918159038,8.3674741539,39.0
coriander,1999,114.0,22.2345324074,8.9599563262,12.0
coriander,1999,497.0,25.4271167666,8.6806952317,51.0
coriander,1999,143.0,15.0800044593,8.2652053252,15.0
coriander,1999,41.0,16.8052743121,9.1436483314,6.0
coriander,1999,223.0,25.1491939268,7.6080930458,28.0
coriander,1999,442.0,26.0356668756,7.5559002783,46.0
coriander,1999,70.0,23.9716935384,9.8849987039,7.0
coriander,1999,355.0,18.5367021905,9.3585631184,62.0
coriander,1999,630.0,27.7320846693,8.5557163906,62.0
coriander,1999,2.0,20.5098105653,9.9588136256,1.0
coriander,1999,69.0,21.8962520048,8.547023439,8.0
coriander,2000,34.0,24.0976636132,9.2725117375,3.0
coriander,2000,133.0,19.3105127241,9.7777756385,14.0
coriander,2000,389.0,25.9787152891,9.0218221419,46.0
coriander,2000,4148.0,25.7167061129,9.2729913371,838.0
coriander,2000,24.0,22.9024880728,7.9233145849,4.0
coriander,2000,661.0,15.7516688987,8.1106149136,70.0
coriander,2000,506.0,21.2919677595,8.1870383162,48.0
coriander,2000,119.0,17.6549106672,9.2427244048,12.0
coriander,2000,1206.0,27.4833906699,8.0531652321,123.0
coriander,2000,391.0,16.2071004403,8.3676112617,39.0
coriander,2000,104.0,23.2983879953,9.4587578018,11.0
coriander,2000,637.0,27.396358023,9.4884318131,66.0
coriander,2000,103.0,20.8335668559,8.9115760501,11.0
coriander,2000,63.0,27.3064094372,9.1480207048,10.0
coriander,2000,138.0,20.5502604145,9.4252756635,17.0
coriander,2000,494.0,22.4426904211,8.0630706404,51.0
coriander,2000,120.0,21.5641345881,8.6477134518,12.0
coriander,2000,463.0,22.249825755,9.5243842028,81.0
coriander,2000,15.0,15.7321615755,8.6802195959,1.0
coriander,2000,23.0,17.294111882,8.0714403141,4.0
coriander,2000,58.0,26.9311201903,9.791953628,6.0
coriander,2001,30.0,16.8888956401,7.9543339428,3.0
coriander,2001,7.0,27.3963178845,9.5635718784,1.0
coriander,2001,184.0,22.5063239408,8.588642727,22.0
coriander,2001,6420.0,24.7662389756,8.2769200852,1297.0
coriander,2001,29.0,19.1120043235,7.5175456986,5.0
coriander,2001,788.0,26.1912040524,8.7439208443,83.0
coriander,2001,130.0,17.0572831801,9.6107729697,12.0
coriander,2001,18.0,17.2651817982,8.0120988246,2.0
coriander,2001,1594.0,20.1181046712,8.0471907529,163.0
coriander,2001,127.0,23.8541711079,9.7341621617,13.0
coriander,2001,53.0,15.0244299436,8.1890347213,5.0
coriander,2001,374.0,15.8233673827,8.0808536693,39.0
coriander,2001,147.0,17.2648780109,9.7229143854,15.0
coriander,2001,63.0,19.4716173666,8.7807071305,10.0
coriander,2001,282.0,25.7282087958,8.2571985752,35.0
coriander,2001,322.0,20.5979339695,8.9242769409,33.0
coriander,2001,56.0,17.9041143498,9.0950864035,6.0
coriander,2001,170.0,16.9226462977,9.6184838573,30.0
coriander,2001,217.0,26.4689251926,9.742716662,21.0
coriander,2001,275.0,16.9223728589,8.5176572389,48.0
coriander,2001,20.0,18.6142011825,8.0268885161,2.0
coriander,2002,30.0,21.6074624542,9.2642109292,3.0
coriander,2002,274.0,19.7881359418,9.3516231321,33.0
coriander,2002,2908.0,16.7091385067,9.4268547968,587.0
coriander,2002,24.0,15.8993855181,7.7492743168,4.0
coriander,2002,729.0,27.2484163834,9.4632644747,77.0
coriander,2002,325.0,15.2276164923,7.7619232961,31.0
coriander,2002,26.0,23.8472240159,7.6199144199,3.0
coriander,2002,1305.0,18.2667385896,8.1539238253,133.0
coriander,2002,267.0,24.2165179754,7.5379555789,27.0
coriander,2002,41.0,18.6571948268,9.8669497022,4.0
coriander,2002,498.0,21.4355626703,9.4717078963,51.0
coriander,2002,148.0,16.8687262437,9.0540153314,15.0
coriander,2002,63.0,22.4944214727,8.4048499798,10.0
coriander,2002,473.0,16.6441220807,8.0506403981,59.0
coriander,2002,222.0,16.6057142472,8.4133494723,23.0
coriander,2002,57.0,25.6505465635,7.7877330584,6.0
coriander,2002,150.0,22.6155303511,7.692264349,26.0
coriander,2002,34.0,20.8682700025,9.8186247462,3.0
coriander,2002,103.0,19.9606747781,8.3728966979,18.0
coriander,2002,8.0,18.4931265378,8.3014790548,1.0
coriander,2003,26.0,17.2239790085,9.6865553452,2.0
coriander,2003,278.0,23.403167892,8.9802545294,33.0
coriander,2003,3503.0,20.3393958103,8.0951384075,707.0
coriander,2003,33.0,17.3934961265,8.9718970866,5.0
coriander,2003,687.0,17.9158189782,8.8225287883,73.0
coriander,2003,26.0,22.2420251262,7.7105325701,2.0
coriander,2003,137.0,25.7406179167,9.3718827075,14.0
coriander,2003,1338.0,27.5075236216,8.0823117627,136.0
coriander,2003,245.0,20.7823849069,8.4163068236,25.0
coriander,2003,26.0,20.0584668814,8.2226508475,3.0
coriander,2003,329.0,26.1686521018,9.503033008,34.0
coriander,2003,227.0,17.1266360847,8.7185484683,23.0
coriander,2003,73.0,23.4717080587,9.4737062357,11.0
coriander,2003,54.0,18.25690381,8.7115981031,7.0
coriander,2003,237.0,26.3673158248,7.940353462,24.0
