crop,Crop_Year,Area,Temperature,Rainfall,Production
cowpea_lobia,2010,225.0,23.204593567,108.2109330419,116.0
cowpea_lobia,2010,996.0,25.5074227713,84.9596219721,999.0
cowpea_lobia,2010,1574.0,22.5789007765,83.9212106352,673.0
cowpea_lobia,2010,362.0,33.0678351427,109.103807418,187.0
cowpea_lobia,2010,456.0,23.7427230778,91.8996605167,236.0
cowpea_lobia,2010,19.0,27.5330795023,106.6279735198,10.0
cowpea_lobia,2010,878.0,22.2468729324,90.8564804103,275.0
cowpea_lobia,2010,2486.0,27.4176282018,102.382376663,966.0
cowpea_lobia,2010,1428.0,26.5397906652,99.7513760533,1012.0
cowpea_lobia,2010,839.0,29.7261449462,105.26562519,220.0
cowpea_lobia,2010,934.0,33.5414609209,103.4484078026,755.0
cowpea_lobia,2010,260.0,30.0549684538,85.8641971894,134.0
cowpea_lobia,2010,1020.0,34.6854878329,83.020709575,398.0
cowpea_lobia,2010,995.0,29.1926897909,94.6744263159,207.0
cowpea_lobia,2010,1872.0,30.6147973484,100.4329344441,285.0
cowpea_lobia,2010,9186.0,32.3259485273,99.2105814354,3787.0
cowpea_lobia,2010,465.0,25.4274980045,105.4874735045,240.0
cowpea_lobia,2010,1766.0,27.4336925529,106.6455894524,2027.0
cowpea_lobia,2010,3541.0,30.7396987741,91.9854447922,3021.0
cowpea_lobia,2010,8702.0,27.5005313945,82.4530193479,6423.0
cowpea_lobia,2010,24202.0,26.8657741447,109.010112434,9910.0
cowpea_lobia,2010,187.0,33.1633665495,81.8610939877,97.0
cowpea_lobia,2010,2199.0,32.8258213977,106.475788971,1157.0
cowpea_lobia,2010,84.0,29.4935125935,93.5505039805,43.0
cowpea_lobia,2010,5112.0,34.4471558001,100.8179513971,2972.0
cowpea_lobia,2010,363.0,28.1470778258,92.7303657553,83.0
cowpea_lobia,2011,524.0,31.4198717445,106.886118335,277.0
cowpea_lobia,2011,845.0,29.2122752699,93.5364647954,621.0
cowpea_lobia,2011,1332.0,30.6992195965,107.9886470799,583.0
cowpea_lobia,2011,518.0,23.9833409109,104.1774502966,274.0
cowpea_lobia,2011,595.0,24.5340061263,104.2089601256,314.0
cowpea_lobia,2011,31.0,24.5699580807,96.6392190289,16.0
cowpea_lobia,2011,735.0,22.6232679268,107.3589273669,156.0
cowpea_lobia,2011,2879.0,23.7705203633,99.8274387341,1058.0
cowpea_lobia,2011,1269.0,24.6042653987,83.3506936937,691.0
cowpea_lobia,2011,683.0,30.5989329717,78.8267981739,229.0
cowpea_lobia,2011,915.0,27.7288479203,100.0625814195,481.0
cowpea_lobia,2011,235.0,33.102424274,75.9862390071,124.0
cowpea_lobia,2011,706.0,31.0791337695,89.5947480828,118.0
cowpea_lobia,2011,988.0,31.2083819234,96.3184459111,174.0
cowpea_lobia,2011,1143.0,31.7403439465,94.7546339571,404.0
cowpea_lobia,2011,11998.0,31.6212486506,89.5693105671,5574.0
cowpea_lobia,2011,301.0,27.0194697872,83.6105723596,159.0
cowpea_lobia,2011,1600.0,31.9270860256,101.1603672834,2804.0
cowpea_lobia,2011,1795.0,30.8271501196,109.2563241931,694.0
cowpea_lobia,2011,7729.0,23.7843871723,89.3774174756,4494.0
cowpea_lobia,2011,25791.0,24.7432155164,96.3658672205,11638.0
cowpea_lobia,2011,181.0,27.9232244881,88.0903609414,96.0
cowpea_lobia,2011,1996.0,23.9758529201,104.1274895787,2585.0
cowpea_lobia,2011,114.0,31.130024625,106.6370988889,60.0
cowpea_lobia,2011,2923.0,30.0794615853,93.1406351641,2196.0
cowpea_lobia,2011,263.0,28.4990383735,90.9543625909,139.0
cowpea_lobia,2012,166.0,32.2739766175,99.5213378859,45.0
cowpea_lobia,2012,747.0,27.013025191,103.9401722623,136.0
cowpea_lobia,2012,628.0,27.2328079968,92.3786734753,98.0
cowpea_lobia,2012,572.0,29.9615845023,107.3872556877,156.0
cowpea_lobia,2012,275.0,34.2069680015,93.836255084,75.0
cowpea_lobia,2012,123.0,26.8299629116,81.4149468451,34.0
cowpea_lobia,2012,252.0,31.7075744965,81.6715938262,76.0
cowpea_lobia,2012,3614.0,25.8551563907,75.4352871941,323.0
cowpea_lobia,2012,1571.0,22.2847976042,81.870364729,1807.0
cowpea_lobia,2012,229.0,22.7029402244,91.8621310518,63.0
cowpea_lobia,2012,406.0,28.2581296544,83.0602589143,280.0
cowpea_lobia,2012,342.0,27.5899401393,100.6348930603,94.0
cowpea_lobia,2012,681.0,22.1188436395,100.1231162517,155.0
cowpea_lobia,2012,249.0,27.5114934113,108.5384934092,64.0
cowpea_lobia,2012,266.0,26.2064846117,109.1265003863,118.0
cowpea_lobia,2012,13387.0,23.1702162862,99.673241805,1908.0
cowpea_lobia,2012,330.0,22.914961704,76.200768789,90.0
cowpea_lobia,2012,6.0,26.2658575527,76.6510868657,2.0
cowpea_lobia,2012,1200.0,34.4275346709,76.7788613534,1754.0
cowpea_lobia,2012,1118.0,23.8274474505,106.7448103456,300.0
cowpea_lobia,2012,7223.0,25.0749358905,100.3149607479,3760.0
cowpea_lobia,2012,26432.0,30.977565093,96.674878365,4846.0
cowpea_lobia,2012,62.0,25.8795603774,79.7294532276,17.0
cowpea_lobia,2012,1154.0,25.4915011834,89.1816041334,724.0
