crop,Crop_Year,Area,Temperature,Rainfall,Production
dry chillies,1998,619.0,24.6220364396,79.5558306814,816.0
dry chillies,1998,1652.0,21.6371729083,132.8517693271,627.0
dry chillies,1998,10884.0,21.8301334568,135.8401848722,6945.0
dry chillies,1998,11574.0,28.4273111708,100.476034253,25136.0
dry chillies,1998,162.0,38.5764557255,80.381408349,159.0
dry chillies,1998,772.0,21.956964492,66.5950421282,682.0
dry chillies,1998,2276.0,21.0654017338,84.2464188946,1637.0
dry chillies,1998,511.0,39.7242587797,120.3808171881,491.0
dry chillies,1998,2962.0,34.9848636895,128.5930925855,809.0
dry chillies,1998,3786.0,26.7476201434,74.4097673088,2120.0
dry chillies,1998,468.0,32.5859823136,121.1703870782,608.0
dry chillies,1998,4683.0,28.0336859734,81.8112238081,4237.0
dry chillies,1998,43111.0,23.3109434599,64.8342320676,33220.0
dry chillies,1998,14529.0,22.9536476682,105.3785925744,6003.0
dry chillies,1998,3070.0,36.9892171567,115.9391501184,4185.0
dry chillies,1998,1712.0,30.0580090567,72.2059045683,4571.0
dry chillies,1998,53823.0,38.7878304741,124.5402562414,41073.0
dry chillies,1998,256.0,20.4038268929,112.839377677,1363.0
dry chillies,1998,2070.0,39.4866995688,92.776710859,1822.0
dry chillies,1998,156.0,31.7425453399,104.1169302013,134.0
dry chillies,1998,1251.0,31.6853301193,123.5805853955,1298.0
dry chillies,1998,2000.0,28.1247374906,138.3413362057,564.0
dry chillies,1998,1392.0,29.0484203819,119.9527947532,1081.0
dry chillies,1998,2217.0,27.2292378172,135.8790984245,1634.0
dry chillies,1998,3716.0,39.1787025238,132.2346613308,4467.0
dry chillies,1998,542.0,28.7383967783,98.6841430925,705.0
dry chillies,1998,125.0,35.5147237718,80.2440933945,111.0
dry chillies,1999,579.0,26.3100096238,66.6954693745,595.0
dry chillies,1999,641.0,31.2426435718,90.0937070534,655.0
dry chillies,1999,10210.0,38.4671837753,139.7260793662,16631.0
dry chillies,1999,14920.0,18.6851030514,94.8761388915,26749.0
dry chillies,1999,503.0,30.557653053,126.4468829903,528.0
dry chillies,1999,880.0,38.4223629493,137.4510648954,788.0
dry chillies,1999,1793.0,21.7173336938,68.3873843055,2158.0
dry chillies,1999,508.0,19.8809402584,149.0139266105,527.0
dry chillies,1999,3321.0,38.0915124847,144.4849089898,1641.0
dry chillies,1999,3376.0,24.3528451476,94.9965819645,2239.0
dry chillies,1999,573.0,22.6778188325,148.2454290887,840.0
dry chillies,1999,3972.0,38.2839751505,125.3002393476,2644.0
dry chillies,1999,60134.0,29.4139385419,131.99216022,36773.0
dry chillies,1999,11539.0,21.8494190051,106.4850389087,6295.0
dry chillies,1999,3166.0,39.4791703187,77.9036161645,4408.0
dry chillies,1999,1357.0,30.4217572463,81.3151507165,2081.0
dry chillies,1999,44946.0,26.8766417114,141.3104619769,31784.0
dry chillies,1999,595.0,29.9735950012,126.079295979,1164.0
dry chillies,1999,2127.0,37.3622579625,129.2287427263,2453.0
dry chillies,1999,519.0,23.7121504387,85.7045781316,627.0
dry chillies,1999,826.0,28.1298371693,86.3821868465,808.0
dry chillies,1999,986.0,34.1658719571,91.3790355488,1100.0
dry chillies,1999,1694.0,35.9103279415,146.945172325,3331.0
dry chillies,1999,1779.0,29.2820062844,79.0133467685,3174.0
dry chillies,1999,5136.0,29.7165731315,125.9997886537,6407.0
dry chillies,1999,12.0,30.7083764013,130.1709840544,19.0
dry chillies,2000,756.0,26.8157439346,79.6493469177,654.0
dry chillies,2000,741.0,21.4078656867,65.0056025423,597.0
dry chillies,2000,8341.0,35.9873939566,109.7927551754,10222.0
dry chillies,2000,8678.0,26.6659305161,132.1658118616,14402.0
dry chillies,2000,270.0,20.1192321154,136.7429166146,293.0
dry chillies,2000,849.0,22.0134356199,63.8499075908,701.0
dry chillies,2000,2163.0,19.5171810036,119.1726807993,2447.0
dry chillies,2000,512.0,18.3580499415,132.0238866713,465.0
dry chillies,2000,3078.0,24.0191719276,96.0325434904,2441.0
dry chillies,2000,3481.0,38.9345998146,105.563519438,3258.0
dry chillies,2000,530.0,32.9449590735,139.5618611907,630.0
dry chillies,2000,4073.0,28.3229696731,99.0815025224,2741.0
dry chillies,2000,64299.0,19.0463153349,68.236408074,54236.0
dry chillies,2000,18383.0,20.9541920664,143.5107748248,13481.0
dry chillies,2000,2887.0,39.7145427342,116.6127695463,4041.0
dry chillies,2000,1686.0,34.4521302893,108.9897005425,2843.0
dry chillies,2000,37609.0,27.3321979608,76.1920796821,22115.0
dry chillies,2000,334.0,33.0558381524,96.4379683079,841.0
dry chillies,2000,1792.0,29.1195486519,64.5019181952,1439.0
dry chillies,2000,715.0,24.202194916,146.4309469993,842.0
dry chillies,2000,796.0,19.0171668052,105.1952787337,767.0
dry chillies,2000,1894.0,18.8878238386,114.1379827154,1838.0
dry chillies,2000,1920.0,26.1070882616,80.4569850617,1350.0
dry chillies,2000,1962.0,32.3013711438,137.5350592294,1197.0
dry chillies,2000,4571.0,34.6512214893,85.0589430055,6584.0
dry chillies,2000,532.0,20.8957337114,66.5021479121,571.0
dry chillies,2000,66.0,23.7031372793,79.1797959035,47.0
dry chillies,2001,704.0,33.8305024587,82.8061305954,608.0
dry chillies,2001,1578.0,35.6194516913,87.4406476121,1226.0
dry chillies,2001,6918.0,23.0339605822,69.1632847677,6618.0
dry chillies,2001,16144.0,29.237786422,115.1320028676,15620.0
dry chillies,2001,260.0,39.1975992285,99.478640235,766.0
dry chillies,2001,766.0,29.3041105232,119.1875961201,681.0
dry chillies,2001,1894.0,33.2735532783,96.9354821417,2641.0
dry chillies,2001,539.0,30.9848993196,85.2167017897,392.0
dry chillies,2001,3545.0,25.2757448342,119.7213579127,3031.0
dry chillies,2001,2485.0,36.7133650259,138.9844149589,1780.0
dry chillies,2001,484.0,21.4418036486,102.5652603196,667.0
dry chillies,2001,2927.0,36.5017244021,142.568661078,1922.0
dry chillies,2001,65992.0,30.6935482477,148.3146292095,30865.0
dry chillies,2001,23815.0,39.1698555803,134.4751472507,9732.0
dry chillies,2001,6274.0,36.2247396274,101.3028201049,8007.0
dry chillies,2001,1923.0,26.2522430047,87.9980480783,5573.0
dry chillies,2001,42720.0,35.937501816,70.9572100991,20270.0
dry chillies,2001,202.0,39.4972402688,95.2399773885,235.0
dry chillies,2001,1782.0,25.3386153263,105.4452863795,2122.0
dry chillies,2001,521.0,25.1772057605,138.9962879429,260.0
dry chillies,2001,833.0,28.0191629578,72.9181882899,1899.0
dry chillies,2001,1666.0,31.7940556504,132.7017113003,1573.0
dry chillies,2001,1608.0,39.5839448387,112.400973767,1294.0
dry chillies,2001,2261.0,20.9825613745,126.0778286074,1034.0
dry chillies,2001,4715.0,26.8093135723,149.4696421243,7101.0
dry chillies,2001,484.0,23.2020788609,88.9277811382,457.0
dry chillies,2001,27.0,22.3383600759,133.5020429161,21.0
dry chillies,2002,543.0,27.7597532796,96.6368798236,292.0
dry chillies,2002,722.0,35.2966159596,104.720338843,336.0
dry chillies,2002,8543.0,27.0016303504,133.4929996465,6498.0
dry chillies,2002,12144.0,29.8809175911,100.3352525835,28953.0
dry chillies,2002,312.0,22.4436106022,93.455055507,579.0
dry chillies,2002,995.0,20.7721513326,79.9332544453,399.0
dry chillies,2002,1362.0,31.8051393399,89.5900158419,927.0
dry chillies,2002,605.0,32.8447154692,112.7483164198,421.0
dry chillies,2002,2438.0,39.4369220388,136.8440244151,3194.0
dry chillies,2002,2250.0,26.9099343292,70.9773066638,3580.0
dry chillies,2002,381.0,31.8110310043,117.002711925,537.0
dry chillies,2002,1944.0,36.2413962471,133.9687285861,1172.0
dry chillies,2002,56638.0,38.077697314,126.909418174,52565.0
dry chillies,2002,16756.0,31.7930718233,121.9952893084,6351.0
dry chillies,2002,5784.0,22.6494570308,122.5969746026,14934.0
dry chillies,2002,3439.0,21.0424479751,130.8129183099,10416.0
dry chillies,2002,29606.0,31.9612011555,139.221315187,9940.0
dry chillies,2002,423.0,31.7013669359,79.1906218303,1959.0
dry chillies,2002,1101.0,37.2326092765,86.7464186445,2209.0
dry chillies,2002,515.0,36.5676481047,144.8896348606,251.0
dry chillies,2002,608.0,29.9869739126,116.7497440758,711.0
dry chillies,2002,1484.0,39.212118648,144.3165911762,1634.0
dry chillies,2002,1890.0,22.5075499299,97.6717743372,1839.0
dry chillies,2002,1391.0,24.1424166864,143.5052419414,1318.0
dry chillies,2002,3159.0,28.8619580232,85.1232240021,1806.0
dry chillies,2002,443.0,20.0177724701,65.3718108801,599.0
dry chillies,2002,23.0,24.01987523,85.8649842597,23.0
dry chillies,2003,476.0,21.1435963078,133.2191366068,798.0
dry chillies,2003,230.0,24.5127716884,123.5867607751,270.0
dry chillies,2003,2487.0,26.8629214973,140.635293855,1632.0
dry chillies,2003,648.0,20.1616830656,129.8255030398,2101.0
dry chillies,2003,597.0,35.3013658195,104.5040563817,493.0
dry chillies,2003,1291.0,18.4782167385,97.7519627647,820.0
dry chillies,2003,533.0,29.3784241459,143.9246591091,483.0
dry chillies,2003,498.0,22.2146709671,65.0314340284,311.0
dry chillies,2003,2271.0,33.9111241589,102.4823313034,2896.0
dry chillies,2003,2664.0,20.012196342,103.5433865701,3823.0
dry chillies,2003,472.0,20.6149427283,144.8694654861,496.0
dry chillies,2003,681.0,24.2327236259,84.0183268597,313.0
dry chillies,2003,21988.0,28.2679199786,105.4022638423,28011.0
dry chillies,2003,4096.0,23.4159373454,140.9078339251,5515.0
dry chillies,2003,5725.0,32.8284865191,147.4903686042,12863.0
dry chillies,2003,1436.0,20.6198496368,88.1082409763,2969.0
dry chillies,2003,12265.0,23.2702588656,111.8853452752,15662.0
dry chillies,2003,180.0,18.957243355,96.0738356496,984.0
dry chillies,2003,1864.0,39.7680334393,85.3343694921,2858.0
dry chillies,2003,1574.0,28.1316341496,97.8295836697,2575.0
dry chillies,2003,1063.0,37.0294681348,75.7842442637,1512.0
dry chillies,2003,804.0,19.2736971408,65.8139182175,1931.0
dry chillies,2003,1514.0,21.0749605497,114.1604140309,1229.0
dry chillies,2003,1496.0,37.5138963442,80.7356584104,2180.0
dry chillies,2003,2443.0,22.6762512618,116.3515736419,806.0
dry chillies,2003,498.0,26.656971433,137.5077947146,831.0
dry chillies,2003,82.0,30.3174006694,95.299434021,140.0
dry chillies,2004,601.0,28.9218311695,82.2955504788,459.0
dry chillies,2004,940.0,26.4005820094,105.5832236048,625.0
dry chillies,2004,4945.0,27.7320093609,105.5062686843,3690.0
dry chillies,2004,10673.0,33.2025700187,95.1007649167,10299.0
dry chillies,2004,146.0,26.5662270678,80.5262447951,185.0
dry chillies,2004,624.0,35.6245292796,97.3748701555,441.0
dry chillies,2004,1479.0,21.1148711264,102.7894019248,1467.0
dry chillies,2004,1018.0,29.1993418242,148.3906775651,666.0
dry chillies,2004,5654.0,35.9357253631,133.2946928152,5275.0
dry chillies,2004,2445.0,38.3550020097,74.2398586272,1912.0
dry chillies,2004,362.0,22.5904444126,92.6925837193,537.0
dry chillies,2004,2004.0,25.6590320931,138.2265370145,1889.0
dry chillies,2004,57735.0,35.5448180086,139.080800149,27436.0
dry chillies,2004,17068.0,37.5137398285,143.7578285381,12812.0
dry chillies,2004,6714.0,38.2253579792,140.8801681945,9392.0
dry chillies,2004,2261.0,34.6370004939,107.9576956231,4306.0
dry chillies,2004,24901.0,25.3347399959,137.9429660154,11794.0
dry chillies,2004,224.0,24.0267110277,132.1132645357,1121.0
dry chillies,2004,1444.0,31.4600344762,91.3329440198,1332.0
dry chillies,2004,561.0,39.7546629604,149.9689354973,550.0
dry chillies,2004,612.0,32.5968974857,90.4959827702,430.0
dry chillies,2004,1391.0,39.7366859894,123.7467158092,2653.0
dry chillies,2004,3241.0,36.9154136753,126.5731881747,1641.0
dry chillies,2004,843.0,28.2271594865,145.5325976606,807.0
dry chillies,2004,4086.0,25.0131806997,78.034533913,2487.0
dry chillies,2004,318.0,26.3323305401,83.4606244336,347.0
dry chillies,2004,33.0,25.698660602,138.0841013605,24.0
dry chillies,2006,511.0,38.4328415836,145.3199284928,872.0
dry chillies,2006,915.0,32.9827219098,133.5385573885,757.0
dry chillies,2006,4552.0,29.1521489684,89.4147894741,3845.0
dry chillies,2006,12714.0,28.3244456597,84.2079397826,19139.0
dry chillies,2006,179.0,38.4471583905,148.2955902595,325.0
dry chillies,2006,650.0,20.631256467,99.3552232587,869.0
dry chillies,2006,1002.0,37.2979784876,112.4488220675,2179.0
dry chillies,2006,1399.0,31.6974115952,97.6409339017,1147.0
dry chillies,2006,2909.0,34.7812641896,120.4184234548,1769.0
dry chillies,2006,2067.0,37.5666591937,87.3766582951,3576.0
dry chillies,2006,228.0,34.8332854586,144.350486386,551.0
dry chillies,2006,1607.0,35.6741579234,146.8103432026,1565.0
dry chillies,2006,49399.0,34.3621250609,116.396904889,30513.0
dry chillies,2006,18798.0,22.811109971,78.9099222411,5526.0
dry chillies,2006,3819.0,33.0408524113,80.8094171418,7443.0
dry chillies,2006,2084.0,18.2133975101,145.2177945738,6681.0
dry chillies,2006,20421.0,33.314937541,142.8213527989,28525.0
dry chillies,2006,260.0,37.0503015801,92.8225424288,1078.0
dry chillies,2006,988.0,18.7220118859,110.7514856805,2113.0
dry chillies,2006,840.0,36.4701862332,77.3463714799,1664.0
dry chillies,2006,524.0,30.8174530401,108.9821042683,554.0
dry chillies,2006,1077.0,25.0221606306,89.3577164327,2513.0
dry chillies,2006,1799.0,23.2366089636,99.2519558029,1788.0
dry chillies,2006,774.0,20.0917625466,133.6065540626,1178.0
dry chillies,2006,2663.0,36.3167445398,113.4932419218,2895.0
dry chillies,2006,325.0,35.4697896881,99.8734615506,853.0
dry chillies,2006,17.0,23.095656188,94.3149539818,27.0
