crop,Crop_Year,Area,Temperature,Rainfall,Production
onion,1999,3614.0,25.2917759148,74.074222215,52778.0
onion,1999,51.0,21.6240943011,73.9951619779,399.0
onion,1999,3905.0,23.6734648964,69.3964806932,27015.0
onion,1999,5448.0,23.9533892174,68.051120189,39556.0
onion,1999,137.0,22.9282953912,70.5492831681,996.0
onion,1999,317.0,21.3113714005,73.3621233531,6198.0
onion,1999,7341.0,22.3939482158,71.8746264495,78353.0
onion,1999,1243.0,22.8090764258,68.4707630462,22282.0
onion,1999,2814.0,21.3108463021,68.3341394788,30946.0
onion,1999,18323.0,23.8675536867,72.964473395,136619.0
onion,1999,8520.0,25.8662067243,67.565570398,56489.0
onion,1999,36887.0,22.5838117829,69.9718876691,145688.0
onion,1999,19953.0,21.9148038865,69.3377570933,114309.0
onion,1999,3327.0,24.3014000174,65.3435225838,26425.0
onion,1999,67.0,25.4023703198,70.8713841859,415.0
onion,1999,7772.0,22.7531494256,69.4128667957,8752.0
onion,1999,15.0,24.7792346623,72.7821955392,88.0
onion,1999,1476.0,25.7223600213,72.9836086324,22878.0
onion,1999,1177.0,22.0143439214,71.7408785435,8912.0
onion,1999,271.0,24.9207202337,65.2624868866,2420.0
onion,1999,8.0,24.3528558528,74.5818593687,47.0
onion,1999,1532.0,24.5883219762,74.8107945406,8583.0
onion,1999,12.0,23.028947378,69.6953017619,70.0
onion,1999,183.0,22.7590502597,71.6976724795,1201.0
onion,1999,85.0,21.9331724532,74.7815166222,886.0
onion,2000,3819.0,23.886937177,73.6007137171,33520.0
onion,2000,50.0,24.6467634177,71.6227699396,288.0
onion,2000,2452.0,21.2586726324,73.2534016814,7783.0
onion,2000,4118.0,24.8763046283,68.9353604867,29659.0
onion,2000,120.0,21.4881689994,66.1354217592,706.0
onion,2000,420.0,22.6367125253,66.3810338496,2438.0
onion,2000,6059.0,21.8600039819,65.690537044,34109.0
onion,2000,1689.0,22.1912311952,72.2607855638,17041.0
onion,2000,2886.0,22.4170252623,69.2412717866,22825.0
onion,2000,15450.0,24.0003607746,67.0784738701,139200.0
onion,2000,8150.0,21.4802587622,66.8131340584,51988.0
onion,2000,35186.0,24.7120662717,66.2753454749,99266.0
onion,2000,23877.0,23.1336158432,67.62754362,133567.0
onion,2000,3002.0,24.6951934877,73.259936001,16974.0
onion,2000,230.0,21.9603327008,71.9526032538,1255.0
onion,2000,7044.0,22.6023412062,66.2297036087,17951.0
onion,2000,2143.0,25.8634923328,73.5405438336,15646.0
onion,2000,939.0,21.0893655217,69.6497828866,5726.0
onion,2000,390.0,25.7237361226,69.6273244965,2402.0
onion,2000,15.0,23.922625425,74.406991571,80.0
onion,2000,1470.0,24.1950253049,69.7878179898,8402.0
onion,2000,10.0,21.2793144615,68.3667476935,51.0
onion,2000,757.0,21.4612908733,71.9607678591,3998.0
onion,2000,7.0,21.8368959213,67.4851383379,41.0
onion,2000,75.0,22.4261502604,66.8208401857,441.0
onion,2001,6247.0,21.5282051619,71.9859267686,64311.0
onion,2001,50.0,25.4541907173,74.2278305815,463.0
onion,2001,1656.0,24.9844992863,65.9588778291,11635.0
onion,2001,3980.0,23.6726748965,65.7291654908,47730.0
onion,2001,157.0,25.6311286845,71.3056536478,1143.0
onion,2001,568.0,23.0687786377,73.0365500882,6961.0
onion,2001,10862.0,24.6201114822,67.5279210628,133258.0
onion,2001,2283.0,22.9657171353,69.5170119922,19783.0
onion,2001,3130.0,23.8026072014,72.0524606227,15600.0
onion,2001,14310.0,24.748240412,69.6113247291,87444.0
onion,2001,6422.0,21.2202839914,69.2694292279,48789.0
onion,2001,32320.0,22.1112475851,70.7263192329,85801.0
onion,2001,30560.0,23.374900126,71.7860677955,114753.0
onion,2001,3486.0,22.3730412952,69.0726080886,25953.0
onion,2001,326.0,25.6930495353,70.9447663236,2212.0
onion,2001,4512.0,25.8798737495,73.2444115608,14019.0
onion,2001,1779.0,21.682400623,65.8443416938,18154.0
onion,2001,598.0,25.7434213736,67.2280467284,5212.0
onion,2001,337.0,24.8871722281,72.3769597614,2646.0
onion,2001,5.0,24.3335086526,73.5457853147,21.0
onion,2001,1597.0,21.1933765639,67.0701425684,11068.0
onion,2001,20.0,22.6203831581,72.9723064772,86.0
onion,2001,529.0,23.3585751417,65.5900424755,2824.0
onion,2001,6.0,21.7165671542,73.3931219906,86.0
onion,2001,75.0,24.2609613321,68.5739489097,1081.0
onion,2002,3329.0,21.8722365606,70.1696777988,30605.0
onion,2002,15.0,23.8660543231,74.1571918919,60.0
onion,2002,5551.0,22.0620001739,69.8620383076,13647.0
onion,2002,3574.0,23.023109817,72.9944833711,57874.0
onion,2002,84.0,21.7705331305,68.2984952723,625.0
onion,2002,545.0,21.8054968985,67.0314365784,6454.0
onion,2002,8982.0,25.8357894959,69.7868283088,100995.0
onion,2002,2141.0,22.8540446019,72.8542802968,15993.0
onion,2002,3102.0,24.7642738523,70.5969164873,21476.0
onion,2002,10886.0,25.0109183788,65.5210292605,77697.0
onion,2002,4661.0,25.6087863138,74.1363135676,27044.0
onion,2002,29025.0,24.70654656,65.0508352931,65301.0
onion,2002,28063.0,24.4668657814,66.6704178953,57276.0
onion,2002,2399.0,22.1294421909,70.5724923004,19462.0
onion,2002,325.0,23.6591178957,67.6253120782,1785.0
onion,2002,7809.0,24.3161156774,65.9279358486,10550.0
onion,2002,1568.0,21.5015300107,68.9707374947,8929.0
onion,2002,488.0,25.0683119725,69.0701244512,3461.0
onion,2002,325.0,24.7543645913,67.559987114,2537.0
onion,2002,5.0,21.6609101023,69.500978422,17.0
onion,2002,1849.0,21.5646439651,70.6767047131,11856.0
onion,2002,13.0,24.621639551,65.6013469566,44.0
onion,2002,157.0,22.380944204,67.302438088,1085.0
onion,2002,5.0,24.3132852967,73.2982610152,66.0
onion,2002,74.0,22.946174099,67.6156856576,982.0
onion,2003,4269.0,25.5791886868,67.5944876582,27894.0
onion,2003,19.0,22.2561808896,73.3485871017,49.0
onion,2003,3778.0,23.5428732693,67.4123918249,8693.0
onion,2003,3745.0,23.9699872833,72.7060261651,42375.0
onion,2003,76.0,21.1037842742,65.6731243272,419.0
onion,2003,464.0,25.7443130164,68.4389219865,4272.0
onion,2003,3923.0,21.8692721487,65.6573615564,23241.0
onion,2003,2278.0,24.1371744123,66.4409016726,23520.0
onion,2003,3375.0,22.2023112364,71.8408250456,14091.0
onion,2003,10113.0,24.0000942343,66.0155413144,63625.0
onion,2003,4606.0,21.627994945,73.7902673588,51174.0
onion,2003,39483.0,25.7115604871,68.0728439168,9586.0
onion,2003,12183.0,21.5881219328,66.5133489326,25249.0
onion,2003,1798.0,23.5865663842,68.7574031628,23597.0
onion,2003,240.0,23.0284153457,72.0423210503,693.0
onion,2003,6568.0,21.1476052006,71.2124003413,20412.0
onion,2003,1760.0,25.9250790406,71.0596528034,8616.0
onion,2003,593.0,23.6904797073,71.2704569784,4323.0
onion,2003,243.0,25.4264747147,74.6452740384,2103.0
onion,2003,5.0,22.4416617216,69.478110938,13.0
onion,2003,1354.0,23.3877685015,72.5255838237,4531.0
onion,2003,12.0,25.5520681843,69.5315117748,43.0
onion,2003,257.0,21.1114054333,67.0336071206,1125.0
onion,2003,4.0,22.8023182705,72.6718976492,42.0
onion,2003,75.0,23.993022571,74.1817924304,783.0
onion,2004,6986.0,24.0861171407,68.0750392826,65436.0
onion,2004,48.0,25.7402637058,74.6690891645,319.0
onion,2004,6967.0,22.6777846034,71.2513990896,30687.0
onion,2004,3761.0,21.860373065,68.2233125266,38433.0
onion,2004,90.0,21.7287453178,70.3104503934,744.0
onion,2004,441.0,21.6134050003,68.9953436301,3836.0
onion,2004,5436.0,24.474680635,66.6757141859,52131.0
onion,2004,2547.0,21.2220807256,70.8256394197,28985.0
onion,2004,5608.0,21.067411994,72.3599630575,37927.0
onion,2004,13134.0,22.1891724816,68.2941818194,100647.0
onion,2004,5459.0,21.4441847566,73.0522844341,62703.0
onion,2004,38112.0,23.8849327644,73.290683628,114847.0
onion,2004,30434.0,22.4235234485,65.5714945601,190133.0
onion,2004,1919.0,24.5732348041,74.6529986601,16844.0
onion,2004,107.0,25.4196058595,73.1506381287,624.0
onion,2004,10372.0,21.7678631805,70.6826972178,53516.0
onion,2004,1507.0,25.0213016021,67.4971774586,17872.0
onion,2004,960.0,22.5418975127,67.5273515293,7733.0
onion,2004,414.0,24.4913063992,70.550583561,3237.0
onion,2004,5.0,23.3023511575,67.5950765219,29.0
onion,2004,1429.0,25.7916057136,71.0193689301,12466.0
onion,2004,20.0,24.67402946,70.3380042604,126.0
onion,2004,201.0,23.6862700888,71.2938373954,1325.0
onion,2004,4.0,22.0091898767,69.3354813622,36.0
onion,2004,77.0,23.9765127132,68.3304858058,697.0
onion,2006,8284.0,22.6488700372,67.3698875487,59102.0
onion,2006,59.0,22.8298095295,70.7327036127,346.0
onion,2006,7848.0,25.1646417092,72.9068775906,61455.0
onion,2006,3577.0,24.7360936891,72.4996789635,23238.0
onion,2006,32.0,25.5159090849,72.5277036433,178.0
onion,2006,474.0,21.1638377627,67.5494106613,2923.0
onion,2006,9176.0,23.6003627879,65.7910494019,52655.0
onion,2006,2425.0,25.6651351156,72.4395732983,21722.0
onion,2006,4043.0,21.8680713907,70.2141246382,25486.0
onion,2006,14255.0,21.4649513382,65.3781271739,103526.0
onion,2006,6620.0,25.0663932286,73.243902088,57683.0
onion,2006,43015.0,21.1950458494,74.9753287183,182949.0
onion,2006,34577.0,21.2757300244,73.5775057211,182711.0
onion,2006,2345.0,21.7418947431,66.1744669909,19607.0
onion,2006,144.0,23.1293844226,65.0081669964,802.0
onion,2006,9949.0,23.599155829,74.5428237713,27137.0
onion,2006,696.0,25.5960041572,70.5338956132,4384.0
onion,2006,1028.0,23.6986810969,67.6995039079,6512.0
onion,2006,324.0,21.8863794461,65.9915049742,2013.0
onion,2006,5.0,22.3162042113,73.3653387956,28.0
onion,2006,2142.0,25.3548209716,73.4611137201,23100.0
onion,2006,19.0,25.632333729,73.541211608,106.0
onion,2006,177.0,25.6004531834,71.4308364453,1006.0
onion,2006,1.0,25.0554829839,71.8967516746,6.0
onion,2006,74.0,23.2152848164,67.5661985111,457.0
