crop,Crop_Year,Area,Temperature,Rainfall,Production
peas_beans_pulses,1998,27.0,18.9067546982,138.5379446647,272.0
peas_beans_pulses,1998,19.0,15.1917503952,69.7927174492,168.0
peas_beans_pulses,1998,2.0,19.0536689554,143.4139005121,20.0
peas_beans_pulses,1998,7.0,20.6056566213,130.1530150502,29.0
peas_beans_pulses,1998,8.0,24.3104913374,114.8791085518,73.0
peas_beans_pulses,1998,3.0,22.4962274436,96.5466970015,30.0
peas_beans_pulses,1998,16.0,16.647746242,100.6047914693,102.0
peas_beans_pulses,1998,322.0,21.2993605567,111.9874833223,3299.0
peas_beans_pulses,1998,66.0,24.6714380431,131.6658078571,652.0
peas_beans_pulses,1998,17.0,15.8586211533,71.9067991343,168.0
peas_beans_pulses,1998,7.0,24.3497926355,106.4690241036,69.0
peas_beans_pulses,2005,95.0,21.1626431394,63.6281622711,1179.0
peas_beans_pulses,2005,50.0,15.2144249907,93.1171691364,263.0
peas_beans_pulses,2005,28.0,20.658345819,125.8844914674,329.0
peas_beans_pulses,2005,2.0,23.8374178944,129.4343651817,14.0
peas_beans_pulses,2005,59.0,21.292572708,66.2814948055,124.0
peas_beans_pulses,2005,3.0,20.8765152029,107.7781960158,21.0
peas_beans_pulses,2005,3.0,21.1072546345,103.8210008849,21.0
peas_beans_pulses,2005,1.0,16.3304895171,131.1681915603,7.0
peas_beans_pulses,2005,12.0,23.6724173846,91.1861200595,84.0
peas_beans_pulses,2005,1.0,24.2921391538,115.9390915677,7.0
peas_beans_pulses,2005,366.0,18.4905600902,96.7745884422,2311.0
peas_beans_pulses,2005,32.0,24.940747278,91.6849645239,225.0
peas_beans_pulses,2005,7.0,20.6875530222,148.8580824765,49.0
peas_beans_pulses,2005,1.0,22.1122143638,79.7258241842,7.0
peas_beans_pulses,2005,26.0,15.9342692347,67.9150521165,183.0
peas_beans_pulses,2010,104.0,19.3613154866,147.834613161,739.0
peas_beans_pulses,2010,54.0,23.6443553459,65.3597248387,383.0
peas_beans_pulses,2010,52.0,18.1737098736,80.4485570112,399.0
peas_beans_pulses,2010,13.0,18.4295618705,67.9760905924,92.0
peas_beans_pulses,2010,212.0,20.8378955272,144.7510175243,1790.0
peas_beans_pulses,2010,456.0,15.077949256,71.280201466,2887.0
peas_beans_pulses,2010,14.0,16.1799533042,105.522327524,99.0
peas_beans_pulses,2010,8.0,17.1330076576,122.1715948299,57.0
peas_beans_pulses,2010,19.0,24.6979531349,88.5245215984,135.0
peas_beans_pulses,2010,320.0,18.3685685179,140.8509786762,2421.0
peas_beans_pulses,2010,8.0,24.9606510821,105.3685418685,57.0
peas_beans_pulses,2010,29.0,22.6918757764,116.1375489551,205.0
peas_beans_pulses,2010,500.0,20.1347313447,122.0735310662,3768.0
peas_beans_pulses,2010,176.0,17.5675257337,85.1521526829,596.0
peas_beans_pulses,2010,105.0,15.6615809871,120.5820582649,971.0
peas_beans_pulses,2010,6.0,24.2915322443,148.6182748983,43.0
peas_beans_pulses,2010,64.0,15.3116584223,63.4907674085,454.0
peas_beans_pulses,2011,98.0,19.5529317837,89.9858875484,329.0
peas_beans_pulses,2011,28.0,24.7562046045,126.7278227963,165.0
peas_beans_pulses,2011,56.0,24.8000905911,133.872846067,412.0
peas_beans_pulses,2011,9.0,21.3249805033,78.1738856694,66.0
peas_beans_pulses,2011,61.0,17.6193739621,134.8576814306,509.0
peas_beans_pulses,2011,178.0,18.8952658579,106.9807067313,1657.0
peas_beans_pulses,2011,18.0,16.5300257676,103.5785756721,175.0
peas_beans_pulses,2011,3.0,15.5226416689,65.2760828129,22.0
peas_beans_pulses,2011,20.0,22.353324257,146.1462832291,201.0
peas_beans_pulses,2011,2.0,17.8424806392,87.4291041035,15.0
peas_beans_pulses,2011,76.0,19.2966415319,61.8733449284,636.0
peas_beans_pulses,2011,4.0,21.458153907,70.5685526138,29.0
peas_beans_pulses,2011,455.0,24.9166372573,60.0543758565,3855.0
peas_beans_pulses,2011,151.0,15.3183574853,116.8448100559,482.0
peas_beans_pulses,2011,117.0,24.0206872418,129.3553893269,926.0
peas_beans_pulses,2011,4.0,17.0591754471,124.6360919494,38.0
peas_beans_pulses,2011,41.0,23.9966536791,71.3865423467,193.0
