crop,Crop_Year,Area,Temperature,Rainfall,Production
potato,1998,268.0,19.8525730763,41.9811958832,3910.0
potato,1999,691.0,17.5830469453,39.5667600691,14644.0
potato,1999,6100.0,14.6766943912,41.7750799518,71181.0
potato,1999,1069.0,21.369826711,40.2256323094,17390.0
potato,1999,27.0,15.9136440028,45.0611061399,520.0
potato,1999,1024.0,21.4523296026,44.3237248944,16070.0
potato,1999,12.0,15.7350590918,38.2477200159,225.0
potato,1999,23.0,23.2430715619,47.5592802295,447.0
potato,1999,11247.0,16.671354083,46.6304858573,139906.0
potato,1999,7739.0,17.6397083679,44.6356654273,151312.0
potato,1999,58.0,14.2259529589,39.2157516679,1080.0
potato,2000,1870.0,17.8994738779,49.7052926559,29280.0
potato,2000,5958.0,14.8919218696,30.8726299944,59905.0
potato,2000,192.0,22.2376059443,32.5872967235,2963.0
potato,2000,24.0,16.8561374088,44.1340601811,321.0
potato,2000,9.0,19.2309978777,41.16839804,84.0
potato,2000,853.0,21.8718077369,33.8937959186,8305.0
potato,2000,4638.0,14.790794911,42.0241185348,36839.0
potato,2000,2.0,17.751582805,31.6873457279,19.0
potato,2000,2.0,14.3086119516,46.9580329215,31.0
potato,2000,14230.0,17.4899322118,41.4482385805,142180.0
potato,2000,3.0,23.0349836043,36.7583346896,28.0
potato,2000,10372.0,22.5794998639,30.0026555197,170713.0
potato,2000,95.0,18.4302486506,43.7691870713,1309.0
potato,2000,30.0,20.1961736409,49.7258253749,282.0
potato,2000,20.0,22.1073125463,44.4527024122,203.0
potato,2001,1636.0,16.6254775952,40.6467193192,27066.0
potato,2001,5228.0,14.4792940604,40.8614142877,63008.0
potato,2001,83.0,21.7694576542,36.1851100742,1149.0
potato,2001,58.0,19.2036889366,36.0995316034,1122.0
potato,2001,10.0,22.4792441471,48.3092866122,90.0
potato,2001,2552.0,19.6406629473,49.8666925178,23524.0
potato,2001,7.0,20.0071489935,42.2780725835,63.0
potato,2001,2211.0,16.5769024734,30.7310530237,2056.0
potato,2001,2.0,22.9657680744,32.9784171374,44.0
potato,2001,15367.0,18.0043636719,48.8078940498,138495.0
potato,2001,11834.0,21.6561421016,38.8043732895,214109.0
potato,2001,110.0,14.3609149864,35.0022405027,2137.0
potato,2001,50.0,21.9135393746,32.7554885116,448.0
potato,2001,8.0,19.6985817585,31.3969667736,96.0
potato,2002,923.0,17.4606198771,34.9271892995,5258.0
potato,2002,4513.0,23.8034012773,42.4362008266,36267.0
potato,2002,225.0,24.5489964551,46.5492778128,1973.0
potato,2002,67.0,16.9075371627,47.9417690598,707.0
potato,2002,5.0,18.1245353345,46.5828104233,10.0
potato,2002,1265.0,16.1112539802,49.8507226605,2868.0
potato,2002,2224.0,20.0271201192,35.6232652275,1762.0
potato,2002,2.0,15.9111092994,47.8582618919,26.0
potato,2002,35647.0,15.104298551,39.5188297645,50077.0
potato,2002,14.0,19.1977787646,43.8660359925,28.0
potato,2002,5550.0,24.360581101,42.349328834,48176.0
potato,2002,150.0,15.0457146152,41.724987572,2010.0
potato,2002,52.0,18.1224058625,34.9483490042,104.0
potato,2002,8.0,16.020147732,43.7109177424,16.0
potato,2003,1467.0,15.5092353138,37.2942543506,20886.0
potato,2003,5152.0,23.0266076512,33.6211957592,49716.0
potato,2003,245.0,21.4603591397,33.8569375954,2418.0
potato,2003,50.0,24.9023723093,41.7757391908,550.0
potato,2003,2.0,15.7351556426,31.6277991726,10.0
potato,2003,3454.0,19.01815175,48.4757393445,20360.0
potato,2003,1.0,22.3393187239,49.0532370412,5.0
potato,2003,2054.0,22.1413856518,35.8701752599,62.0
