crop,Crop_Year,Area,Temperature,Rainfall,Production
sunflower,1998,36785.0,24.980042533,68.0349746121,13374.0
sunflower,1998,133.0,22.5195151238,50.7493334958,43.0
sunflower,1998,15407.0,22.3747212253,57.5287117644,5647.0
sunflower,1998,31997.0,21.3870493932,63.2869873641,6895.0
sunflower,1998,47.0,20.5514048887,58.6365248767,14.0
sunflower,1998,7880.0,22.1914995263,62.3779102171,1442.0
sunflower,1998,68412.0,24.8418038461,57.2552288484,15600.0
sunflower,1998,8197.0,23.2994497013,52.2431155785,4888.0
sunflower,1998,14635.0,22.7561438111,54.0830914395,11206.0
sunflower,1998,21838.0,24.3303790273,54.8023306005,10045.0
sunflower,1998,14471.0,21.6037695802,69.7229159715,7216.0
sunflower,1998,1086.0,22.7801675392,53.9896666517,333.0
sunflower,1998,10270.0,20.1186269279,60.0214667902,3295.0
sunflower,1998,103027.0,24.2247722817,58.8378405203,18031.0
sunflower,1998,8237.0,24.6331268624,58.1077936335,6342.0
sunflower,1998,6163.0,21.1079838352,59.6363851168,2685.0
sunflower,1998,1688.0,21.7639387552,60.2515289072,575.0
sunflower,1998,18863.0,20.7431230095,57.1485196905,3828.0
sunflower,1998,76.0,21.558942062,55.416097358,22.0
sunflower,1998,1268.0,24.5510454318,67.1747058898,778.0
sunflower,1998,52531.0,20.4032113922,68.8565723004,10824.0
sunflower,1998,427.0,24.160334731,69.9927841813,120.0
sunflower,1998,7238.0,24.3159363395,67.0412352069,3887.0
sunflower,1999,26250.0,24.5948235704,60.3458410196,14837.0
sunflower,1999,95.0,22.1813290472,59.4924286469,49.0
sunflower,1999,11354.0,20.4543463912,60.0270870844,5567.0
sunflower,1999,24250.0,20.8924843312,57.7217296253,8535.0
sunflower,1999,25.0,23.4488614745,65.673184264,16.0
sunflower,1999,6201.0,23.2394312066,66.910942272,1593.0
sunflower,1999,32220.0,21.0035051796,61.6803548067,12648.0
sunflower,1999,6741.0,24.7101650292,56.0482588396,1602.0
sunflower,1999,6603.0,21.9063411959,56.9599280481,3005.0
sunflower,1999,15243.0,22.0616325403,67.1474809464,7833.0
sunflower,1999,7860.0,20.0915665441,61.7177063715,3375.0
sunflower,1999,229.0,22.2544227123,62.1577343915,82.0
sunflower,1999,5536.0,23.003491874,53.4196955605,1430.0
sunflower,1999,20852.0,21.7854966581,57.7825886632,7055.0
sunflower,1999,6278.0,21.8497027079,57.8038287416,4068.0
sunflower,1999,3527.0,21.1957835273,56.5978406696,1668.0
sunflower,1999,1987.0,22.4554758412,57.3898649993,1040.0
sunflower,1999,15109.0,22.2250299866,61.8055180747,6252.0
sunflower,1999,17.0,23.0941861174,65.940802701,6.0
sunflower,1999,1713.0,22.8961653301,66.7206715547,615.0
sunflower,1999,21647.0,21.530086698,53.7051739967,5874.0
sunflower,1999,110.0,21.7994777263,59.9347334051,38.0
sunflower,1999,1471.0,24.899842194,61.6897006835,953.0
sunflower,1999,4.0,20.0795279036,56.7599171078,1.0
sunflower,2000,25378.0,21.880611708,56.799615025,16262.0
sunflower,2000,43.0,22.6355519058,64.3465345046,27.0
sunflower,2000,8355.0,21.0290547529,50.4248596081,4971.0
sunflower,2000,19274.0,22.2029938835,61.9942719644,11546.0
sunflower,2000,10.0,22.7546956233,54.4735505432,8.0
sunflower,2000,3277.0,24.3539523496,56.6343713038,1167.0
sunflower,2000,29059.0,22.2639805017,61.2770425521,14149.0
sunflower,2000,2686.0,21.6958290764,63.7493493606,1186.0
sunflower,2000,6925.0,20.5663620796,63.5098574785,5013.0
sunflower,2000,14137.0,21.7645978052,54.4744136529,8901.0
sunflower,2000,6842.0,22.1024081258,51.7297835427,4171.0
sunflower,2000,285.0,24.6596423344,61.7318633665,94.0
sunflower,2000,9498.0,20.9027583427,60.6071354413,4847.0
sunflower,2000,5869.0,22.0215990262,52.9728464455,2691.0
sunflower,2000,4187.0,22.4408653011,57.3384960164,3728.0
sunflower,2000,1932.0,22.0757691253,69.5233580692,990.0
sunflower,2000,1175.0,23.617382679,56.1173059414,820.0
sunflower,2000,7888.0,22.1927631184,62.9388514626,3938.0
sunflower,2000,11.0,21.8726649535,56.1203607743,5.0
sunflower,2000,823.0,23.8155776492,61.8030388406,251.0
sunflower,2000,39027.0,21.7050845353,62.6854460924,14760.0
sunflower,2000,57.0,24.5946763429,55.7263539881,28.0
sunflower,2000,1401.0,23.4554269653,58.265448053,1074.0
sunflower,2000,1.0,20.5479895584,62.3315483276,0.1
sunflower,2001,8560.0,22.9344274439,68.5964578038,6843.0
sunflower,2001,49.0,20.0681940689,67.3217150365,32.0
sunflower,2001,3201.0,24.3760809432,57.795566958,2501.0
sunflower,2001,13975.0,22.2937793766,51.7793993172,6648.0
sunflower,2001,8.0,23.9971375574,60.0226207605,7.0
sunflower,2001,4122.0,20.1410015341,60.6695137722,1119.0
sunflower,2001,13307.0,23.6416090718,58.2644759429,6112.0
sunflower,2001,1952.0,21.855325158,56.0939416795,641.0
sunflower,2001,3268.0,23.6152671748,67.8561516301,1645.0
sunflower,2001,7559.0,23.0739147419,64.6180399785,5409.0
sunflower,2001,4899.0,22.5207012278,57.9940773938,2446.0
sunflower,2001,218.0,22.732704983,67.3814939735,83.0
sunflower,2001,5548.0,22.4130178816,51.7651739019,1963.0
sunflower,2001,15812.0,20.8936225262,55.4545815899,6698.0
sunflower,2001,1794.0,23.7800990607,66.2202087464,1696.0
sunflower,2001,1074.0,23.2628229801,59.7939387898,491.0
sunflower,2001,683.0,24.3391969898,50.8005149868,514.0
sunflower,2001,19687.0,22.1617455335,51.129392896,8610.0
sunflower,2001,7.0,21.2076741025,55.9625289956,3.0
sunflower,2001,767.0,23.6938003868,69.9515506334,435.0
sunflower,2001,16555.0,24.611519445,60.1720305155,4829.0
sunflower,2001,23.0,24.3830139947,56.0067124308,9.0
sunflower,2001,1115.0,22.7379255058,69.7855149726,782.0
sunflower,2002,22376.0,24.3884088364,69.3460671428,11438.0
sunflower,2002,8.0,20.1108824473,61.2473337684,6.0
sunflower,2002,9632.0,22.9534850977,54.4137621164,4590.0
sunflower,2002,22834.0,23.280745654,57.8930651041,10031.0
sunflower,2002,7.0,20.2026412948,66.3552374845,5.0
sunflower,2002,4461.0,23.3906935605,65.1405955849,1551.0
sunflower,2002,40590.0,23.7988845421,64.9787246238,16724.0
sunflower,2002,6219.0,21.4299217716,54.9229483149,1380.0
sunflower,2002,8498.0,24.9502080629,58.9162916643,2091.0
sunflower,2002,18123.0,20.3937548265,60.6115633844,8681.0
sunflower,2002,8594.0,23.239082632,57.1037213682,3562.0
sunflower,2002,386.0,21.632717504,52.2336943535,149.0
sunflower,2002,12572.0,22.7582545537,66.4962052503,3115.0
sunflower,2002,63695.0,20.4147592606,67.6691288407,42044.0
sunflower,2002,7042.0,24.0974020403,53.8304008213,2763.0
sunflower,2002,2944.0,22.9012784453,58.8310169631,1046.0
sunflower,2002,889.0,22.7916260865,51.8791418446,662.0
sunflower,2002,20409.0,22.515391113,50.2986420359,8667.0
sunflower,2002,1896.0,21.1973653093,55.6672287842,730.0
sunflower,2002,40186.0,24.6840078726,56.3249846311,13923.0
sunflower,2002,81.0,22.190234057,61.691552681,31.0
sunflower,2002,6827.0,24.7717924974,60.3787047499,3291.0
sunflower,2002,2.0,23.5324872034,54.5969699636,1.0
sunflower,2003,11643.0,21.6024797231,61.1189000882,9155.0
sunflower,2003,3.0,24.7282767043,50.9921549104,2.0
sunflower,2003,6917.0,20.6185548801,52.9376959034,5032.0
sunflower,2003,29880.0,22.4895665237,53.8558631226,13043.0
sunflower,2003,5560.0,23.2014307665,69.9792024087,2501.0
sunflower,2003,48810.0,23.2441615406,53.0926612995,23928.0
sunflower,2003,3114.0,24.0805068302,52.0885231036,502.0
sunflower,2003,9162.0,22.2582829226,53.815528473,1854.0
sunflower,2003,13230.0,23.1896164987,58.88187376,6163.0
sunflower,2003,11385.0,21.4010802181,67.0335561337,4797.0
sunflower,2003,205.0,23.528683216,66.4991656074,93.0
sunflower,2003,8219.0,24.1893394613,56.7623917056,3847.0
sunflower,2003,94496.0,22.4969946599,55.0672872796,50359.0
sunflower,2003,5600.0,23.2330673153,62.5329799277,1468.0
sunflower,2003,3184.0,24.6391837078,54.2592271306,812.0
sunflower,2003,605.0,23.3513484688,52.9202338202,353.0
sunflower,2003,27093.0,23.786360626,53.204078864,10489.0
sunflower,2003,10.0,20.8444171626,50.6716915726,5.0
sunflower,2003,994.0,21.4273716305,54.8010282352,380.0
sunflower,2003,75176.0,22.7981387496,53.2178362761,27419.0
sunflower,2003,243.0,22.8585946639,57.9940958662,93.0
sunflower,2003,4725.0,20.8448460116,59.8384975283,2874.0
sunflower,2003,10.0,20.3567198516,64.5745565938,8.0
sunflower,2004,51307.0,20.0380749803,59.6166639768,29116.0
sunflower,2004,80.0,21.2608384247,57.9832311439,40.0
sunflower,2004,33145.0,21.0961820539,54.5404913438,23695.0
sunflower,2004,39224.0,21.0616398985,52.6030905055,18559.0
sunflower,2004,3.0,22.5355614023,58.1553640911,2.0
sunflower,2004,6765.0,22.1592365969,65.336515653,2201.0
sunflower,2004,119295.0,24.243344183,56.5864494047,41441.0
sunflower,2004,5437.0,22.6968888813,60.1362993231,2913.0
sunflower,2004,14147.0,20.5877192896,58.7791460521,8589.0
sunflower,2004,26255.0,21.6669283875,69.9372895692,15214.0
sunflower,2004,8025.0,21.6846367692,64.3164790991,4400.0
sunflower,2004,1213.0,20.3471416731,53.3450326034,918.0
sunflower,2004,18049.0,22.9793062138,55.3598097779,8617.0
sunflower,2004,110701.0,24.1605440738,53.0253795779,41285.0
sunflower,2004,9778.0,21.3388772226,53.1897933536,8481.0
sunflower,2004,3626.0,21.3628698182,62.2968954301,1853.0
sunflower,2004,1917.0,23.8930709901,50.5315053943,1310.0
sunflower,2004,40378.0,24.6701654189,64.3667268586,15821.0
sunflower,2004,40.0,22.9855345199,55.495308522,15.0
sunflower,2004,1008.0,20.8214986855,51.9550882788,425.0
sunflower,2004,100715.0,23.9106203027,58.9477929867,21923.0
sunflower,2004,73.0,24.4651001362,59.2684626297,24.0
sunflower,2004,10787.0,21.7903614548,61.5439804066,15834.0
sunflower,2004,13.0,24.5207299175,55.3828670498,10.0
sunflower,2005,48722.0,20.7615338225,67.9209261867,26039.0
sunflower,2005,100.0,20.8406186686,52.9397497344,73.0
sunflower,2005,27338.0,23.4378959309,67.527017559,12439.0
sunflower,2005,45056.0,24.6572775285,54.2038660121,18516.0
sunflower,2005,12.0,21.0692193361,67.4938875572,9.0
sunflower,2005,9459.0,23.1825518532,51.6568429992,3219.0
sunflower,2005,127248.0,20.4194912881,66.0031499021,37382.0
sunflower,2005,6424.0,24.9984403548,54.6029008971,2331.0
sunflower,2005,12109.0,24.6556464412,60.099743064,9281.0
sunflower,2005,34296.0,22.749236125,56.6662748047,16429.0
sunflower,2005,14400.0,20.4858892619,54.3230332192,5695.0
sunflower,2005,2934.0,24.3388156035,51.6968366605,1284.0
sunflower,2005,20245.0,24.7912039158,67.1006413626,8271.0
sunflower,2005,119927.0,21.4448391368,67.6821837166,48043.0
sunflower,2005,11482.0,20.926399604,65.0151093716,9290.0
