crop,Crop_Year,Area,Temperature,Rainfall,Production
wheat,1997,55130.0,21.9399538162,47.8978276782,41220.0
wheat,1997,2900.0,23.1990136247,72.3711743458,1893.0
wheat,1997,7110.0,25.0901760225,33.5048789535,1585.0
wheat,1997,60800.0,25.0329617195,43.7378504339,29117.0
wheat,1997,68.0,24.3188257185,41.0383201608,39.0
wheat,1997,518.0,25.7794511887,40.8636733531,381.0
wheat,1997,86170.0,21.237690767,38.7529291274,34260.0
wheat,1997,19143.0,25.9473231981,56.2898585779,6226.0
wheat,1997,4.0,24.8376373542,26.2935854252,4.0
wheat,1997,18598.0,23.7239531408,72.6308895615,3725.0
wheat,1997,255.0,22.8862012131,37.0832096686,60.0
wheat,1997,2.0,25.2579137346,60.5545838787,2.0
wheat,1998,22207.0,21.0037227898,45.736057443,28030.0
wheat,1998,54399.0,24.2168188868,54.0976961294,61350.0
wheat,1998,2382.0,24.5098020696,66.1056264606,2193.0
wheat,1998,8128.0,23.4108090479,34.8689328354,7040.0
wheat,1998,62688.0,25.5421444935,66.2106933672,45667.0
wheat,1998,10.0,25.6922377687,53.3660645422,14.0
wheat,1998,62.0,23.0548680016,68.2359219687,58.0
wheat,1998,486.0,25.7845061076,74.3815317282,546.0
wheat,1998,601.0,23.4316809665,42.8303613493,474.0
wheat,1998,43362.0,25.2595631261,48.1520460855,30657.0
wheat,1998,35181.0,25.4702557975,66.7078781246,25021.0
wheat,1998,21882.0,25.5948101166,46.145146772,10947.0
wheat,1998,2138.0,25.1003771991,35.8057482403,1557.0
wheat,1998,11287.0,25.4059066581,63.0171925314,4097.0
wheat,1998,4158.0,23.7822119493,68.134853585,1772.0
wheat,1998,4.0,24.8301343133,33.4865107901,2.0
wheat,1998,6.0,24.7151204747,55.9538934235,8.0
wheat,1999,21584.0,25.2048672782,30.2252585631,29875.0
wheat,1999,4.0,23.8982574071,34.8321268601,5.0
wheat,1999,54433.0,25.0802794395,40.0069362137,65485.0
wheat,1999,1909.0,23.8365776712,72.9156388306,1784.0
wheat,1999,7367.0,23.0106635714,74.9665274473,7407.0
wheat,1999,54047.0,24.1116075753,56.9313432753,44261.0
wheat,1999,6.0,24.0494401853,29.1108058696,8.0
wheat,1999,58.0,21.9045771738,27.753865251,27.0
wheat,1999,1127.0,22.411936806,53.8072090296,1328.0
wheat,1999,510.0,25.2277077454,63.7570133614,500.0
wheat,1999,45660.0,22.0862084767,73.7849851643,25028.0
wheat,1999,34882.0,23.8872879575,60.4664812048,21769.0
wheat,1999,24012.0,22.3062575773,57.1374747415,12540.0
wheat,1999,1924.0,24.3901015354,27.6169414323,1201.0
wheat,1999,10564.0,25.7272002121,50.186442112,4909.0
wheat,1999,3174.0,22.8951648648,48.390304671,1473.0
wheat,1999,9.0,24.6543383905,66.82642817,6.0
wheat,1999,5.0,25.7414609795,30.1932709229,7.0
wheat,2000,23969.0,24.6038468784,26.3283798005,37181.0
wheat,2000,56775.0,22.1982493007,42.4490586728,72493.0
wheat,2000,2658.0,22.5376421264,44.9713706667,2658.0
wheat,2000,9457.0,21.0882685171,65.558500931,9376.0
wheat,2000,51283.0,25.0025022949,66.856552889,48031.0
wheat,2000,6.0,22.8394937945,72.7567405138,9.0
wheat,2000,20.0,24.241129337,41.582496468,10.0
wheat,2000,1018.0,22.3922804213,38.639153425,1095.0
wheat,2000,864.0,25.3173816863,73.051682684,760.0
wheat,2000,36411.0,24.2908977014,56.8204230927,27686.0
wheat,2000,35664.0,24.4496087815,67.8823697167,18323.0
wheat,2000,31913.0,22.7466651129,46.428657485,23660.0
wheat,2000,1695.0,25.1113637077,66.2350360008,1102.0
wheat,2000,11009.0,23.7198937478,34.4071816175,5448.0
wheat,2000,3566.0,23.7719558958,37.3781368081,2045.0
wheat,2000,2.0,24.7375936097,40.5701056418,3.0
wheat,2001,25855.0,25.2550123251,44.3767663591,34969.0
wheat,2001,45645.0,22.9755833488,64.3476312341,49750.0
wheat,2001,2201.0,24.2609234346,33.9289737513,2270.0
wheat,2001,10101.0,24.6199019753,54.248172475,8188.0
wheat,2001,57398.0,22.1617414961,70.6402659698,53458.0
wheat,2001,21.0,21.549364789,74.0027083823,16.0
wheat,2001,1531.0,22.8290165311,72.7038642971,1838.0
wheat,2001,888.0,25.8557640019,55.6447752263,738.0
wheat,2001,39212.0,22.4595685122,61.068681884,14201.0
wheat,2001,34893.0,22.6737620103,44.3380742712,11223.0
wheat,2001,29456.0,21.3727646704,55.7986965734,17455.0
wheat,2001,1362.0,21.966246279,45.1317126244,969.0
wheat,2001,8872.0,25.2328785497,55.1667697058,2513.0
wheat,2001,3048.0,23.0886595859,43.8296580505,1231.0
wheat,2001,3.0,21.2395508966,64.4990778081,3.0
wheat,2002,23327.0,24.076319531,69.6117532441,32386.0
wheat,2002,52297.0,22.941754164,72.7913235725,38113.0
wheat,2002,1077.0,21.5341770964,64.4997447357,843.0
wheat,2002,8840.0,22.3179892083,45.9048408444,5975.0
wheat,2002,50163.0,21.684878872,59.5575467165,38109.0
wheat,2002,6.0,24.3949155954,71.4311920697,1.0
wheat,2002,756.0,21.2272751195,56.4995977941,843.0
wheat,2002,986.0,25.5682955497,29.8671879582,566.0
wheat,2002,36056.0,21.2970022477,49.0268177338,10108.0
wheat,2002,36223.0,25.4986807553,61.7109198229,7680.0
wheat,2002,20389.0,23.1176034532,51.4410172374,9759.0
wheat,2002,1274.0,22.1367079043,61.6436414954,488.0
wheat,2002,12264.0,25.9010225454,73.2053314877,1899.0
wheat,2002,3197.0,23.034688751,68.3014502501,978.0
wheat,2003,15300.0,21.7207930492,35.8142829335,18327.0
wheat,2003,51451.0,23.3165339007,40.2201277907,32005.0
wheat,2003,990.0,21.4003059874,69.7700676614,707.0
wheat,2003,7887.0,22.8674434001,52.2460330141,4620.0
wheat,2003,34432.0,25.8110098229,64.0042853924,17796.0
wheat,2003,1.0,24.1574785942,57.6526554305,1.0
wheat,2003,803.0,23.4471945914,69.6895681793,637.0
wheat,2003,786.0,24.4808548565,55.8030144361,445.0
wheat,2003,52237.0,23.1633596021,37.0677223686,3902.0
wheat,2003,37589.0,21.141915882,25.791519601,8208.0
wheat,2003,17523.0,21.1641827671,66.2107671679,7700.0
wheat,2003,1833.0,23.5169096341,26.6193474007,295.0
wheat,2003,8578.0,25.4425976344,27.7446481297,920.0
wheat,2003,2584.0,25.5281820301,43.6039241577,587.0
wheat,2004,21202.0,22.0730415163,30.5900355563,32903.0
wheat,2004,56811.0,25.7776852955,67.3768396298,59112.0
wheat,2004,848.0,22.4816695296,38.0796178755,768.0
wheat,2004,7373.0,23.8889122042,57.4245231401,4546.0
wheat,2004,49116.0,25.2613543823,34.7514551479,44599.0
wheat,2004,6.0,25.5151418546,61.5288971794,9.0
wheat,2004,658.0,25.0757761776,63.5314975163,932.0
wheat,2004,316.0,22.4790720614,68.0214966447,383.0
wheat,2004,39502.0,24.8665126932,65.5515226728,21470.0
wheat,2004,36348.0,22.92286425,40.4502901978,24519.0
wheat,2004,16517.0,22.2989678236,41.7987786448,11494.0
wheat,2004,783.0,24.9039656845,25.2579221139,433.0
wheat,2004,9762.0,23.7073276458,64.9010533617,4371.0
wheat,2004,3.0,23.135756719,65.3591010674,1.0
wheat,2004,2746.0,21.0753017459,32.969393989,756.0
wheat,2005,21840.0,25.776349052,33.0536039281,34948.0
wheat,2005,63035.0,25.00193139,74.4120033709,65629.0
wheat,2005,1228.0,25.2033457295,57.7867718106,1341.0
wheat,2005,7746.0,23.642631553,69.1369539108,4710.0
wheat,2005,51103.0,24.2634374269,62.1186666939,42121.0
wheat,2005,7.0,24.9129496093,29.4746309727,8.0
wheat,2005,1023.0,22.9174638684,60.6279108943,1429.0
wheat,2005,235.0,22.7774722202,32.9863007217,213.0
wheat,2005,38907.0,25.7604716705,46.2404658006,24515.0
wheat,2005,35992.0,25.6451482885,67.4996250816,31253.0
wheat,2005,19876.0,21.3030771836,33.7898732694,15003.0
wheat,2005,1090.0,22.8796255125,48.2526198727,713.0
wheat,2005,7681.0,24.4241932324,69.4484910735,3445.0
wheat,2005,2825.0,22.752600932,66.8647359993,1041.0
wheat,2006,20992.0,22.5810996531,55.2594029928,27344.0
wheat,2006,72367.0,22.0814122651,36.7056922391,89933.0
wheat,2006,889.0,25.1229880777,48.3451518813,798.0
wheat,2006,7339.0,22.4081277346,58.7737946431,5444.0
wheat,2006,63201.0,21.0371690987,54.3402873761,38539.0
wheat,2006,5.0,21.7784548665,65.7085147184,6.0
wheat,2006,1114.0,25.5551510562,59.3112073661,1168.0
wheat,2006,288.0,22.514261922,67.3078055584,262.0
wheat,2006,37675.0,22.6313110779,70.4858338066,22644.0
wheat,2006,37586.0,23.8067597723,35.4568069293,21114.0
wheat,2006,17993.0,25.7166475781,60.6590249402,12674.0
wheat,2006,1093.0,22.6027334588,29.572258512,902.0
wheat,2006,4923.0,22.3684222099,41.4881637922,764.0
wheat,2006,4029.0,21.0220313411,36.9551984878,2214.0
wheat,2007,23208.0,23.3194549918,44.2532412015,38300.0
wheat,2007,62963.0,24.6833988856,46.0826765572,78126.0
wheat,2007,1162.0,23.7629594936,30.6840074872,1226.0
wheat,2007,6893.0,22.6980117587,36.5853820376,8333.0
wheat,2007,71151.0,22.3363064079,33.0850712363,71114.0
wheat,2007,1.0,21.8576139844,42.0693745454,1.0
wheat,2007,10.0,21.6789109182,28.2011124588,15.0
wheat,2007,473.0,22.5260350634,61.9613301879,596.0
wheat,2007,232.0,23.2673088259,45.4730064593,232.0
wheat,2007,41041.0,22.1153983029,40.8062762641,27261.0
wheat,2007,37370.0,22.3581025807,58.0403687098,30516.0
wheat,2007,17936.0,22.8530090419,35.3191909638,17282.0
wheat,2007,1112.0,23.090955489,59.9162197397,875.0
wheat,2007,8876.0,24.0174330735,44.7375350442,4599.0
wheat,2007,3155.0,25.4134112156,66.9308088907,1908.0
wheat,2008,25668.0,21.5074171275,28.0257994269,37486.0
wheat,2008,63754.0,23.3868003186,54.3217691483,68846.0
wheat,2008,1272.0,25.3352533785,54.8766672007,1444.0
wheat,2008,7030.0,21.2132207995,50.925373328,8445.0
wheat,2008,65369.0,21.8910962208,57.7709620807,52919.0
wheat,2008,9.0,25.1496150596,58.9311375341,10.0
wheat,2008,1133.0,25.6079633493,47.5674489856,2577.0
wheat,2008,428.0,22.9790953707,40.4343393707,401.0
wheat,2008,38357.0,21.4071637904,34.5895499075,35130.0
wheat,2008,33917.0,24.3252733593,40.2244030406,22306.0
wheat,2008,20333.0,22.8874434157,61.6408486499,22229.0
wheat,2008,1357.0,21.2672296057,72.8048562947,801.0
wheat,2008,8193.0,21.4861050468,32.6827327348,3785.0
wheat,2008,1780.0,25.5220633487,34.9292604199,802.0
wheat,2009,26356.0,23.5782070281,49.1905672534,36213.0
wheat,2009,57138.0,25.3819656137,38.0135172245,58995.0
wheat,2009,1174.0,22.5126258718,25.7661781466,1051.0
wheat,2009,6387.0,21.7923913844,44.914942312,8518.0
wheat,2009,81437.0,22.4775684893,39.7637476303,77309.0
wheat,2009,7.0,24.5906623433,27.7984173783,7.0
wheat,2009,865.0,21.1954186386,49.1639842738,1196.0
wheat,2009,513.0,25.7162974939,58.6836835986,437.0
wheat,2009,38088.0,25.5509712689,72.6355821048,30612.0
wheat,2009,31810.0,22.6941738717,59.6801993966,15550.0
wheat,2009,24573.0,24.5464240655,34.996654569,26294.0
wheat,2009,2014.0,24.102077229,36.0138227655,1430.0
wheat,2009,11267.0,25.3099129524,55.4071601332,5324.0
wheat,2009,1798.0,22.213537864,30.5395640814,941.0
wheat,2010,24693.0,21.4038653804,33.4434727745,40235.0
wheat,2010,9.0,24.5638650479,64.3025804463,14.0
wheat,2010,54239.0,22.0931721167,66.1148526598,76503.0
wheat,2010,1018.0,22.5108056125,32.6749025103,1658.0
wheat,2010,7876.0,21.6745399142,44.7424923702,10271.0
wheat,2010,63974.0,22.8816604803,71.1218182294,68354.0
wheat,2010,2.0,22.1411475684,41.3561968011,1.0
wheat,2010,1566.0,22.2761972556,25.8008539686,2438.0
wheat,2010,733.0,23.6875598695,53.208894488,794.0
wheat,2010,39144.0,25.1692513181,38.0085208499,41158.0
wheat,2010,29193.0,23.2095426426,29.8826163084,21580.0
wheat,2010,17702.0,21.9492341301,31.6882592598,26539.0
wheat,2010,1086.0,24.9626536048,57.1216734,1014.0
wheat,2010,9156.0,25.6609757176,49.1566968633,5958.0
wheat,2010,2558.0,23.4088345408,48.4963487427,2112.0
wheat,2010,2.0,23.7168276792,74.1189091449,3.0
wheat,2010,1804.0,23.4723837227,38.4857056162,1605.0
wheat,2011,25676.0,23.0755594735,65.1662954742,41483.0
wheat,2011,6.0,23.6931060989,48.4328270867,7.0
wheat,2011,44014.0,21.0549946954,33.2002743819,44456.0
wheat,2011,653.0,25.0974368297,41.3688351072,938.0
wheat,2011,6908.0,21.5554362554,44.7069654922,7810.0
wheat,2011,45949.0,21.6037206426,48.8483397051,33346.0
wheat,2011,528.0,25.2723004605,66.769280475,777.0
wheat,2011,1006.0,25.8064912334,35.9332068378,813.0
wheat,2011,42988.0,24.8911451845,58.0290935855,31164.0
wheat,2011,32351.0,25.1883655311,73.9957403611,10646.0
wheat,2011,16516.0,21.3023346747,46.2548702086,24893.0
wheat,2011,471.0,23.0676451375,37.1864407389,558.0
wheat,2011,4424.0,25.7720468824,43.5997506171,1621.0
wheat,2011,2307.0,23.6196438126,66.8401026898,1294.0
wheat,2011,1675.0,23.5537304048,73.9855110544,1126.0
wheat,2012,20920.0,24.8034164411,43.5312945027,18662.0
wheat,2012,47291.0,22.023307151,39.7448717618,42590.0
wheat,2012,576.0,21.5494691086,60.2372694105,401.0
wheat,2012,6878.0,24.737214387,73.2917811481,9422.0
wheat,2012,52074.0,24.0536593426,56.7407146514,44375.0
wheat,2012,185.0,21.7654321809,35.7165878884,163.0
wheat,2012,334.0,22.0402369177,40.755635182,518.0
wheat,2012,42901.0,25.6139528401,38.9887617796,20989.0
wheat,2012,31619.0,24.2543008957,32.3452896105,20516.0
wheat,2012,11271.0,23.2295231566,45.6455059763,14787.0
wheat,2012,1255.0,24.5871585981,73.7121726994,458.0
wheat,2012,6540.0,24.0915637526,46.0947347043,3945.0
wheat,2012,2332.0,23.1747309865,69.9972278629,1172.0
wheat,2012,1098.0,23.5379132927,48.2248108274,873.0
wheat,2013,17901.0,25.7916506545,74.7759983801,20713.0
wheat,2013,39362.0,21.9580093795,52.0089181433,37431.0
wheat,2013,328.0,22.4960447801,34.9640001072,346.0
wheat,2013,6656.0,24.9290673853,57.5053385178,8498.0
wheat,2013,57511.0,21.3779043392,49.1086824879,55182.0
wheat,2013,128.0,24.0030121201,27.7736284119,199.0
wheat,2013,185.0,23.7907394942,29.530058453,186.0
wheat,2013,32155.0,23.1456407504,42.3376119971,28470.0
wheat,2013,31896.0,21.6182807233,41.7549223044,27362.0
wheat,2013,13467.0,22.1285346187,36.4149703166,23502.0
wheat,2013,887.0,24.4877207281,61.796906263,641.0
wheat,2013,6985.0,25.5837509945,59.5123143963,5932.0
wheat,2013,1054.0,22.9770941888,46.4262555716,1047.0
wheat,2013,564.0,21.1063919186,69.4797360976,532.0
wheat,2014,23237.0,22.1945526375,63.4481469308,36071.0
wheat,2014,46809.0,25.8590044063,43.1908496107,74085.0
wheat,2014,263.0,24.8328338326,74.5692970187,344.0
wheat,2014,4340.0,25.4788402766,26.2191228652,5385.0
wheat,2014,53709.0,24.7764848695,50.4144226033,55207.0
wheat,2014,266.0,21.2357319569,37.1745490439,387.0
wheat,2014,374.0,24.205825862,59.4216178791,721.0
wheat,2014,28985.0,24.1575438695,69.1695639812,35714.0
wheat,2014,16757.0,24.0786177635,45.879685022,18068.0
wheat,2014,14149.0,21.8538918172,61.892677951,23751.0
wheat,2014,634.0,25.0381761048,36.4763917075,470.0
wheat,2014,6356.0,23.3781966366,49.5871915533,8164.0
wheat,2014,656.0,25.9653785385,51.1191520162,589.0
wheat,2014,1080.0,23.1304328839,55.1953133808,1137.0
