State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Kharif,1400.0,500.0,15.8176344776,6.4195926397,44.7067894058,30.4583808359,20.5845388373,41.6645187333,31.7002572924,0.0,bajra
Andhra Pradesh,CHITTOOR,1997,Kharif,1700.0,1900.0,17.9038954437,5.8204760726,48.5729935168,31.0354401128,20.9842391134,42.256599162,32.5434574636,0.0,bajra
Andhra Pradesh,EAST GODAVARI,1997,Kharif,2500.0,1400.0,19.3746649346,6.3511284401,59.5865401342,30.5977817249,23.7106319479,38.7098931571,29.5659352264,0.0,bajra
Andhra Pradesh,GUNTUR,1997,Kharif,100.0,100.0,18.1454682746,6.0444100796,42.8289737376,30.4902092257,22.3525345012,42.1780235586,32.1524002892,0.0,bajra
Andhra Pradesh,KADAPA,1997,Kharif,2000.0,2400.0,15.4161703818,6.1141112175,50.5028738433,30.9640833146,21.6966350419,39.7294679267,32.3405906906,0.0,bajra
Andhra Pradesh,KURNOOL,1997,Kharif,11600.0,9300.0,18.4185757749,5.8516784128,56.8345589917,30.6914639433,22.3753953749,38.3349432396,30.3195091058,0.0,bajra
Andhra Pradesh,PRAKASAM,1997,Kharif,12200.0,11600.0,19.8926621409,5.9359168629,54.5493464516,31.6425891149,21.9008254721,38.7118985682,28.2218333836,0.0,bajra
Andhra Pradesh,SPSR NELLORE,1997,Kharif,2100.0,4700.0,19.8329500763,6.4673306671,45.4313184118,30.0613893803,22.6453419745,37.9593806107,28.4572510215,0.0,bajra
Andhra Pradesh,SRIKAKULAM,1997,Kharif,3500.0,6100.0,19.3790142508,6.368864055,49.7260003983,31.0949621048,23.8731943332,39.4338168038,30.3368739388,0.0,bajra
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,17700.0,9700.0,15.6597889258,5.9457327841,47.6007917423,30.5309641243,22.4534186929,38.4141632022,31.9983396879,0.0,bajra
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,4500.0,4600.0,19.1003037767,6.3115780133,55.0886760836,30.3472588197,24.6337022198,40.2658797011,29.1323234515,0.0,bajra
Karnataka,BELGAUM,1997,Kharif,34917.0,5666.0,16.1729112271,6.328631685,41.3486937082,30.2862657471,22.7644740582,42.7263299089,29.169532721,0.0,bajra
Karnataka,BELLARY,1997,Kharif,14047.0,7221.0,15.4354142537,6.0836281169,46.0036856136,31.0204967177,20.0342061824,38.9595356023,29.5627488162,0.0,bajra
Karnataka,BIDAR,1997,Kharif,14756.0,9500.0,16.8733438179,5.8222770529,49.26884413,31.7059002835,21.4869402537,42.4972303388,31.0620616199,0.0,bajra
Karnataka,BIJAPUR,1997,Kharif,94756.0,40777.0,15.5083573291,5.9107748054,59.9358933956,30.6855073677,24.0442199605,40.9633485103,29.4168219001,0.0,bajra
Karnataka,CHITRADURGA,1997,Kharif,5257.0,1816.0,15.3551976355,5.8104625516,43.4546109855,30.0041526401,22.8622879009,41.1447007214,28.4456131531,0.0,bajra
Karnataka,DHARWAD,1997,Kharif,1581.0,564.0,15.2868786136,6.1349467253,46.1216418117,30.3874997234,23.2010579092,40.5212172747,27.3105444778,0.0,bajra
Karnataka,GULBARGA,1997,Kharif,66832.0,39483.0,16.3981593116,5.8888633986,52.8256445609,30.9130882007,24.6404219365,39.2664073084,32.2411428813,0.0,bajra
Karnataka,KOLAR,1997,Kharif,119.0,44.0,16.0967377678,6.3911221497,47.9407233331,30.2200939972,20.9129409482,42.8004148609,30.0081050083,0.0,bajra
Karnataka,MYSORE,1997,Kharif,365.0,161.0,17.060504046,6.4185981438,47.2436001063,31.2983620151,22.4831925828,42.9695812261,29.3295035886,0.0,bajra
Karnataka,RAICHUR,1997,Kharif,68296.0,26777.0,16.304046498,5.8849555253,57.6471863213,30.3451469154,24.8788792552,42.1369963988,28.2344338088,0.0,bajra
Karnataka,TUMKUR,1997,Kharif,223.0,47.0,18.4301658181,5.851697027,44.5868635415,30.4355645115,20.1373025384,40.602887411,27.645403664,0.0,bajra
Telangana,KHAMMAM,1997,Kharif,500.0,200.0,15.8835335418,5.9150520668,44.8733959156,30.4122730497,22.7987676058,38.6351421929,28.1723534139,0.0,bajra
Telangana,MAHBUBNAGAR,1997,Kharif,9500.0,3500.0,18.2664948612,6.4878513777,53.1693418359,31.3873924706,22.7279093931,40.1198785083,32.8440197388,0.0,bajra
Telangana,MEDAK,1997,Kharif,1700.0,600.0,19.3039382865,5.8481674939,55.6003337966,30.5959429017,20.2916559963,37.2629959067,27.6165474962,0.0,bajra
Telangana,NALGONDA,1997,Kharif,17300.0,6600.0,17.3285672104,5.8829548304,44.0667459408,31.6585938875,20.1664214679,42.6812840083,30.994846553,0.0,bajra
Telangana,RANGAREDDI,1997,Kharif,900.0,300.0,15.1416425791,6.0880794813,42.0297609287,30.6555917239,23.1543497945,41.4653540267,31.491262179,0.0,bajra
Telangana,WARANGAL,1997,Kharif,200.0,100.0,16.9378782137,6.0648495211,53.7519514064,30.4392540397,21.2899771315,38.5032860748,31.125257876,0.0,bajra
Andhra Pradesh,ANANTAPUR,1998,Kharif,2600.0,1900.0,15.3037219061,6.2113996721,42.173242119,31.6626270316,24.7207483708,38.4659138123,29.3852967916,0.0,bajra
Andhra Pradesh,CHITTOOR,1998,Kharif,1700.0,3400.0,16.9732426973,6.0623028402,42.5736750437,31.9775633324,22.9891287942,40.3335095084,32.3623268937,0.0,bajra
Andhra Pradesh,EAST GODAVARI,1998,Kharif,4300.0,2400.0,15.4359198158,6.4109801415,55.1630546507,30.8982725659,20.1402197123,37.3402914924,28.5196287635,0.0,bajra
Andhra Pradesh,GUNTUR,1998,Kharif,100.0,100.0,19.1276995634,6.1231923584,46.5290508614,30.989956186,21.144199482,39.870943155,31.6794835386,0.0,bajra
Andhra Pradesh,KADAPA,1998,Kharif,3000.0,6000.0,16.5397266845,6.3003541689,49.6772956752,31.8066968282,20.8328855608,38.820591343,28.4871403718,0.0,bajra
Andhra Pradesh,KURNOOL,1998,Kharif,17700.0,16200.0,16.9730247611,5.9263249705,48.6489709463,31.137633213,23.728831049,42.2609525844,32.3335470862,0.0,bajra
Andhra Pradesh,PRAKASAM,1998,Kharif,17200.0,23800.0,15.0460973533,6.3168077846,45.5499836142,30.2327120594,23.2939021877,38.2200717708,27.8556763114,0.0,bajra
Andhra Pradesh,SPSR NELLORE,1998,Kharif,2300.0,4200.0,17.9873571192,6.2991635252,57.8356092394,30.1804847754,22.5403280858,38.0917292813,28.303687576,0.0,bajra
Andhra Pradesh,SRIKAKULAM,1998,Kharif,4100.0,4600.0,15.4394515879,5.836999063,57.2997441286,30.7705216763,21.4479458945,39.8105526649,31.663292222,0.0,bajra
Andhra Pradesh,VISAKHAPATANAM,1998,Kharif,25000.0,28700.0,16.9420209065,6.1676672807,59.8643253761,30.5240711588,20.1826065711,42.4608972111,28.4302285551,0.0,bajra
Andhra Pradesh,VIZIANAGARAM,1998,Kharif,4100.0,5400.0,19.4302959171,6.4928236813,47.6556385639,31.2045551937,22.2923695114,37.7784489883,28.8940644239,0.0,bajra
Karnataka,BAGALKOT,1998,Kharif,48855.0,52375.0,19.9659975532,6.2930765847,46.791950817,30.1169691628,22.1072059019,42.3571045664,30.1123859759,0.0,bajra
Karnataka,BELGAUM,1998,Kharif,30894.0,8901.0,18.5714777678,6.4737796444,48.3250481671,31.1930172017,20.971856926,39.7824756018,31.2178227269,0.0,bajra
Karnataka,BELLARY,1998,Kharif,25918.0,24114.0,16.5179551745,6.0160690574,57.132650222,31.3585764585,20.828704102,41.0587493814,29.5400502736,0.0,bajra
Karnataka,BIDAR,1998,Kharif,13994.0,6398.0,19.626673826,6.4835880536,51.6953557645,31.8317452477,24.9946413881,40.0937290615,29.5510102106,0.0,bajra
Karnataka,BIJAPUR,1998,Kharif,88693.0,64614.0,18.4015951434,6.4395661868,46.4485254577,31.9564066782,24.0063434556,42.1517217092,28.7664935649,0.0,bajra
Karnataka,CHAMARAJANAGAR,1998,Kharif,790.0,548.0,19.0945883562,6.1016018555,52.2572022408,30.4939004338,22.4902714383,40.3811595708,30.2142792856,0.0,bajra
Karnataka,CHITRADURGA,1998,Kharif,8649.0,6113.0,16.09172885,6.4137381677,58.9717411814,31.3508969151,20.0483863259,40.8552228752,32.8185184532,0.0,bajra
Karnataka,DAVANGERE,1998,Kharif,914.0,515.0,19.5690088532,5.8803243556,47.9669488114,30.3717430464,20.8521317815,39.8451840727,29.5939215018,0.0,bajra
Karnataka,GADAG,1998,Kharif,1190.0,598.0,18.0154692824,6.4696832131,40.6847833854,30.5759006845,20.7162045843,42.1440237598,27.6688852084,0.0,bajra
Karnataka,GULBARGA,1998,Kharif,74628.0,47736.0,17.1232079329,6.1558841295,48.9966972286,31.6450923325,23.5251502408,38.5558057367,28.9573483697,0.0,bajra
Karnataka,HAVERI,1998,Kharif,892.0,589.0,17.9834773883,5.819032574,46.2232334894,30.7131470125,21.0541444581,41.8076950688,28.5815105621,0.0,bajra
