State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Rabi,28000.0,14800.0,25.678605829,6.6895417305,79.5213408571,26.2157350798,30.3517679571,50.8488651092,19.5827568389,0.0,bengalgram
Andhra Pradesh,GUNTUR,1997,Rabi,3000.0,1500.0,24.846161095,5.931420943,77.3994453071,27.1321795323,31.1711173705,51.7224565054,21.2754635259,0.0,bengalgram
Andhra Pradesh,KADAPA,1997,Rabi,14200.0,7000.0,28.3170237055,6.1747609178,78.1228411498,27.0442758348,31.5077421612,47.785560119,19.3692802222,0.0,bengalgram
Andhra Pradesh,KURNOOL,1997,Rabi,48300.0,22800.0,26.711032039,5.933533232,89.7839202715,26.1780490744,31.9375706257,50.5566046864,19.9629192645,0.0,bengalgram
Andhra Pradesh,PRAKASAM,1997,Rabi,15100.0,7400.0,25.7484019787,5.6557429139,65.0871558271,27.7744246004,31.8610279863,49.5678533941,18.097590181,0.0,bengalgram
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi,200.0,100.0,27.3054602984,6.9097518439,84.6944851045,26.0256582688,31.7636662074,49.8560024048,18.9600837639,0.0,bengalgram
Andhra Pradesh,VIZIANAGARAM,1997,Rabi,100.0,100.0,29.6411747192,6.1625516742,68.9948822317,26.5071506132,31.9541014695,47.187453551,21.5048217302,0.0,bengalgram
Telangana,ADILABAD,1997,Rabi,4000.0,500.0,25.3875068799,6.8235790113,76.6301575697,26.1698509717,30.4679957967,50.1547484741,19.3500513588,0.0,bengalgram
Telangana,KARIMNAGAR,1997,Rabi,1300.0,200.0,24.2931756055,6.5361033884,64.4433160177,25.0445984748,30.0838819798,46.1715590024,19.1830869896,0.0,bengalgram
Telangana,MAHBUBNAGAR,1997,Rabi,3000.0,400.0,26.5638475644,6.2293739456,62.7452505297,26.6456681239,31.2166626272,50.0451320444,20.3147414702,0.0,bengalgram
Telangana,MEDAK,1997,Rabi,19800.0,2400.0,29.9792142169,5.6557989144,81.8333188162,26.3552655674,31.7443293755,48.9621728828,20.7543550317,0.0,bengalgram
Telangana,NALGONDA,1997,Rabi,500.0,100.0,26.6527204766,6.8438448721,86.708832521,25.0411544464,30.2241017131,47.776511191,19.2043622926,0.0,bengalgram
Telangana,NIZAMABAD,1997,Rabi,2600.0,300.0,24.0824469388,6.6140706938,64.295480977,25.8856243506,31.4582258257,46.4235638801,18.6997088645,0.0,bengalgram
Telangana,RANGAREDDI,1997,Rabi,5600.0,700.0,28.1504340176,5.6524635782,61.1167888618,26.2708900378,30.7261584317,53.3729994768,21.0242652438,0.0,bengalgram
Telangana,WARANGAL,1997,Rabi,900.0,100.0,29.7236802972,5.6277009424,78.3331656126,27.1730486424,31.7325482857,52.8835899896,21.1806988333,0.0,bengalgram
Andhra Pradesh,ANANTAPUR,1998,Rabi,26200.0,25900.0,28.3669708913,6.2385681113,66.591567854,26.0279204172,30.3773283472,47.6961605117,20.7025425358,0.0,bengalgram
Andhra Pradesh,GUNTUR,1998,Rabi,1400.0,2700.0,25.566622493,5.9815441143,83.1941785397,24.4285417111,30.1238555382,46.9351781921,20.059155274,0.0,bengalgram
Andhra Pradesh,KADAPA,1998,Rabi,17400.0,26600.0,28.1721427905,5.5498980932,81.1512811298,25.8145170219,30.3182012894,52.3239671805,20.6661233845,0.0,bengalgram
Andhra Pradesh,KRISHNA,1998,Rabi,100.0,100.0,25.0237787221,6.6810326992,63.6976871619,24.3308195079,31.3161559341,51.1794484084,19.7337815555,0.0,bengalgram
Andhra Pradesh,KURNOOL,1998,Rabi,54400.0,44500.0,28.7107049225,5.5870278083,63.5092078093,24.9701038456,30.4100125147,52.3662466329,21.9644758396,0.0,bengalgram
Andhra Pradesh,PRAKASAM,1998,Rabi,13000.0,25400.0,29.8047286333,5.6766163766,71.9105975085,24.6163691097,30.075900032,48.5765314677,20.49024246,0.0,bengalgram
Andhra Pradesh,VISAKHAPATANAM,1998,Rabi,100.0,300.0,29.4927513641,6.8055499353,89.5666581336,26.0804533359,31.0430963624,48.7406886116,18.8877141751,0.0,bengalgram
Andhra Pradesh,VIZIANAGARAM,1998,Rabi,100.0,300.0,24.3672453244,5.9389119212,68.5533371388,27.4972768699,31.9771178102,53.4866289901,21.6997816685,0.0,bengalgram
Karnataka,BAGALKOT,1998,Rabi,17835.0,15170.0,25.6156056776,6.06176161,64.4814638446,24.3644375045,31.2205906528,52.2107902626,19.295537532,0.0,bengalgram
Karnataka,BANGALORE RURAL,1998,Rabi,50.0,35.0,24.9105990732,5.8793679904,61.2246523645,24.8682044125,31.5270013142,50.7535933585,20.3485437203,0.0,bengalgram
Karnataka,BELGAUM,1998,Rabi,24199.0,17873.0,27.6668149797,6.6563971109,78.0573817435,27.9867665703,31.4461886288,51.8019767952,20.4202372829,0.0,bengalgram
Karnataka,BELLARY,1998,Rabi,9325.0,6070.0,27.4038758715,6.0040354847,77.9788003109,27.5461832018,30.4907173575,48.9484694557,20.9076511346,0.0,bengalgram
Karnataka,BIDAR,1998,Rabi,41731.0,18557.0,26.1081857337,6.8578153317,69.3832961452,26.9858817885,30.7555137155,50.4689229529,20.976317254,0.0,bengalgram
Karnataka,BIJAPUR,1998,Rabi,48080.0,29390.0,29.4389030997,5.547628896,72.7638494228,26.7858364248,31.6739552887,51.6343593323,18.3843324329,0.0,bengalgram
Karnataka,CHAMARAJANAGAR,1998,Rabi,748.0,201.0,25.6519313351,5.524654557,64.1536706295,25.3532026156,30.1829821695,52.682214551,18.2964447555,0.0,bengalgram
Karnataka,CHIKMAGALUR,1998,Rabi,3670.0,3476.0,26.1366940216,5.7040202101,70.4731984038,27.8509854526,30.0194042902,47.4715741772,20.9718136219,0.0,bengalgram
Karnataka,CHITRADURGA,1998,Rabi,2960.0,1627.0,25.4795910417,5.9278530156,78.8234266192,24.2069107527,31.6654839665,48.0079476144,21.8894809273,0.0,bengalgram
Karnataka,DAVANGERE,1998,Rabi,2151.0,1114.0,25.8492109816,6.5903956586,72.6652057772,26.3015884084,31.1397502673,47.892109417,21.3663045239,0.0,bengalgram
Karnataka,DHARWAD,1998,Rabi,25359.0,15281.0,24.4866429351,6.5368173636,64.8339373201,26.1394903605,30.2390292899,53.4661666477,20.32118662,0.0,bengalgram
Karnataka,GADAG,1998,Rabi,26180.0,13291.0,24.7982204204,6.4947882014,82.2736080949,27.8314447247,30.5689434528,47.9350297526,18.1564606706,0.0,bengalgram
Karnataka,GULBARGA,1998,Rabi,119488.0,62134.0,27.187088186,5.6641428516,79.7241615204,26.5521289013,31.3515637155,47.2349810785,20.8347483612,0.0,bengalgram
