State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Karnataka,BELGAUM,1997,Whole Year,215.0,26.0,25.4821001542,9.0973679639,8.9361925112,22.2656524937,23.4265806431,38.2844658317,0.0,0.0,coriander
Karnataka,BELLARY,1997,Whole Year,10736.0,2168.0,17.4728177352,8.832218478,9.1876597277,22.2349666899,20.9119221649,37.5922613823,0.0,0.0,coriander
Karnataka,BENGALURU URBAN,1997,Whole Year,154.0,17.0,18.4499985306,8.1047652047,9.2748261999,25.243271944,24.0904208221,42.2632494093,0.0,0.0,coriander
Karnataka,BIDAR,1997,Whole Year,701.0,74.0,26.0737018363,8.2545451244,9.8977481258,23.3254787565,18.1918777962,37.6602769651,0.0,0.0,coriander
Karnataka,BIJAPUR,1997,Whole Year,400.0,38.0,24.607222632,9.9317157279,9.2549258241,24.4300212778,16.250597682,42.3906567107,0.0,0.0,coriander
Karnataka,CHIKMAGALUR,1997,Whole Year,1180.0,120.0,15.1974883978,9.3933725159,7.7159509014,24.5437648881,23.3779011058,42.16534299,0.0,0.0,coriander
Karnataka,CHITRADURGA,1997,Whole Year,782.0,79.0,26.2743015315,9.5829650813,9.4025229609,22.2716898384,23.4989680004,37.812369988,0.0,0.0,coriander
Karnataka,DHARWAD,1997,Whole Year,1796.0,185.0,24.6483063457,8.3476373225,9.686854944,24.8856449795,16.2625166565,37.3926039358,0.0,0.0,coriander
Karnataka,GULBARGA,1997,Whole Year,21.0,3.0,21.590239651,8.3181648469,8.3670913557,24.2692864286,23.3549531404,40.3175974546,0.0,0.0,coriander
Karnataka,HASSAN,1997,Whole Year,251.0,32.0,21.2908169159,8.4433601187,7.5663036154,23.4244950206,22.2379155243,41.6516669011,0.0,0.0,coriander
Karnataka,KOLAR,1997,Whole Year,67.0,7.0,26.9691361039,8.374907846,8.0018301807,27.9014744021,17.0515455066,38.9822048477,0.0,0.0,coriander
Karnataka,MYSORE,1997,Whole Year,870.0,86.0,18.0163286894,8.0853920689,9.434699052,26.6843740523,18.5835675965,39.2782416553,0.0,0.0,coriander
Karnataka,RAICHUR,1997,Whole Year,38.0,7.0,25.3777424813,8.6141020752,7.8808779702,25.5076546706,20.5939903007,42.6864329629,0.0,0.0,coriander
Karnataka,SHIMOGA,1997,Whole Year,83.0,8.0,16.8737364391,9.8488093258,9.532565376,22.4849048146,17.8806962878,39.7165550125,0.0,0.0,coriander
Karnataka,TUMKUR,1997,Whole Year,23.0,3.0,24.8928446261,8.2210962109,8.921672353,23.7969902394,23.4540868828,41.7499317433,0.0,0.0,coriander
Tamil Nadu,COIMBATORE,1997,Whole Year,709.0,130.0,24.287292383,9.756370468,8.4685380896,25.6719600922,17.8230375657,38.5337034685,0.0,0.0,coriander
Tamil Nadu,CUDDALORE,1997,Whole Year,5101.0,420.0,16.5462072028,8.1025834213,9.6036338061,24.0357220237,20.3002931593,40.8351826645,0.0,0.0,coriander
Tamil Nadu,DHARMAPURI,1997,Whole Year,334.0,110.0,18.9525194906,9.5676406116,8.6257960188,26.5409471114,16.3557476136,41.2321182056,0.0,0.0,coriander
Tamil Nadu,DINDIGUL,1997,Whole Year,156.0,40.0,23.2939258267,9.8374520366,9.719756383,25.2176820303,19.1309317794,37.0671676537,0.0,0.0,coriander
Tamil Nadu,ERODE,1997,Whole Year,31.0,10.0,21.6399844317,9.1173295575,8.1220672748,23.6690705298,15.5704712525,41.9643024132,0.0,0.0,coriander
Tamil Nadu,MADURAI,1997,Whole Year,253.0,120.0,23.0714908102,8.067853929,9.9078030786,25.0457201835,16.8940500842,37.2263708233,0.0,0.0,coriander
