State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Kharif,7300.0,9400.0,26.2856903304,7.5890985208,67.5877586713,25.4184557005,18.5067211554,27.3741202094,12.6320966005,0.0,cottonlint
Andhra Pradesh,EAST GODAVARI,1997,Kharif,9800.0,23400.0,15.2602799209,6.0504838877,76.2194744612,26.5178724145,21.5320467377,30.905296647,11.623270391,0.0,cottonlint
Andhra Pradesh,GUNTUR,1997,Kharif,162300.0,432500.0,16.1132131136,7.5588894237,86.9476758755,34.3495700279,23.331699031,28.6515761354,13.861878722,0.0,cottonlint
Andhra Pradesh,KADAPA,1997,Kharif,13400.0,17400.0,30.0520317405,7.377946076,60.1740833843,30.1859134963,21.4244282409,29.6231797464,11.6897549601,0.0,cottonlint
Andhra Pradesh,KRISHNA,1997,Kharif,26400.0,63300.0,32.8582267001,6.3192959784,72.2779340197,33.2200230544,15.9025431281,31.3935268621,13.8578010418,0.0,cottonlint
Andhra Pradesh,KURNOOL,1997,Kharif,90400.0,116900.0,34.6684841633,7.5820583268,90.1124225498,27.2551564069,22.2954794161,32.2239263216,12.0025432855,0.0,cottonlint
Andhra Pradesh,PRAKASAM,1997,Kharif,39900.0,47500.0,19.0750303339,7.0391468055,84.4736520776,27.0370706262,20.0470056185,29.2168564026,12.2392964429,0.0,cottonlint
Andhra Pradesh,SPSR NELLORE,1997,Kharif,8700.0,20900.0,33.0015255947,6.4023833171,92.2506142396,33.7162808101,19.7507285185,28.2712015551,13.3634579418,0.0,cottonlint
Andhra Pradesh,SRIKAKULAM,1997,Kharif,800.0,1900.0,20.1426309048,6.4404180787,92.6791980752,28.7472984168,22.6860343027,28.6160349003,12.7174550317,0.0,cottonlint
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,1500.0,3500.0,23.6197567451,7.5158473557,78.7832965135,34.5536831093,24.1772961969,28.2681358935,12.5958827686,0.0,cottonlint
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,4200.0,10100.0,27.4417743101,6.4335774974,93.435782307,25.1902709729,19.6012781384,29.4242706463,12.4364151994,0.0,cottonlint
Andhra Pradesh,WEST GODAVARI,1997,Kharif,3400.0,8200.0,21.7490326996,7.6492921358,91.243802769,28.8624378699,23.2547187882,30.2041897474,13.8547398849,0.0,cottonlint
Telangana,ADILABAD,1997,Kharif,144900.0,66500.0,17.896826403,6.6675958439,98.8482481604,28.9160118761,15.1088091533,30.6146257532,13.4563422279,0.0,cottonlint
Telangana,KARIMNAGAR,1997,Kharif,60400.0,106300.0,26.4315264127,6.3549263722,82.7928483779,32.9481635926,20.6915016846,28.1566876846,11.3184330772,0.0,cottonlint
Telangana,KHAMMAM,1997,Kharif,71000.0,89400.0,29.4152525632,6.7411879687,92.1925769159,31.0498273453,18.2303853927,28.5676281985,10.5294789629,0.0,cottonlint
Telangana,MAHBUBNAGAR,1997,Kharif,58100.0,52300.0,26.5825823649,7.3017449993,86.7591645495,34.2733686901,21.7351893641,27.4078103765,10.0634135462,0.0,cottonlint
Telangana,MEDAK,1997,Kharif,12800.0,13400.0,33.1592789252,6.1287962628,60.2631827906,25.4538303998,17.2460099736,31.1512111903,11.7706822423,0.0,cottonlint
Telangana,NALGONDA,1997,Kharif,51400.0,65300.0,17.225938248,7.2925224624,93.701734649,33.9804648565,23.3707228284,32.6048119179,12.9598387044,0.0,cottonlint
Telangana,NIZAMABAD,1997,Kharif,17200.0,18000.0,15.0410839139,6.0933322488,79.0816567874,34.6612117421,15.2109762008,32.865337267,13.217322592,0.0,cottonlint
Telangana,RANGAREDDI,1997,Kharif,21900.0,21800.0,34.9277852283,7.4653792099,95.7998605712,29.4301063894,23.0613172017,27.3391357623,10.1590715979,0.0,cottonlint
Telangana,WARANGAL,1997,Kharif,100500.0,132400.0,29.3270282994,6.7958111281,99.08068963,32.1218512391,22.0597492627,27.2924723797,10.710950974,0.0,cottonlint
Andhra Pradesh,ANANTAPUR,1998,Kharif,14000.0,12900.0,28.2405782505,6.1775656388,84.1361246502,34.8103592784,15.5056944884,30.3861677214,12.7464646777,0.0,cottonlint
Andhra Pradesh,EAST GODAVARI,1998,Kharif,7900.0,6300.0,23.0628004387,6.8293876272,76.5875321064,27.4013306944,19.0814123283,30.473410288,12.9157780009,0.0,cottonlint
Andhra Pradesh,GUNTUR,1998,Kharif,193600.0,120700.0,32.9859312067,7.3402755563,65.2329721867,28.9149552186,20.3297262072,29.5985546447,11.5026529689,0.0,cottonlint
Andhra Pradesh,KADAPA,1998,Kharif,24800.0,22900.0,22.1741757258,7.7654281158,80.2523476893,27.7767620905,24.9597813319,29.3488546511,12.3620753559,0.0,cottonlint
Andhra Pradesh,KRISHNA,1998,Kharif,41300.0,32500.0,20.8212092406,7.2545439335,70.8331928224,29.36555232,23.1331614564,29.1105907376,12.8212386811,0.0,cottonlint
Andhra Pradesh,KURNOOL,1998,Kharif,153700.0,142000.0,27.3607240746,7.9588736084,93.9155902917,32.7661249715,15.2960644913,27.635544686,10.8747283307,0.0,cottonlint
Andhra Pradesh,PRAKASAM,1998,Kharif,62800.0,82400.0,31.109724562,7.3965516704,74.8173249243,32.1818814484,24.0373741553,28.3731627399,12.0665424805,0.0,cottonlint
Andhra Pradesh,SPSR NELLORE,1998,Kharif,7100.0,5600.0,34.2527820254,6.2290216042,92.6986728974,29.0511076726,18.0163762864,32.5352448939,11.9960003254,0.0,cottonlint
Andhra Pradesh,SRIKAKULAM,1998,Kharif,2000.0,1600.0,23.4135294092,6.4014365042,76.7321552438,29.0184515224,16.5298543816,30.2343456754,11.3696758245,0.0,cottonlint
Andhra Pradesh,VISAKHAPATANAM,1998,Kharif,1300.0,1100.0,30.867735822,7.2951328903,79.5396828132,34.46402366,22.9902606712,29.3994701318,10.9942981516,0.0,cottonlint
Andhra Pradesh,VIZIANAGARAM,1998,Kharif,13200.0,10400.0,28.1505696375,6.7034109559,82.9560035779,29.9093852134,20.1240803854,31.6659884782,11.885313973,0.0,cottonlint
Andhra Pradesh,WEST GODAVARI,1998,Kharif,3100.0,2400.0,23.4204267003,6.7417296759,74.5899113772,34.3637004397,23.8871177061,32.091138347,12.5240836048,0.0,cottonlint
Karnataka,BAGALKOT,1998,Kharif,15225.0,22129.0,19.9263255323,7.7826828759,89.8804779389,34.4401849874,23.3623302505,28.2227792733,12.96297619,0.0,cottonlint
Karnataka,BELGAUM,1998,Kharif,65829.0,98969.0,17.3859060138,7.1976122153,75.3758740481,33.6687991859,24.0664180709,32.8048602087,10.9167051154,0.0,cottonlint
Karnataka,BELLARY,1998,Kharif,66412.0,85696.0,25.5173961823,6.7311534789,71.6322226278,30.1332466554,21.8441731173,31.0589513228,12.8306388846,0.0,cottonlint
Karnataka,BIDAR,1998,Kharif,3616.0,3439.0,29.7366064702,7.0307858062,92.1257062591,29.3846143768,15.1985506869,27.7862869958,11.9059123087,0.0,cottonlint
Karnataka,BIJAPUR,1998,Kharif,8727.0,12667.0,30.8746851407,6.8290311584,69.2799621771,31.2137851231,22.4645625641,29.2228023724,10.0444142855,0.0,cottonlint
Karnataka,CHAMARAJANAGAR,1998,Kharif,12738.0,32303.0,31.4629905677,6.1783985879,65.6097274636,34.3173110341,19.653196906,29.954329438,11.9316630976,0.0,cottonlint
Karnataka,CHIKMAGALUR,1998,Kharif,3270.0,4898.0,25.1557601034,7.8756266018,78.1861565797,26.8483315429,24.3289113632,32.7839606149,12.5663020878,0.0,cottonlint
Karnataka,CHITRADURGA,1998,Kharif,26795.0,30271.0,33.7063556839,7.7492141782,78.4780390629,34.3744177067,20.5881019276,27.7603387533,11.1224396399,0.0,cottonlint
Karnataka,DAVANGERE,1998,Kharif,26284.0,31242.0,23.1977924136,6.896975625,60.9383409404,27.5817218789,22.2573502957,29.118005134,11.7151460931,0.0,cottonlint
Karnataka,DHARWAD,1998,Kharif,86875.0,160464.0,22.9679836247,6.0595918869,78.8114000438,33.1117087529,21.3848923705,31.9397341323,10.6871161807,0.0,cottonlint
Karnataka,GADAG,1998,Kharif,62230.0,69246.0,24.4042050048,6.5549208615,61.9661801478,33.6332581241,21.8695981823,29.7857071618,13.8694839908,0.0,cottonlint
Karnataka,GULBARGA,1998,Kharif,20113.0,38605.0,30.9027431958,6.672421486,55.5678209442,26.8411150742,24.0480080157,28.6234185021,13.1911785969,0.0,cottonlint
Karnataka,HASSAN,1998,Kharif,5225.0,5688.0,27.4147457149,7.7666944627,85.5710419195,28.341106916,16.3537926981,27.3734548633,10.5178211068,0.0,cottonlint
Karnataka,HAVERI,1998,Kharif,79382.0,91997.0,17.3131813507,7.3577411499,62.3896204965,34.4059832921,16.4077750423,32.2646358136,12.3151661157,0.0,cottonlint
Karnataka,KODAGU,1998,Kharif,2.0,3.0,19.0584301356,7.8649108268,70.4822936662,33.825924705,20.935004028,29.2564346538,10.7514921338,0.0,cottonlint
Karnataka,KOLAR,1998,Kharif,30.0,53.0,15.933043781,7.5557120483,63.8909508582,30.5108902217,22.389171054,31.4055347344,10.6515997932,0.0,cottonlint
Karnataka,KOPPAL,1998,Kharif,19182.0,18430.0,24.1280633604,7.8020142495,98.7304788846,26.64624529,19.225747949,32.1214362222,10.7920761345,0.0,cottonlint
Karnataka,MANDYA,1998,Kharif,44.0,65.0,27.2398967402,7.7846006422,88.6435800682,33.0828942609,22.6333066063,31.0549170828,12.2898655756,0.0,cottonlint
Karnataka,MYSORE,1998,Kharif,59668.0,153042.0,30.9930108335,6.1657838466,68.8366047739,30.8901892987,21.1432737258,28.6411262141,10.6446773595,0.0,cottonlint
Karnataka,RAICHUR,1998,Kharif,49208.0,58421.0,28.5186917561,7.3521918765,71.0188619218,29.3013451141,21.2043727098,30.3841387645,13.5621891624,0.0,cottonlint
Karnataka,SHIMOGA,1998,Kharif,18011.0,42405.0,27.8184073091,6.8726556096,87.0620121177,27.240660039,20.825723721,32.2998848199,13.0807255322,0.0,cottonlint
Karnataka,TUMKUR,1998,Kharif,1343.0,2020.0,22.9028290376,7.1530290209,89.0980186994,27.9535580653,17.2746982529,32.1511623095,11.8548429336,0.0,cottonlint
Karnataka,UTTAR KANNAD,1998,Kharif,6286.0,14823.0,16.762652947,6.4981881273,76.2178584215,26.3296226887,20.5985463582,29.6401471078,10.9552151665,0.0,cottonlint
Kerala,PALAKKAD,1998,Kharif,10999.0,17752.0,30.9442984796,7.2306403916,75.6258670045,25.9200943482,23.6337262612,32.0299195517,10.2065171814,0.0,cottonlint
Tamil Nadu,COIMBATORE,1998,Kharif,15370.0,32294.0,30.3414012992,7.3244603422,99.7588602835,32.9017279817,20.2621385249,29.6363983039,11.400357803,0.0,cottonlint
Tamil Nadu,CUDDALORE,1998,Kharif,2299.0,4047.0,21.3944990034,6.7713719212,66.6861199749,31.612302248,23.6129342161,30.6366679566,11.7145637664,0.0,cottonlint
Tamil Nadu,DHARMAPURI,1998,Kharif,18964.0,32671.0,22.2265667176,7.3037355949,68.9608254964,27.3741935971,23.6391963144,27.3129899267,13.2599944309,0.0,cottonlint
Tamil Nadu,DINDIGUL,1998,Kharif,12558.0,31723.0,23.0708185895,6.8543155628,66.9056987474,33.5786889752,24.0031236383,31.9328420441,10.245559927,0.0,cottonlint
Tamil Nadu,ERODE,1998,Kharif,10800.0,24165.0,24.6804242233,7.7697854787,74.5657182528,27.0285651312,22.5350693554,28.1255855048,13.3976949513,0.0,cottonlint
Tamil Nadu,KANCHIPURAM,1998,Kharif,90.0,206.0,18.2971316531,6.3040068304,91.883902001,31.0819141921,18.3118327657,28.5109173313,13.2569648096,0.0,cottonlint
Tamil Nadu,KARUR,1998,Kharif,1226.0,2706.0,19.2509823048,7.1561787642,70.3608195612,31.0306194985,18.3796125353,29.7514960272,13.7557401666,0.0,cottonlint
Tamil Nadu,MADURAI,1998,Kharif,17147.0,26970.0,15.0443374193,7.8251037661,78.9132466899,27.7577767787,16.9425754249,27.9699328424,10.9197176455,0.0,cottonlint
Tamil Nadu,NAGAPATTINAM,1998,Kharif,1582.0,3618.0,20.277548099,7.452015247,97.0736386285,26.5039206975,19.0101225242,28.7405130204,13.2199857679,0.0,cottonlint
Tamil Nadu,NAMAKKAL,1998,Kharif,2549.0,6418.0,16.7514720315,7.0986037325,90.6541083761,25.3017014771,20.3939836921,27.8714737697,12.0550160336,0.0,cottonlint
Tamil Nadu,PERAMBALUR,1998,Kharif,21782.0,39429.0,22.4692572126,6.1526945159,66.4724735788,34.3614712899,18.4180547741,27.1818272707,13.2223189197,0.0,cottonlint
Tamil Nadu,PUDUKKOTTAI,1998,Kharif,1118.0,2429.0,17.5356516379,6.9968156627,59.7144224739,32.5236900684,20.7617792971,32.656000755,10.5992331238,0.0,cottonlint
Tamil Nadu,RAMANATHAPURAM,1998,Kharif,5442.0,9012.0,27.237633404,6.7382923135,96.9282174335,26.1094159348,17.8513978592,28.4078003185,11.225044363,0.0,cottonlint
Tamil Nadu,SALEM,1998,Kharif,16716.0,35136.0,20.686375814,6.4881419856,95.3135109337,28.2949140841,16.3587358834,27.6594052126,11.7057159668,0.0,cottonlint
Tamil Nadu,SIVAGANGA,1998,Kharif,2657.0,4735.0,24.4489227828,7.6110557848,92.3404722287,26.7720788781,24.4297973882,27.5374687944,12.255026763,0.0,cottonlint
Tamil Nadu,THANJAVUR,1998,Kharif,2036.0,4659.0,25.9511908271,6.7706553103,91.3270949854,29.6412219352,15.0554915281,32.9169002924,13.4462327705,0.0,cottonlint
Tamil Nadu,THENI,1998,Kharif,8869.0,21276.0,21.521995293,7.9653765531,87.2234610105,28.9081937619,22.1421742167,27.1007523559,13.1064558709,0.0,cottonlint
Tamil Nadu,THIRUVARUR,1998,Kharif,1642.0,3759.0,15.8874843182,7.1855340743,96.655006811,25.4338380745,22.6220209389,29.4618539169,13.9574998201,0.0,cottonlint
Tamil Nadu,TIRUCHIRAPPALLI,1998,Kharif,7328.0,13047.0,19.4728036658,7.2783155306,75.7000632083,25.7441725591,18.5611064105,32.8298295032,11.5643843835,0.0,cottonlint
Tamil Nadu,TIRUNELVELI,1998,Kharif,12238.0,18423.0,16.1035355198,6.8055287107,92.1141202782,33.7063417783,24.8287162058,28.051789704,11.4302112284,0.0,cottonlint
Tamil Nadu,TIRUVANNAMALAI,1998,Kharif,4288.0,8547.0,28.2706055364,7.8544600023,62.5272851723,25.1647393393,20.9559996341,28.3664642108,12.3874257441,0.0,cottonlint
Tamil Nadu,TUTICORIN,1998,Kharif,16429.0,5218.0,24.651899911,6.6983872267,92.4273637565,32.2971464748,18.7936690425,31.4202060295,11.8824991319,0.0,cottonlint
Tamil Nadu,VELLORE,1998,Kharif,7210.0,7812.0,32.6737630696,7.6253131456,57.3302633015,25.7763771619,17.6103102034,30.5311386083,11.327775089,0.0,cottonlint
Tamil Nadu,VILLUPURAM,1998,Kharif,15849.0,42141.0,23.0298127647,6.7050467723,81.0190370316,31.1925929133,20.6002659238,32.5753351442,11.0826197636,0.0,cottonlint
Tamil Nadu,VIRUDHUNAGAR,1998,Kharif,36641.0,49094.0,25.1429654043,7.3548132511,62.7776550836,34.8393988761,19.0712272189,30.2711500877,10.1915035409,0.0,cottonlint
