State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Tamil Nadu,COIMBATORE,1997,Whole Year,2350.0,1430.0,30.3922304991,6.7780902627,109.7563230116,39.921284968,39.7229053734,11.978370166,24.2991905643,13.9767218023,drychillies
Tamil Nadu,CUDDALORE,1997,Whole Year,253.0,150.0,28.9339995197,6.1832115709,119.1116224085,37.3455250796,38.9618788878,12.1194619243,25.361177732,13.2698015488,drychillies
Tamil Nadu,DHARMAPURI,1997,Whole Year,1045.0,650.0,35.9340524253,6.2733901213,96.4250970659,36.3085305569,38.9461937465,12.9778036972,27.4335325101,11.5426300047,drychillies
Tamil Nadu,DINDIGUL,1997,Whole Year,2241.0,1420.0,35.028755258,6.1103190806,85.4888861399,35.9032692036,37.9548402355,10.6864837711,23.6052381812,11.4618709206,drychillies
Tamil Nadu,ERODE,1997,Whole Year,1047.0,580.0,30.5344148853,6.880165045,97.3811360788,39.222318311,37.2300208407,10.5912175454,25.3970865769,13.9644863568,drychillies
Tamil Nadu,KANCHIPURAM,1997,Whole Year,288.0,320.0,39.6207774631,6.4925556947,128.6346004971,37.0055579952,36.5038306557,11.2065744957,22.0507269372,11.2218867491,drychillies
Tamil Nadu,KARUR,1997,Whole Year,1918.0,1260.0,25.8966066949,6.0629986012,127.3946782958,37.6314746212,39.032654874,13.0695245626,26.1960252315,11.1335041075,drychillies
Tamil Nadu,MADURAI,1997,Whole Year,505.0,370.0,25.9529753576,6.7895909472,83.7129102621,35.7084941698,39.0223589502,11.8195386918,22.3778422867,11.4761063027,drychillies
Tamil Nadu,NAGAPATTINAM,1997,Whole Year,28.0,20.0,20.8022019172,6.6162501672,71.5335193676,37.6487459313,38.4480753186,12.4320808726,24.0543476389,10.3263128098,drychillies
Tamil Nadu,NAMAKKAL,1997,Whole Year,217.0,160.0,20.0429893194,6.3832830909,94.3152851506,39.0800392746,39.3617207117,10.8496029787,27.2076010655,11.6733163802,drychillies
Tamil Nadu,PERAMBALUR,1997,Whole Year,4845.0,3190.0,32.225815231,6.3847186581,96.2155830683,37.5963130203,35.1041434143,10.720291954,23.4666379103,12.8322536614,drychillies
Tamil Nadu,PUDUKKOTTAI,1997,Whole Year,267.0,160.0,30.6460707011,6.1667519119,63.8481964153,39.0706308337,38.2031310572,12.4545047894,24.7261709756,11.0713288158,drychillies
Tamil Nadu,RAMANATHAPURAM,1997,Whole Year,17452.0,10510.0,24.5050381288,6.8298606655,101.2994170342,36.0688675441,36.5352089088,13.1795241467,27.8910873747,11.1703236325,drychillies
Tamil Nadu,SALEM,1997,Whole Year,1115.0,830.0,22.9994139985,6.5732198826,108.3073215234,39.108534492,38.6529366445,13.4391197717,27.394592025,10.8291453787,drychillies
Tamil Nadu,SIVAGANGA,1997,Whole Year,3760.0,1180.0,22.1974854086,6.1445500554,106.2538956357,37.1016759573,38.1839839089,10.5001199418,26.5419388463,12.9763210531,drychillies
Tamil Nadu,THANJAVUR,1997,Whole Year,66.0,40.0,37.8421410575,6.5375955157,129.6868763614,39.0309589796,37.4597084315,12.3545153134,26.1767333703,10.9520198502,drychillies
Tamil Nadu,THE NILGIRIS,1997,Whole Year,21.0,10.0,34.9851869789,6.4526211054,126.8680277819,35.7292531967,37.818048628,13.4345825293,24.9674779935,11.0776320106,drychillies
Tamil Nadu,THENI,1997,Whole Year,239.0,180.0,32.1494260499,6.6498606648,99.2143206189,38.5464500746,36.2414582885,11.5599281785,26.5409745738,11.8783440276,drychillies
Tamil Nadu,THIRUVALLUR,1997,Whole Year,1033.0,1130.0,39.5914299786,6.8127790823,132.430630927,37.864023466,39.028493728,13.9605295066,24.1291473986,10.0839898774,drychillies
Tamil Nadu,THIRUVARUR,1997,Whole Year,19.0,10.0,23.6077786874,6.9196057863,87.5173210501,37.7991424886,38.4546784775,11.1523860283,25.8345153314,12.8125813059,drychillies
Tamil Nadu,TIRUCHIRAPPALLI,1997,Whole Year,2456.0,1620.0,24.0703551199,6.5325424666,108.3360181644,39.4840524179,39.0990030643,11.8198802141,26.391926887,13.6565681057,drychillies
Tamil Nadu,TIRUNELVELI,1997,Whole Year,2517.0,2390.0,23.6311600194,6.5158191945,98.6046733567,38.3268389082,37.2641968294,10.4241665689,26.6914256534,11.7881618477,drychillies
Tamil Nadu,TIRUVANNAMALAI,1997,Whole Year,856.0,690.0,28.6852927912,6.0566339369,71.283033841,38.4995571514,36.5201431632,12.2437852137,23.6170497884,10.1175984171,drychillies
Tamil Nadu,TUTICORIN,1997,Whole Year,20394.0,10610.0,31.2631385213,6.0059276676,121.2186858788,36.7181671765,37.6825614623,12.9101090815,23.3501947216,13.9175325951,drychillies
Tamil Nadu,VELLORE,1997,Whole Year,405.0,180.0,36.054778589,6.8466932023,102.7448037201,36.826848458,38.7578672111,12.1472713455,23.4642837359,10.9626814215,drychillies
Tamil Nadu,VILLUPURAM,1997,Whole Year,541.0,330.0,21.3938807752,6.906900672,140.731314572,35.0607208563,35.4866111089,10.7927806709,22.5022962412,12.1961745721,drychillies
Tamil Nadu,VIRUDHUNAGAR,1997,Whole Year,4238.0,2970.0,36.2856408956,6.3844207277,125.9527938774,35.1473477487,35.7572853818,13.3187835081,24.4019661094,10.8905372725,drychillies
Karnataka,BAGALKOT,1998,Whole Year,619.0,816.0,24.6220364396,6.8166663709,79.5558306814,36.4784393322,39.1208998928,13.5677173147,25.2975913419,13.4034049109,drychillies
Karnataka,BANGALORE RURAL,1998,Whole Year,1652.0,627.0,21.6371729083,6.69114692,132.8517693271,35.1587526001,37.5449380056,10.0470418827,26.0103350932,12.4016904699,drychillies
Karnataka,BELGAUM,1998,Whole Year,10884.0,6945.0,21.8301334568,6.2461342883,135.8401848722,38.2971781498,36.4206261109,12.62504403,24.2905447394,11.1925241965,drychillies
Karnataka,BELLARY,1998,Whole Year,11574.0,25136.0,28.4273111708,6.4973500222,100.476034253,35.6837267051,37.3160180515,12.8433439482,26.7438709986,12.2166675135,drychillies
Karnataka,BENGALURU URBAN,1998,Whole Year,162.0,159.0,38.5764557255,6.6856704206,80.381408349,36.3241247332,37.3085219912,11.9935672376,24.926387762,11.4091788404,drychillies
Karnataka,BIDAR,1998,Whole Year,772.0,682.0,21.956964492,6.3735522737,66.5950421282,37.7517938495,38.7868871364,13.8676416856,26.883102845,11.0576249539,drychillies
Karnataka,BIJAPUR,1998,Whole Year,2276.0,1637.0,21.0654017338,6.7362715251,84.2464188946,39.2881061576,35.2233247708,11.7311089855,22.4694739297,13.9245805877,drychillies
Karnataka,CHAMARAJANAGAR,1998,Whole Year,511.0,491.0,39.7242587797,6.491228979,120.3808171881,38.3905915561,37.5395689678,11.9243653955,23.3378772507,10.8012976519,drychillies
Karnataka,CHIKMAGALUR,1998,Whole Year,2962.0,809.0,34.9848636895,6.1235590943,128.5930925855,39.9946392198,35.5751549713,11.683568929,27.6441744747,13.8093708538,drychillies
Karnataka,CHITRADURGA,1998,Whole Year,3786.0,2120.0,26.7476201434,6.6617499855,74.4097673088,36.9666842897,37.3150303051,13.0104892417,25.5902944984,13.5793251179,drychillies
Karnataka,DAKSHIN KANNAD,1998,Whole Year,468.0,608.0,32.5859823136,6.8424426797,121.1703870782,38.1297409905,38.7765159928,11.1889460033,26.3967476321,13.4973082589,drychillies
Karnataka,DAVANGERE,1998,Whole Year,4683.0,4237.0,28.0336859734,6.2202766601,81.8112238081,38.1347218807,39.657876277,10.9748809531,25.6198911636,10.0979227031,drychillies
Karnataka,DHARWAD,1998,Whole Year,43111.0,33220.0,23.3109434599,6.4663411417,64.8342320676,35.2367796489,39.6507622461,12.8354310477,24.8634126644,12.4623944282,drychillies
Karnataka,GADAG,1998,Whole Year,14529.0,6003.0,22.9536476682,6.2336644925,105.3785925744,35.0178464121,36.895521361,11.8076710509,25.7878889103,11.7625628107,drychillies
Karnataka,GULBARGA,1998,Whole Year,3070.0,4185.0,36.9892171567,6.9183490384,115.9391501184,35.2539238196,37.9864216075,13.0780390285,26.0512070922,13.2596550267,drychillies
Karnataka,HASSAN,1998,Whole Year,1712.0,4571.0,30.0580090567,6.0972553139,72.2059045683,39.3637203841,36.9967722232,13.2567852832,25.3494420196,10.3308697373,drychillies
Karnataka,HAVERI,1998,Whole Year,53823.0,41073.0,38.7878304741,6.7229477061,124.5402562414,38.0002605331,39.0142811257,10.1685929239,23.0169405061,12.1472375336,drychillies
Karnataka,KODAGU,1998,Whole Year,256.0,1363.0,20.4038268929,6.0561903553,112.839377677,38.6256043085,37.3603334116,13.9190761556,24.373876197,13.6704458581,drychillies
Karnataka,KOLAR,1998,Whole Year,2070.0,1822.0,39.4866995688,6.2969604352,92.776710859,38.7569646655,38.0916773113,11.2310631775,26.7061506436,12.4608686526,drychillies
Karnataka,KOPPAL,1998,Whole Year,156.0,134.0,31.7425453399,6.9956686725,104.1169302013,38.5745516365,39.2067641995,12.9106904286,23.3740983031,13.7621754327,drychillies
Karnataka,MANDYA,1998,Whole Year,1251.0,1298.0,31.6853301193,6.2074582844,123.5805853955,37.5346931229,35.8975212814,11.1540265126,24.7216638835,13.5745648882,drychillies
