State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Kharif,650800.0,228400.0,27.8824770596,6.8759091027,52.6347091934,34.0178048452,24.3695199564,5.3878815024,8.5661754632,10.7284732062,groundnut
Andhra Pradesh,CHITTOOR,1997,Kharif,234900.0,144200.0,23.4616775003,6.5609493589,66.0090767214,32.8547140835,21.0793020387,5.3760833752,7.0285884915,9.1200225928,groundnut
Andhra Pradesh,EAST GODAVARI,1997,Kharif,400.0,400.0,22.6732834592,6.9350972854,59.4723522406,28.4496882967,20.1663724783,6.9012601709,7.7672108276,9.56270917,groundnut
Andhra Pradesh,GUNTUR,1997,Kharif,300.0,300.0,23.6377509925,6.8695077742,51.6082962362,30.1594310031,21.1045355696,5.9041451408,8.7136826551,8.2692864502,groundnut
Andhra Pradesh,KADAPA,1997,Kharif,103900.0,47600.0,22.9616122964,6.5765722734,62.4604147838,25.8479566628,21.2475340855,5.4214367595,9.5800853581,9.1063053544,groundnut
Andhra Pradesh,KRISHNA,1997,Kharif,4300.0,4800.0,24.9542074053,6.5934414594,61.1931733256,31.0766107463,23.6972406493,6.0539209276,8.9563554468,11.8043294012,groundnut
Andhra Pradesh,KURNOOL,1997,Kharif,201200.0,105200.0,24.6899938451,6.5031732627,66.3527867456,25.7951821173,24.8473575375,5.6509919307,8.3024044134,9.2988502989,groundnut
Andhra Pradesh,PRAKASAM,1997,Kharif,7000.0,4300.0,24.7489051162,6.9822444757,72.2397243631,29.5146652274,24.0075215953,5.7791822463,9.477304215,8.2164974383,groundnut
Andhra Pradesh,SPSR NELLORE,1997,Kharif,6100.0,9100.0,29.4762272341,6.6738768732,68.6098864374,29.634582012,23.7536439749,6.0738399968,7.7439210897,11.0412804273,groundnut
Andhra Pradesh,SRIKAKULAM,1997,Kharif,35700.0,32900.0,20.0942221215,6.8424031228,54.3573967845,29.7945586798,24.8445805389,6.7036927276,9.7058434704,8.7498080511,groundnut
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,17700.0,12700.0,20.2863418235,6.7357678073,63.6766036053,32.5194814927,21.7061030911,5.2626612876,6.6763407825,9.3670699071,groundnut
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,63800.0,55200.0,22.7045689783,6.9779579761,56.858258873,29.782676636,18.4827340625,5.6212520748,9.2126676344,8.0488107637,groundnut
Andhra Pradesh,WEST GODAVARI,1997,Kharif,500.0,400.0,29.2104099881,6.769719785,60.4822922252,31.9587064414,20.8859444572,6.2749366072,8.4341593948,11.2188921682,groundnut
