State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Rabi,18800.0,9400.0,28.4426756047,6.7461174198,35.6630227599,28.1776494433,16.3643803155,8.2018333206,18.7302317616,8.2017222141,jowar
Andhra Pradesh,EAST GODAVARI,1997,Rabi,200.0,200.0,27.5652566087,6.1519896411,35.7788213191,26.4406116054,16.3275357241,6.4865779026,18.8411091907,8.4839028594,jowar
Andhra Pradesh,GUNTUR,1997,Rabi,2400.0,3500.0,31.1885937913,7.3599845265,33.8685848037,27.4479022097,17.5828518811,8.2900776916,20.8848594444,10.0979809571,jowar
Andhra Pradesh,KADAPA,1997,Rabi,3000.0,2600.0,28.4105995893,6.143458831,46.6196768496,26.521266592,16.0664298317,6.7269916022,18.7171796902,8.2214826901,jowar
Andhra Pradesh,KRISHNA,1997,Rabi,2200.0,2000.0,31.9396472742,6.9052386985,35.9566269595,29.9345098655,17.6893755724,6.1358851901,21.8507774817,11.3923088325,jowar
Andhra Pradesh,KURNOOL,1997,Rabi,113800.0,107200.0,28.6960394842,6.4048567612,64.0969343694,26.9716974881,17.173145733,7.7542076138,21.4769425506,9.0764543741,jowar
Andhra Pradesh,PRAKASAM,1997,Rabi,4200.0,8100.0,31.4853116005,6.6076993255,60.9054796416,28.8075528933,16.0142040297,7.205901025,20.1001345802,9.463476481,jowar
Andhra Pradesh,SPSR NELLORE,1997,Rabi,300.0,200.0,25.5523775194,6.6189473953,53.5726663639,25.3509246906,17.7698226937,7.7552494947,20.3973121694,11.4747103979,jowar
Andhra Pradesh,SRIKAKULAM,1997,Rabi,400.0,200.0,27.3035721451,7.0678827762,60.9341251415,29.5676336202,17.1278920385,9.8971495247,18.7668891956,8.0372060795,jowar
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi,100.0,100.0,30.8949212343,6.5579808327,62.9763588341,26.9250293164,16.3636555472,7.3851380493,21.0838249368,9.5614864057,jowar
