State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Karnataka,BAGALKOT,1998,Rabi,4667.0,1667.0,24.1355624758,6.5727125397,46.2706159281,20.2713814456,30.662150503,25.6123404556,14.4380341868,0.0,linseed
Karnataka,BELGAUM,1998,Rabi,2707.0,967.0,24.0145682872,5.7148434348,65.0677076689,20.7609964524,30.6253252594,27.9232665671,17.2323310398,0.0,linseed
Karnataka,BELLARY,1998,Rabi,113.0,37.0,24.9681520875,5.4507869975,74.3638467459,20.5983588959,30.1793613904,24.2085590487,15.9275758716,0.0,linseed
Karnataka,BIDAR,1998,Rabi,503.0,163.0,24.6239055874,6.349757992,56.2659500224,20.5274265964,30.8443336171,25.2822370599,14.1067541779,0.0,linseed
Karnataka,BIJAPUR,1998,Rabi,6394.0,2284.0,22.8923573197,5.0017878275,48.2606755613,20.1665045313,30.9537377122,24.238294285,17.7378575787,0.0,linseed
Karnataka,DAVANGERE,1998,Rabi,8.0,3.0,24.9395302636,6.177512167,45.3232491313,20.7420895161,30.6441560979,23.1085894966,16.8691607362,0.0,linseed
Karnataka,DHARWAD,1998,Rabi,292.0,95.0,22.4516140446,5.3615534747,60.0425019697,20.1345908017,30.175105932,27.8445031774,17.3620762635,0.0,linseed
Karnataka,GADAG,1998,Rabi,1173.0,381.0,21.2960310746,6.4735622386,73.5021809806,20.4095274856,30.9168633678,23.3843721581,17.0677056912,0.0,linseed
Karnataka,GULBARGA,1998,Rabi,1616.0,292.0,23.8785124608,5.8271131054,71.384334566,20.3144304438,30.4367210876,26.657315636,15.6093989364,0.0,linseed
Karnataka,HAVERI,1998,Rabi,436.0,142.0,25.3479905122,6.4748669739,64.9920756659,20.6603781835,30.3138597491,25.0794375377,15.7243728638,0.0,linseed
Karnataka,KOPPAL,1998,Rabi,1424.0,257.0,23.8693623035,6.3594895385,70.1127658094,20.4610385432,30.9924628194,24.1335676627,17.0467955645,0.0,linseed
Karnataka,RAICHUR,1998,Rabi,395.0,128.0,23.6796980458,6.3368301534,65.60214449,20.0196793003,30.9448446328,26.6011870324,15.6808617831,0.0,linseed
Karnataka,SHIMOGA,1998,Rabi,32.0,10.0,22.2131679645,6.239060422,62.7953843743,20.3716349593,30.4127052606,23.8669565755,17.7529766622,0.0,linseed
Karnataka,UTTAR KANNAD,1998,Rabi,46.0,15.0,22.2630100425,5.6580738759,68.8186614529,20.5105832431,30.9529846558,24.6744827315,14.2204306693,0.0,linseed
Andhra Pradesh,ANANTAPUR,1999,Rabi,12.0,1.0,25.796726142,6.1348889262,61.3246502732,20.7217133989,30.6411539325,27.3346539156,16.7340837093,0.0,linseed
