State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Rabi,600.0,2400.0,26.2241794109,6.5628325562,169.6380167893,25.0425926971,26.502648171,65.659797331,21.9655944804,10.7065902666,maize_r
Andhra Pradesh,EAST GODAVARI,1997,Rabi,3600.0,13700.0,24.1617308201,5.5174608387,124.0425790607,26.5694450514,28.76254941,72.9093993436,22.1646899101,11.598866075,maize_r
Andhra Pradesh,GUNTUR,1997,Rabi,5000.0,19000.0,21.9623300517,5.7844941539,249.8003271192,24.9243139918,29.6513619089,73.010322608,24.6833393825,12.5563370656,maize_r
Andhra Pradesh,KRISHNA,1997,Rabi,2200.0,8200.0,25.8167808861,6.6679127178,253.4049513574,21.3429751674,29.5953620652,72.280763072,21.2328007164,10.0879210483,maize_r
Andhra Pradesh,KURNOOL,1997,Rabi,100.0,200.0,24.7540102165,6.1102447778,123.9823419248,21.7739087985,29.066186295,74.7504910834,21.4972104082,13.5692713437,maize_r
Andhra Pradesh,PRAKASAM,1997,Rabi,4700.0,17600.0,24.4103433053,6.5655178044,180.9086015325,25.5437076376,27.6434726844,66.8103923499,25.2771509461,13.8445189095,maize_r
Andhra Pradesh,SRIKAKULAM,1997,Rabi,100.0,200.0,22.6933385523,5.691879915,291.8325329428,23.3598512523,25.6689599269,71.2053046184,21.7914854425,11.7671284695,maize_r
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi,300.0,1100.0,22.9884467131,5.9423490818,119.4118345461,23.671751631,29.2170814386,67.1867926078,23.1200719004,11.665267743,maize_r
Andhra Pradesh,VIZIANAGARAM,1997,Rabi,1800.0,6800.0,26.4066884176,7.2037801929,88.7624027663,23.3048680425,29.6011166448,68.9080904171,26.0114028649,13.08595708,maize_r
Andhra Pradesh,WEST GODAVARI,1997,Rabi,8900.0,33600.0,21.409397678,5.943233015,186.0771664503,26.2045595004,26.8307786298,72.6220836601,21.5695437673,10.5445402094,maize_r
Karnataka,BELGAUM,1997,Rabi,26432.0,50103.0,24.9616414652,6.7423606905,61.4759319624,26.6483187663,29.2963376735,71.3699976815,21.8138759185,10.275784931,maize_r
Karnataka,BELLARY,1997,Rabi,600.0,1225.0,25.0902205377,6.25629595,206.975275465,25.0329188364,28.8666939526,69.5316126604,21.3137014804,10.1224141267,maize_r
Karnataka,BENGALURU URBAN,1997,Rabi,339.0,694.0,21.1526273026,5.9773910664,240.9735561428,23.946459411,28.5026461865,66.9273502995,26.3789163296,10.433557942,maize_r
Karnataka,BIDAR,1997,Rabi,38.0,68.0,22.4684098588,6.1818682821,139.156326997,26.010812291,25.6569628337,71.6559422291,23.7282462524,10.483104181,maize_r
Karnataka,BIJAPUR,1997,Rabi,15892.0,35590.0,21.449135427,6.5564505224,245.5658150575,23.7186598378,26.836626875,74.4269404313,21.7998515492,13.0884519632,maize_r
Karnataka,CHITRADURGA,1997,Rabi,494.0,1010.0,24.0278102358,6.5256057978,235.5889556767,23.967839561,27.1771868608,72.4911056519,25.2727594822,13.6554947693,maize_r
Karnataka,DHARWAD,1997,Rabi,1789.0,3654.0,24.127029524,7.063840851,160.0766324272,25.3062122199,29.4978280907,68.4973223657,24.5191905214,10.1233276268,maize_r
Karnataka,GULBARGA,1997,Rabi,228.0,462.0,21.5459139754,5.8377156702,93.5491802014,26.8578104298,26.9051637207,65.6617995061,23.3326939416,13.9343552861,maize_r
Karnataka,HASSAN,1997,Rabi,9.0,18.0,22.7102728166,5.8318252034,232.6410489021,22.0141976392,27.6093388756,66.8344567757,22.8406826785,13.2909340256,maize_r
Karnataka,KOLAR,1997,Rabi,239.0,489.0,21.579522085,6.5967985179,69.3953856469,23.6429113285,28.6388018449,67.0415818647,24.9151513015,12.9093280451,maize_r
Karnataka,MYSORE,1997,Rabi,1338.0,2712.0,21.9308930584,7.1436084944,98.6663489228,25.1971800008,29.7326729699,65.908705456,23.4112756596,13.1298272506,maize_r
Karnataka,RAICHUR,1997,Rabi,336.0,658.0,26.2644216175,7.3668339399,240.480845626,22.5815213961,28.4838258003,70.7527391282,22.5952258373,10.0173724267,maize_r
Karnataka,SHIMOGA,1997,Rabi,2.0,4.0,24.8297763496,6.5111458617,107.8209297034,26.0828197955,27.563344649,69.1771367383,25.1735980356,13.8394141477,maize_r
Karnataka,TUMKUR,1997,Rabi,1104.0,2239.0,25.3839549261,5.510417984,66.8764479832,24.5833585394,26.6957168054,72.125823348,22.1806306851,12.0544630137,maize_r
Karnataka,UTTAR KANNAD,1997,Rabi,4.0,6.0,23.8964441054,7.0784354337,186.291331017,25.5393718098,29.5014237992,73.508416105,23.9920288929,12.508917744,maize_r
Telangana,ADILABAD,1997,Rabi,4600.0,13700.0,21.6970493497,5.9624874873,194.1152698419,23.9788945705,29.8072058783,67.2359389413,23.6579537993,11.0696061546,maize_r
Telangana,KARIMNAGAR,1997,Rabi,30900.0,100300.0,22.4815737288,6.1914032629,295.2579704455,24.168126195,27.9702402158,69.6666352563,25.0190576883,13.8288046199,maize_r
Telangana,KHAMMAM,1997,Rabi,2800.0,8500.0,23.7204643061,7.1561658278,161.6486673471,25.2436467682,25.9419692467,69.8364068075,21.5299512873,10.1865196658,maize_r
Telangana,MAHBUBNAGAR,1997,Rabi,700.0,2100.0,23.8948264173,5.8761444445,177.8562776246,24.9335801257,26.4360156598,71.0088875389,24.5569404401,11.7824427714,maize_r
Telangana,MEDAK,1997,Rabi,3200.0,9500.0,21.8667110578,6.7418248092,294.2789872372,23.8939292423,28.29676832,67.3395311435,23.5652056424,12.2966782916,maize_r
Telangana,NALGONDA,1997,Rabi,400.0,1200.0,25.0401769315,6.6369174412,218.8973582442,22.2173473697,28.741838445,70.9788029034,24.6889237889,11.6502173028,maize_r
Telangana,NIZAMABAD,1997,Rabi,4700.0,15500.0,24.7546718573,6.2303704064,284.358040404,25.0995566745,25.3803116352,70.8114316516,25.559323381,11.0724854397,maize_r
Telangana,RANGAREDDI,1997,Rabi,500.0,1400.0,26.1257279044,6.9895850852,276.658084149,25.3552988476,29.4015987942,68.8671558496,26.0997097848,11.1944490823,maize_r
Telangana,WARANGAL,1997,Rabi,15700.0,36800.0,26.1564069596,5.6651879138,163.2479566296,25.4890881365,26.6636403262,72.299175024,21.2364391102,11.7757578149,maize_r
Andhra Pradesh,ANANTAPUR,1998,Rabi,300.0,1600.0,26.1518659176,6.5530731583,240.1531736259,25.5374468261,27.5417148857,69.0611899579,26.001381597,13.1956868107,maize_r
Andhra Pradesh,CHITTOOR,1998,Rabi,100.0,300.0,26.1662499294,6.0935173932,231.5470219752,21.6315506635,27.435800313,65.0886331938,25.831007227,10.8834343247,maize_r
Andhra Pradesh,EAST GODAVARI,1998,Rabi,3800.0,18700.0,22.1519086328,6.8669511341,288.1921937508,26.7471158311,26.327485948,70.2898796194,24.7903432967,11.2416420538,maize_r
Andhra Pradesh,GUNTUR,1998,Rabi,2800.0,14100.0,23.1080298584,6.1542438054,135.5541794377,26.9606362186,26.2514300593,73.911533441,22.9945554732,11.5843554992,maize_r
Andhra Pradesh,KRISHNA,1998,Rabi,1700.0,8600.0,24.3702157804,7.3606449012,205.7687447499,25.6646775326,28.9595559858,67.4068893087,26.5235419796,13.3979369841,maize_r
Andhra Pradesh,KURNOOL,1998,Rabi,100.0,400.0,26.6404435994,6.5551011553,239.4303828974,24.1687640104,26.0271907755,68.9382256658,24.2281764731,12.6241795101,maize_r
Andhra Pradesh,PRAKASAM,1998,Rabi,1200.0,5800.0,21.5416042594,5.5735063921,88.8104645224,25.874545293,27.7251646142,67.8832416711,25.1432804744,11.7719406256,maize_r
