State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,EAST GODAVARI,1999,Rabi,3.0,1.0,24.369578794,6.3608357919,29.5353383853,21.9579767742,29.0634916413,24.357179359,9.824446366,0.0,mustard
Andhra Pradesh,GUNTUR,1999,Rabi,850.0,151.0,23.8479017576,7.0124757105,29.7170081364,20.5631634539,28.6531414157,27.5236911283,9.0944644125,0.0,mustard
Andhra Pradesh,KADAPA,1999,Rabi,14.0,3.0,22.7593410421,6.4094396137,28.5222682086,21.0241063205,28.2134209883,24.1268397327,6.7247835821,0.0,mustard
Andhra Pradesh,KRISHNA,1999,Rabi,13.0,2.0,24.2546010445,6.2871135647,38.2911174128,21.0492815372,28.1565987487,27.8961033799,6.3888050522,0.0,mustard
Andhra Pradesh,KURNOOL,1999,Rabi,1968.0,470.0,24.7851193458,6.8390348157,39.5782724745,20.3232981483,28.8338056398,23.6672806324,6.214580988,0.0,mustard
Andhra Pradesh,PRAKASAM,1999,Rabi,24.0,4.0,23.0229771145,6.8295969114,36.9907177727,20.32126198,29.8519949933,26.567131071,7.1064841229,0.0,mustard
Karnataka,BAGALKOT,1999,Rabi,74.0,11.0,22.7274524169,7.4590022055,26.9996797897,21.9501761245,28.1414109603,23.6640449201,8.2130677013,0.0,mustard
Karnataka,BANGALORE RURAL,1999,Rabi,1402.0,455.0,23.3654147695,7.0914812298,28.5574532614,21.7080729601,29.4251990498,22.1417868629,6.5037656862,0.0,mustard
Karnataka,BELGAUM,1999,Rabi,382.0,53.0,23.7050874492,7.1946725902,26.1351054757,20.9467514513,29.4801623301,27.956372265,6.47062343,0.0,mustard
Karnataka,BELLARY,1999,Rabi,101.0,8.0,23.473864742,6.4825467134,26.5663239038,20.270073778,29.9886563113,24.30346839,9.4959117344,0.0,mustard
Karnataka,BENGALURU URBAN,1999,Rabi,845.0,274.0,24.6269815727,7.0151441998,30.1900430426,20.8355152605,28.8221955374,25.1029013721,8.4400541739,0.0,mustard
Karnataka,BIDAR,1999,Rabi,27.0,2.0,24.3467606673,7.3618119255,30.1449513795,21.9521175207,28.9929376969,25.8853379763,9.7454352227,0.0,mustard
Karnataka,CHIKMAGALUR,1999,Rabi,355.0,98.0,23.877537976,6.1879749779,28.1400480092,21.6554583125,29.5578850925,25.6273146859,9.5571764686,0.0,mustard
Karnataka,CHITRADURGA,1999,Rabi,195.0,42.0,23.3058679234,7.1364511704,36.3150255047,21.13370691,29.8136402853,26.09168775,7.3368587658,0.0,mustard
Karnataka,DAVANGERE,1999,Rabi,95.0,20.0,24.9924730454,7.19487323,39.022719806,20.8494034656,28.4545175358,23.4004008346,8.9777974189,0.0,mustard
Karnataka,DHARWAD,1999,Rabi,1.0,1.0,23.1855212661,6.7905458034,27.2536732126,20.0015161117,28.6268732862,27.9814938839,9.7890135483,0.0,mustard
Karnataka,HASSAN,1999,Rabi,334.0,90.0,22.1545504302,7.1851585541,39.8676962186,20.8928308656,29.8166864093,23.6428634305,7.8949185765,0.0,mustard
Karnataka,HAVERI,1999,Rabi,124.0,20.0,23.5044650183,6.2980773217,26.704590478,20.0552551239,28.1720430854,24.3675061943,9.9875863313,0.0,mustard
Karnataka,KOLAR,1999,Rabi,1324.0,379.0,23.2138803457,6.638367082,38.6031813217,20.2783552358,29.9958872322,24.5782942064,9.0392395278,0.0,mustard
Karnataka,MYSORE,1999,Rabi,7.0,2.0,24.1246981062,6.4056457835,28.2236902729,21.975588703,29.551878844,23.9695110069,9.1918594178,0.0,mustard
Karnataka,SHIMOGA,1999,Rabi,26.0,8.0,23.1252231242,7.0067422884,25.9448311398,20.0168068665,28.0946753242,23.999019246,8.2583660593,0.0,mustard
Karnataka,TUMKUR,1999,Rabi,1107.0,292.0,22.1795683281,7.3776458571,25.1890380192,20.5277413888,28.4105862012,27.5918895366,6.7630043026,0.0,mustard
