State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Tamil Nadu,COIMBATORE,1997,Whole Year,1680.0,20960.0,23.9448593537,6.5452475158,66.1413376694,19.9853001674,29.571331854,41.9655481907,19.3886506675,21.2068793682,onion
Tamil Nadu,CUDDALORE,1997,Whole Year,121.0,920.0,21.4312378133,6.3278957799,74.4315209382,18.5441986853,27.6280318935,40.8370226784,19.6986440978,18.1358846407,onion
Tamil Nadu,DHARMAPURI,1997,Whole Year,382.0,2900.0,25.3518828004,6.6590044831,73.0556314143,18.7441994819,25.9893148972,41.2481683928,19.7325127355,18.8132288829,onion
Tamil Nadu,DINDIGUL,1997,Whole Year,4620.0,29180.0,24.1457358896,6.5957236153,68.9453666669,18.6788241939,29.5431889561,39.1736062291,19.7396205453,21.8632960519,onion
Tamil Nadu,ERODE,1997,Whole Year,1826.0,20630.0,25.2437169745,6.3141135352,68.9250039062,18.4661640105,29.1386772038,41.9831762552,20.167336784,21.1039416985,onion
Tamil Nadu,KARUR,1997,Whole Year,228.0,46530.0,25.7291598632,6.8530183771,67.1908851704,18.8643691591,28.1751151465,40.3448611409,18.1438895258,21.3412726801,onion
Tamil Nadu,NAGAPATTINAM,1997,Whole Year,35.0,260.0,24.2573715111,6.9481615452,65.4756815351,18.9155602291,25.9336133388,39.6865352188,21.8149549633,19.6401001764,onion
Tamil Nadu,PUDUKKOTTAI,1997,Whole Year,8.0,60.0,23.2546960962,6.6087613922,65.5965308536,18.1842132676,25.7759525009,37.567701432,19.4253462465,19.4172492828,onion
Tamil Nadu,RAMANATHAPURAM,1997,Whole Year,3.0,20.0,25.0459501441,6.0392530816,73.4803710987,18.9859803268,25.0153679316,41.7614092817,21.7984551483,21.0768130162,onion
Tamil Nadu,SALEM,1997,Whole Year,1909.0,40870.0,22.3211165937,6.796624486,74.5163254276,18.0639260579,26.6934016124,39.0822537977,19.4033050341,18.5200496395,onion
Tamil Nadu,SIVAGANGA,1997,Whole Year,25.0,190.0,23.9627635352,6.7721768572,70.534959475,18.141349138,25.3845409971,41.3052699366,20.0736753866,19.6331126084,onion
Tamil Nadu,THANJAVUR,1997,Whole Year,12.0,90.0,24.4344521868,6.8355870528,69.4417505348,19.9626149641,28.12622362,39.6309262276,18.5033294947,21.1083075083,onion
