State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Kharif,6700.0,11800.0,33.543999942,5.4210554483,107.6914114267,33.4938506573,20.5113313541,11.9631795197,27.2156235233,12.3431317313,ragi
Andhra Pradesh,CHITTOOR,1997,Kharif,10800.0,9900.0,26.6719088244,4.9165697465,109.9286952454,31.7206976576,26.5131527289,10.5440664247,26.0463832441,13.6513172492,ragi
Andhra Pradesh,EAST GODAVARI,1997,Kharif,200.0,100.0,27.2681738279,5.8082774147,97.7421478457,31.6560824799,25.6016762531,14.6634671592,24.3448870133,11.6515323203,ragi
Andhra Pradesh,KADAPA,1997,Kharif,100.0,100.0,28.7943344501,5.5612771771,105.5950792682,31.1820844836,23.062316399,13.0912339816,24.1863133379,13.7860485255,ragi
Andhra Pradesh,KURNOOL,1997,Kharif,100.0,100.0,24.2883413177,4.7202581133,93.7229152439,32.7385047474,21.0159785807,13.6675989567,27.0660752685,10.4960457923,ragi
Andhra Pradesh,SPSR NELLORE,1997,Kharif,300.0,200.0,32.4209741047,7.0604794781,91.9054512467,33.5123407669,28.1554145388,13.1510129951,24.6676229142,12.4785632861,ragi
Andhra Pradesh,SRIKAKULAM,1997,Kharif,4700.0,5300.0,31.1735070049,5.8854677655,97.4233514946,31.512437703,20.7417965865,13.1669034212,22.9179741917,13.5279629091,ragi
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,35800.0,14600.0,21.6886321325,7.101769463,93.9227078878,33.3864533877,27.5215159797,9.140706084,23.3381447906,13.8509024261,ragi
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,10000.0,11700.0,30.0168750125,6.7150874724,109.8207503017,32.040892899,24.6545623238,14.6603526012,23.728899362,10.4211425332,ragi
Karnataka,BELGAUM,1997,Kharif,2501.0,2525.0,24.3913352886,6.112694989,106.400992139,30.9948913033,25.0012834548,14.0248162486,24.2417662477,10.3515010131,ragi
Karnataka,BELLARY,1997,Kharif,17185.0,12676.0,33.8121486546,7.474708487,100.7004361229,30.9122223268,26.936204355,11.5558127833,26.1993546206,11.3586267693,ragi
Karnataka,BENGALURU URBAN,1997,Kharif,178931.0,309672.0,26.7692546262,7.7377374316,100.7228343469,33.3940547147,28.4205603839,9.2064580632,25.2328800401,11.5253970098,ragi
Karnataka,CHIKMAGALUR,1997,Kharif,53900.0,60319.0,33.7584995121,5.3953566731,105.8747912638,33.8456832555,29.9736405878,13.0673037676,27.9034555299,11.1339015802,ragi
