State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Kharif,35600.0,75400.0,16.914598625,7.6995187732,10.6152574414,20.6051157578,23.006714352,47.5896829991,11.1433633057,11.2539366448,rice
Andhra Pradesh,CHITTOOR,1997,Kharif,42300.0,84400.0,21.573871881,7.0149639802,12.1208676789,20.7439397446,23.8465262133,49.9902758223,11.0193956196,10.3765903625,rice
Andhra Pradesh,EAST GODAVARI,1997,Kharif,214100.0,429300.0,16.5606947852,7.8646800935,12.4297934482,29.2219753033,16.7854315006,52.8263398838,13.3174853537,11.4993901375,rice
Andhra Pradesh,GUNTUR,1997,Kharif,295000.0,845300.0,25.7302201998,8.8483226689,13.6229318917,23.2126196132,26.8376884779,47.7077450441,10.248631143,10.7103811461,rice
Andhra Pradesh,KADAPA,1997,Kharif,47700.0,77500.0,17.868065965,8.7004249378,15.3207736761,29.7311546677,23.2751103607,52.1446193254,12.0398796903,12.5967244606,rice
Andhra Pradesh,KRISHNA,1997,Kharif,257900.0,699400.0,16.8744761745,7.9486626949,17.4962669171,23.383820379,18.7626674446,51.737185557,11.6189430444,13.1773102617,rice
Andhra Pradesh,KURNOOL,1997,Kharif,66300.0,176900.0,20.8224205306,8.8009860229,12.7076898848,26.1779187028,23.200886383,48.8790865948,10.4896399758,10.8249901004,rice
Andhra Pradesh,PRAKASAM,1997,Kharif,62000.0,124300.0,24.4549791919,5.6297033925,13.3582610967,20.0833627641,17.1000353106,51.9197826617,13.9934502352,10.3104227358,rice
Andhra Pradesh,SPSR NELLORE,1997,Kharif,48700.0,127600.0,26.7191238446,8.8202305482,11.8172265052,27.3634972068,20.7295765661,47.086936632,10.7648047868,11.8760642631,rice
Andhra Pradesh,SRIKAKULAM,1997,Kharif,185700.0,278500.0,29.9816231381,5.7908495689,11.8976300812,21.4083732636,23.694080345,51.4323293514,13.3238697839,13.3656358258,rice
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,95600.0,79700.0,22.9877825572,8.321215071,15.9015255817,25.414751,19.2494340615,50.7259996537,12.3984376722,11.4737340868,rice
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,130500.0,185600.0,25.8996715867,7.1815612427,12.0327076099,26.9369590019,16.2073573218,49.8147801775,10.099248794,13.9933130326,rice
Andhra Pradesh,WEST GODAVARI,1997,Kharif,247200.0,630400.0,25.7972291924,8.9195996073,14.8015362137,20.0457713307,24.7726332548,52.2893628958,10.7721540318,12.5250496599,rice
Karnataka,BANGALORE RURAL,1997,Kharif,11240.0,26256.0,27.7139501455,8.3756890094,11.6210958412,29.3947259357,22.1787383882,48.7509503222,12.0585227869,13.7573147833,rice
Karnataka,BELGAUM,1997,Kharif,63734.0,91677.0,28.1310954379,8.4954311034,12.6315519426,22.1869133688,24.7974306996,51.17959174,10.7656878284,10.8521967791,rice
Karnataka,BELLARY,1997,Kharif,34112.0,96733.0,20.3550817399,5.3532262444,15.1432734498,23.1107136998,24.5605719573,51.535529236,12.1947329816,13.827907282,rice
Karnataka,BENGALURU URBAN,1997,Kharif,3507.0,11033.0,18.1820720538,8.4150399799,14.6944337738,21.1154289166,21.3351400148,47.0049836811,13.8224159947,11.5408217796,rice
Karnataka,BIDAR,1997,Kharif,9385.0,6109.0,29.6261674461,8.4861629843,13.3698406822,20.2014730051,23.5204507905,51.5061287813,11.3036810062,13.1110109937,rice
Karnataka,BIJAPUR,1997,Kharif,450.0,635.0,28.8049030807,5.9358341406,13.9539667828,25.2671866712,24.2059646321,48.0134977479,11.4004243932,13.6232485124,rice
Karnataka,CHIKMAGALUR,1997,Kharif,48109.0,112905.0,26.287081873,9.1057335738,17.1120429751,26.8644531176,16.4811435802,47.4117163117,10.4189523483,13.0676458994,rice
Karnataka,CHITRADURGA,1997,Kharif,39725.0,136465.0,17.9113061694,8.4978748285,13.1813993285,21.1801112882,16.1257207665,49.5162696551,10.3722858148,13.8337757073,rice
Karnataka,DAKSHIN KANNAD,1997,Kharif,92885.0,180119.0,25.697764665,6.7576066043,16.7724974938,27.7495866988,17.6594712851,48.1835793334,10.1948125398,11.9492041783,rice
Karnataka,DHARWAD,1997,Kharif,89655.0,103406.0,17.6119164017,8.4438569995,17.9441822391,28.0806141256,22.6890989481,48.6905875151,12.2745735931,10.5467984772,rice
Karnataka,GULBARGA,1997,Kharif,6591.0,12179.0,18.8779663445,8.8381062934,19.5842548675,27.2677867614,23.0040745247,47.6652800504,12.408877472,10.4482666991,rice
Karnataka,HASSAN,1997,Kharif,53948.0,147084.0,19.5767229365,7.8599577618,12.2656239078,20.6665199523,16.8563812403,47.2907817555,12.264274656,11.2807069682,rice
Karnataka,KODAGU,1997,Kharif,39414.0,87476.0,22.0596836446,8.5312022514,16.6941685972,26.2275783294,23.0649486544,50.8264066863,11.4189919842,10.3092269152,rice
Karnataka,KOLAR,1997,Kharif,12130.0,26791.0,28.0278381535,9.3042013096,16.4575103418,23.0903208608,19.3649180708,48.2847264882,10.5790045961,11.4662916992,rice
Karnataka,MANDYA,1997,Kharif,57997.0,150905.0,23.7919305768,5.6706464399,16.3639857223,25.399978108,25.9808009419,52.2979125013,12.0730323243,11.8754346951,rice
Karnataka,MYSORE,1997,Kharif,105069.0,306717.0,28.5317131449,5.3792582485,14.3136621701,22.9559808454,16.3318823525,47.2319652347,12.6444204462,13.5647565161,rice
Karnataka,RAICHUR,1997,Kharif,92636.0,287526.0,20.4665748578,7.9984673304,19.0921594903,23.7709515983,23.7379337117,48.2526373881,13.2912805579,13.4406299078,rice
Karnataka,SHIMOGA,1997,Kharif,162939.0,370499.0,27.4212839915,5.1571363571,13.2173764315,23.0878823511,23.4927511387,48.5255231735,10.6581867261,13.9689030648,rice
Karnataka,TUMKUR,1997,Kharif,22589.0,57865.0,20.0177815919,9.4694342752,13.2970932633,20.4082612851,18.3553870252,47.6983560289,10.2651843567,10.4756123753,rice
Karnataka,UTTAR KANNAD,1997,Kharif,85415.0,128113.0,27.1666767229,6.2272440966,12.2460583159,22.487300931,16.7782693888,48.8011092504,11.5910194662,12.8187990471,rice
Telangana,ADILABAD,1997,Kharif,30600.0,29100.0,20.7658928781,8.7203610023,16.9615245125,29.9787083461,17.5939224836,48.700551767,12.2401381887,11.582859326,rice
Telangana,HYDERABAD,1997,Kharif,100.0,100.0,18.9976405141,8.7357442755,12.1678495892,29.6637941778,26.1623343721,47.5676429581,10.726758961,10.7264042079,rice
Telangana,KARIMNAGAR,1997,Kharif,103000.0,287900.0,23.8745115271,5.6171018218,19.4637611463,26.5174062284,24.8271477647,47.2913205652,10.9203373721,12.6797234929,rice
Telangana,KHAMMAM,1997,Kharif,121100.0,251900.0,18.945266926,5.8983330937,15.3661775723,23.8982701233,24.4899767879,49.62492305,11.1186916942,12.8163942115,rice
Telangana,MAHBUBNAGAR,1997,Kharif,53200.0,100700.0,21.3146513672,8.6291018195,15.3169071791,28.5962500047,26.767438768,52.3546925997,12.9678340294,12.8329112328,rice
Telangana,MEDAK,1997,Kharif,47700.0,83500.0,16.8104716868,6.7678613337,15.430619356,23.7246871354,20.0547229456,50.1067500582,12.2901361043,12.6147014225,rice
Telangana,NALGONDA,1997,Kharif,149100.0,369500.0,23.188599131,6.435744395,10.305764837,23.5906377832,24.5752895753,52.4552189215,10.0979480427,13.3666674871,rice
Telangana,NIZAMABAD,1997,Kharif,81600.0,135100.0,22.6688140124,6.4094979368,18.619453995,25.5130424594,26.5626863874,50.0533868198,10.4513656611,12.7139450416,rice
Telangana,RANGAREDDI,1997,Kharif,24000.0,48900.0,20.4324197774,9.0096529202,13.0905063499,29.3428705257,20.8977873291,51.6378711056,12.5872681819,11.6200781551,rice
Telangana,WARANGAL,1997,Kharif,43500.0,97300.0,29.3598794015,7.5366292217,17.0002981514,27.0067872373,17.2587785421,48.540403687,12.9421330545,10.5217314724,rice
Andhra Pradesh,ANANTAPUR,1998,Kharif,38300.0,96800.0,26.7333185823,8.9674728606,18.2133605285,27.1663984982,22.2739146598,51.9848138887,12.6540170333,10.9572564941,rice
Andhra Pradesh,CHITTOOR,1998,Kharif,42000.0,105400.0,19.8034175589,5.237346202,18.0384771272,28.3033218839,16.2917808705,51.4534477792,12.7643609713,13.1021514206,rice
Andhra Pradesh,EAST GODAVARI,1998,Kharif,256300.0,386600.0,23.5920835753,8.5280535398,17.3457709355,24.6888271266,26.9597011068,47.0139992544,10.968976882,13.1390206476,rice
Andhra Pradesh,GUNTUR,1998,Kharif,298400.0,921400.0,22.8482004116,9.4603422898,16.7557941114,20.6676600205,25.4788605661,51.5238895483,12.2658766589,12.6766280539,rice
Andhra Pradesh,KADAPA,1998,Kharif,59200.0,169800.0,19.7465542119,7.2032244948,10.2655059377,24.6327304997,22.4416053276,49.5782009208,13.2058424719,11.6431278455,rice
Andhra Pradesh,KRISHNA,1998,Kharif,280800.0,759900.0,26.9492725369,8.0028650264,14.0536801297,28.4995120959,20.7520533968,51.3518843632,11.5220711316,11.6175662888,rice
Andhra Pradesh,KURNOOL,1998,Kharif,75100.0,221700.0,25.7206505857,5.5135278742,15.3571008843,26.1470742433,24.5676771469,52.7777548766,12.2182332439,12.0676086637,rice
Andhra Pradesh,PRAKASAM,1998,Kharif,72100.0,206700.0,22.5514540774,8.5539405733,15.0859842101,28.1752760089,25.5880615779,51.4327557177,11.0823266566,13.6569448409,rice
