State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Karnataka,BELGAUM,1997,Whole Year,818.0,4496.0,24.2447163348,5.42046546,162.554015722,28.5855130455,20.2168036903,10.1285581809,11.3063153067,9.4933246071,turmeric
Karnataka,BELLARY,1997,Whole Year,1.0,6.0,26.3419103843,5.8200017858,219.1716873996,29.285721866,21.8815932214,8.5686947982,9.5834451684,10.0979965535,turmeric
Karnataka,BENGALURU URBAN,1997,Whole Year,54.0,181.0,27.0374808911,7.0201714817,203.88102383,29.6063528721,20.7143551719,9.82526826,9.8830681625,8.7176119331,turmeric
Karnataka,BIDAR,1997,Whole Year,107.0,109.0,24.083684477,6.2095037867,281.0271836619,31.6158902038,21.112430116,10.3082238888,9.5309829864,11.0906573653,turmeric
Karnataka,BIJAPUR,1997,Whole Year,375.0,2468.0,26.9579282884,6.0782169775,267.9279055329,29.4386447581,21.7150980449,10.3848959367,10.9043894796,11.3886650873,turmeric
Karnataka,CHIKMAGALUR,1997,Whole Year,32.0,15.0,24.8779870228,7.2692237436,165.9649210385,28.3379495536,21.0244012063,8.5051244472,8.7056439046,9.1534902741,turmeric
Karnataka,CHITRADURGA,1997,Whole Year,3.0,17.0,27.930547945,6.5439112311,207.2864200877,27.2922497643,20.2069951647,8.8549664188,10.0605962089,11.1760570966,turmeric
Karnataka,DAKSHIN KANNAD,1997,Whole Year,102.0,236.0,27.6334281084,5.7228359225,241.5889388113,29.6365636613,20.8106978813,9.5610806716,9.8323249883,9.7861384548,turmeric
Karnataka,GULBARGA,1997,Whole Year,405.0,714.0,25.7869193996,5.2326852787,247.3834531822,33.8012944808,20.3379783101,10.6323318835,11.5117670293,10.9838268371,turmeric
Karnataka,HASSAN,1997,Whole Year,16.0,89.0,27.2951879478,6.0582823878,294.9638396587,25.7312440599,21.9228145538,9.8806194982,10.1768100883,11.3598396631,turmeric
Karnataka,KODAGU,1997,Whole Year,8.0,44.0,25.1856976169,7.0662940573,169.8757620997,27.15769869,21.8718303014,11.3583055985,11.9996565852,11.5770651167,turmeric
Karnataka,KOLAR,1997,Whole Year,4.0,22.0,25.1593745522,6.2094203608,153.7588007524,25.3889257614,20.0078791971,11.963165906,11.2519531218,9.2805666776,turmeric
Karnataka,MANDYA,1997,Whole Year,72.0,453.0,27.6334772124,6.3177490313,270.7482271239,33.9748319878,21.8124230839,11.7573920433,11.9623890927,10.7204945303,turmeric
Karnataka,MYSORE,1997,Whole Year,2316.0,15147.0,24.6645722123,4.9814968703,210.5686987644,30.2416267153,20.692663608,11.7138291757,9.294791611,8.6669758316,turmeric
Karnataka,SHIMOGA,1997,Whole Year,16.0,38.0,26.1660842983,6.7546952249,160.7651751271,33.4695939675,21.5292142004,9.566030178,9.8142565574,11.5084714396,turmeric
Karnataka,TUMKUR,1997,Whole Year,3.0,17.0,26.9287498156,6.2665300049,202.9866546032,32.5863855358,20.4330488954,9.7164325294,8.6036018927,11.2766477886,turmeric
Karnataka,UTTAR KANNAD,1997,Whole Year,10.0,56.0,25.4897871079,4.6514823476,159.3110185629,32.2017682264,20.6126137564,11.7182151588,8.298249508,10.7197427688,turmeric
Tamil Nadu,COIMBATORE,1997,Whole Year,2024.0,16960.0,27.4539375219,5.3474884611,177.1789049364,30.6449887258,20.2414965684,9.2212338846,11.3990983944,10.4598940902,turmeric
Tamil Nadu,CUDDALORE,1997,Whole Year,12.0,70.0,27.2182127924,5.2256370059,201.7650720822,28.4567143547,21.0649561631,8.3890511769,8.5915912272,10.5149267585,turmeric
Tamil Nadu,DHARMAPURI,1997,Whole Year,2075.0,9470.0,26.1568437907,7.3180866799,194.9671204975,25.5005922992,20.3100232298,8.1844265732,9.8531386405,10.9842648579,turmeric
Tamil Nadu,DINDIGUL,1997,Whole Year,34.0,210.0,25.3594966806,5.5555139889,221.864535747,29.156178538,21.3872753192,10.2980450499,9.6628036593,11.6442758016,turmeric
Tamil Nadu,ERODE,1997,Whole Year,9428.0,63290.0,25.1187178569,5.5658598719,244.9025982635,26.7462618599,21.7783546476,9.562349483,9.2278969209,11.1893111502,turmeric
Tamil Nadu,KARUR,1997,Whole Year,367.0,2980.0,27.7323959102,6.4756475617,292.257824584,33.7363594955,21.8390330585,11.1457166729,8.1111610275,9.5632580121,turmeric
Tamil Nadu,MADURAI,1997,Whole Year,7.0,40.0,26.7408491596,6.4880761787,196.3491918677,31.5906447897,21.6917110368,9.0914403731,9.8924091921,10.2510823338,turmeric
Tamil Nadu,NAGAPATTINAM,1997,Whole Year,5.0,30.0,27.2189949703,6.531955987,206.8970564581,29.2425811672,20.7170887055,8.0254195426,8.0517870825,8.7966470074,turmeric
Tamil Nadu,NAMAKKAL,1997,Whole Year,1132.0,4210.0,27.0086347956,6.6193276504,158.3336921201,27.876461203,21.8325476327,9.7124676209,10.2180894081,10.0372216578,turmeric
Tamil Nadu,PERAMBALUR,1997,Whole Year,143.0,1160.0,26.6525852605,6.6832820727,210.6611291308,27.3292181168,20.2925612087,8.3463259464,10.3217704885,8.5140305256,turmeric
Tamil Nadu,PUDUKKOTTAI,1997,Whole Year,7.0,40.0,26.6016644214,6.6252386152,283.2683075093,27.4005664129,21.9819335584,8.1280457084,10.6629426305,11.9899226012,turmeric
Tamil Nadu,RAMANATHAPURAM,1997,Whole Year,2.0,10.0,25.0653290483,6.5280659957,298.0609011512,26.2766144399,21.8807509397,8.112802791,11.7213123523,10.5092510147,turmeric
Tamil Nadu,SALEM,1997,Whole Year,1360.0,5060.0,27.7227998143,6.8031731514,215.3377860021,29.749422865,20.6480007535,8.0440220384,9.9061011121,11.4560608775,turmeric
