State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,GUNTUR,1997,Kharif,7100.0,1200.0,15.6421235855,7.764341107,55.3912443084,24.5928817514,21.1387461166,6.7486997579,11.764064478,0.0,urad
Andhra Pradesh,KRISHNA,1997,Kharif,5200.0,900.0,21.4887071368,7.3851841483,51.6907576908,26.5660713234,21.9427022418,6.3216711836,11.8475677533,0.0,urad
Andhra Pradesh,KURNOOL,1997,Kharif,600.0,100.0,26.4856431444,6.569831999,74.1832991088,26.7441080146,19.4099361307,5.7585459571,8.1129966654,0.0,urad
Andhra Pradesh,PRAKASAM,1997,Kharif,800.0,100.0,29.9503709556,7.2310928108,59.8246811507,21.5263713397,20.9638083313,4.3403498676,10.5183761482,0.0,urad
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif,2500.0,400.0,26.931203298,7.7354310849,73.5615878248,22.360861098,23.1440709626,3.9036033374,9.2840404338,0.0,urad
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,500.0,100.0,25.0044716675,6.5861739597,60.4282943907,21.9416103984,18.5376990697,6.5890518815,11.7666363244,0.0,urad
Telangana,ADILABAD,1997,Kharif,19500.0,6600.0,19.5628292225,7.5194967199,70.8628261121,24.6413374129,21.6615557636,4.0532003468,8.3687303531,0.0,urad
Telangana,KHAMMAM,1997,Kharif,900.0,300.0,23.2268333561,6.5292193082,56.9526600007,21.5438898788,23.3913911661,6.8136452617,11.6778526171,0.0,urad
Telangana,MAHBUBNAGAR,1997,Kharif,1200.0,400.0,21.6640295571,6.7540076709,58.1714122643,21.3835322796,24.0635251472,3.6002829489,11.3640789851,0.0,urad
Telangana,MEDAK,1997,Kharif,25700.0,3700.0,19.7744942568,7.092688758,71.0167356149,25.7116879912,22.3479017246,6.9863352102,10.6763048468,0.0,urad
Telangana,NIZAMABAD,1997,Kharif,15600.0,7100.0,25.6619136986,7.3837000993,59.1952572132,25.4478514865,18.3469929633,6.0725510291,10.5366207425,0.0,urad
Telangana,RANGAREDDI,1997,Kharif,8800.0,3800.0,20.5646567052,7.4434562577,60.5084884562,22.8751536096,19.5126060784,5.63913068,9.0545523291,0.0,urad
Andhra Pradesh,CHITTOOR,1998,Kharif,200.0,200.0,21.8142933561,7.1783330258,70.0094348602,21.2886444406,23.6290969685,6.2989074196,9.2594971847,0.0,urad
Andhra Pradesh,EAST GODAVARI,1998,Kharif,400.0,300.0,23.1093083675,6.545087204,74.3126068571,26.0919419537,20.0748988228,5.5102382263,9.7689862753,0.0,urad
Andhra Pradesh,GUNTUR,1998,Kharif,3900.0,3000.0,18.893547942,6.5404010985,74.8592087121,25.9815520765,19.9411088499,6.2602908981,9.8854118785,0.0,urad
Andhra Pradesh,KRISHNA,1998,Kharif,2700.0,2100.0,20.0751392395,7.2511555557,50.9548035413,26.0608399886,23.7174597363,3.2671599597,8.267120327,0.0,urad
Andhra Pradesh,KURNOOL,1998,Kharif,600.0,500.0,19.4230179569,6.6959877892,58.3529193967,26.4529174926,19.7153119748,5.8204569831,10.0319436152,0.0,urad
Andhra Pradesh,PRAKASAM,1998,Kharif,400.0,300.0,16.7734855877,7.5192362025,58.6874395758,23.6173343677,19.9293856348,3.9806732532,11.5532402919,0.0,urad
Andhra Pradesh,SPSR NELLORE,1998,Kharif,100.0,100.0,19.9537041642,6.9388277729,63.4938064528,23.2262551419,24.1798824108,5.5700461343,10.8226344333,0.0,urad
Andhra Pradesh,SRIKAKULAM,1998,Kharif,100.0,100.0,19.9028078981,7.0790252549,53.6062399239,23.2922553944,19.837683019,3.2784416498,10.4534866317,0.0,urad
Andhra Pradesh,VISAKHAPATANAM,1998,Kharif,2500.0,2000.0,27.3848309022,6.8598823062,59.1314162462,25.9224654922,18.7280441619,6.206463341,9.3266492005,0.0,urad
Andhra Pradesh,VIZIANAGARAM,1998,Kharif,600.0,400.0,19.0425658544,6.7554106465,50.1755163882,26.1005747705,19.1030894415,6.9033756604,9.7877692963,0.0,urad
Andhra Pradesh,WEST GODAVARI,1998,Kharif,200.0,100.0,24.9134114848,6.5424723774,54.7566323333,23.4712482111,19.3431184676,3.4019053139,10.8672887743,0.0,urad
Tamil Nadu,COIMBATORE,1998,Kharif,10191.0,4983.0,28.5650370394,7.057810283,53.609942163,25.3145505244,19.0299541214,6.0887498127,11.8202495442,0.0,urad
Tamil Nadu,CUDDALORE,1998,Kharif,50769.0,31984.0,25.3947802239,7.7289823993,55.8118158088,25.8518247115,21.5073969571,6.2111330048,8.6776915928,0.0,urad
Tamil Nadu,DHARMAPURI,1998,Kharif,12053.0,5894.0,28.5647404623,7.5786382723,72.9820747886,24.2577923147,24.7462870795,6.0608896832,10.9310545208,0.0,urad
Tamil Nadu,DINDIGUL,1998,Kharif,11284.0,7278.0,20.1608916725,6.7861074323,70.916958656,22.0292234529,21.3728836049,3.7937365783,9.0976615465,0.0,urad
Tamil Nadu,ERODE,1998,Kharif,9888.0,4835.0,20.3485167375,7.4037794595,65.2082495527,22.3969340028,21.5540496921,6.5689777762,8.7268039173,0.0,urad
Tamil Nadu,KANCHIPURAM,1998,Kharif,10055.0,4917.0,15.348317073,7.7503101704,67.872464316,21.1229787707,23.0900140691,5.8167947144,9.8025535202,0.0,urad
Tamil Nadu,KANNIYAKUMARI,1998,Kharif,2985.0,1459.0,22.7589496048,7.5132488077,53.8274497177,22.0709998416,23.8010155651,4.5836762335,10.1213412655,0.0,urad
Tamil Nadu,KARUR,1998,Kharif,5524.0,2701.0,18.4423104577,7.4535266883,55.2052103393,24.9052370134,22.121343306,3.3011319679,8.4470945181,0.0,urad
Tamil Nadu,MADURAI,1998,Kharif,3443.0,1684.0,28.7568208499,6.8128118456,72.8591581391,25.2388799215,19.89249737,3.914006775,8.3541909172,0.0,urad
Tamil Nadu,NAGAPATTINAM,1998,Kharif,56135.0,25654.0,20.8585645825,7.0858997751,74.3754965964,25.5748106771,21.0143842238,3.394393075,10.3994217834,0.0,urad
Tamil Nadu,NAMAKKAL,1998,Kharif,8952.0,7170.0,21.0425138128,7.6571965278,72.9479600845,25.8605655079,19.2930365644,6.0941057847,10.8858670693,0.0,urad
Tamil Nadu,PERAMBALUR,1998,Kharif,3027.0,1480.0,22.7726989076,7.7389835145,62.8933036178,22.0543698365,19.6001799487,5.2854159646,10.7510416903,0.0,urad
Tamil Nadu,PUDUKKOTTAI,1998,Kharif,11420.0,5584.0,24.8360616469,6.8913725543,64.8131463968,21.4679950157,24.8537967677,3.4850807248,8.2408637927,0.0,urad
Tamil Nadu,RAMANATHAPURAM,1998,Kharif,1258.0,615.0,18.826761267,7.3136868664,54.7398591493,26.9365817303,21.2982921586,4.1735027993,10.3253371674,0.0,urad
Tamil Nadu,SALEM,1998,Kharif,20325.0,18597.0,15.8998236983,7.1322026604,61.099661057,25.8694201634,22.1689914741,5.9041224432,9.0568883536,0.0,urad
Tamil Nadu,SIVAGANGA,1998,Kharif,3269.0,1598.0,26.4889406416,6.8015411668,72.9266307704,24.2284314549,19.807922934,6.8175603994,11.2698683319,0.0,urad
Tamil Nadu,THANJAVUR,1998,Kharif,26868.0,8866.0,29.4498239032,7.5062081354,69.0742921361,22.2929143092,21.5424297709,6.2528388987,11.6937278736,0.0,urad
Tamil Nadu,THENI,1998,Kharif,2015.0,985.0,22.2307263641,6.7998965746,60.5589888515,26.4256929631,21.1259432883,4.2238704522,8.53899252,0.0,urad
Tamil Nadu,THIRUVALLUR,1998,Kharif,6869.0,3359.0,25.7702779862,6.5852383528,71.5221006263,23.0843950609,24.735284966,3.7060174643,10.2968542861,0.0,urad
Tamil Nadu,THIRUVARUR,1998,Kharif,53509.0,18032.0,22.7547785981,6.5537461461,70.2897570395,22.9884208008,24.7778827183,3.4187534495,11.6853395991,0.0,urad
Tamil Nadu,TIRUCHIRAPPALLI,1998,Kharif,16386.0,8013.0,28.1595589605,7.5879221489,50.0734095391,23.5314548011,24.1035811858,4.3691196164,9.2840491526,0.0,urad
