State_Name,District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
Andhra Pradesh,ANANTAPUR,1997,Rabi,300.0,200.0,23.5603477824,6.094341244,27.5427444895,20.7855823516,20.1499140893,50.0683571026,23.2041001343,12.0227265754,wheat
Andhra Pradesh,KURNOOL,1997,Rabi,600.0,300.0,24.313872184,6.3747426553,25.4646868509,21.7806864629,23.8021592988,54.5572390291,24.7631146406,10.7226635317,wheat
Karnataka,BELGAUM,1997,Rabi,55130.0,41220.0,21.9399538162,6.0852508829,47.8978276782,21.9997217359,20.0446506204,45.8076656186,29.5701642458,11.9474143723,wheat
Karnataka,BELLARY,1997,Rabi,2900.0,1893.0,23.1990136247,6.2882093579,72.3711743458,21.7896017374,22.774298313,47.700798968,28.7530863417,11.0869383798,wheat
Karnataka,BIDAR,1997,Rabi,7110.0,1585.0,25.0901760225,6.3078002518,33.5048789535,19.818394837,21.4941619428,51.9557367845,23.1546629892,11.8411743099,wheat
Karnataka,BIJAPUR,1997,Rabi,60800.0,29117.0,25.0329617195,6.8976797707,43.7378504339,18.6408731162,20.564191563,45.2418814265,25.9220690619,13.3663122998,wheat
Karnataka,CHIKMAGALUR,1997,Rabi,68.0,39.0,24.3188257185,6.4232626056,41.0383201608,19.3771964425,24.9963560587,47.7076832727,25.4215317933,13.2111582494,wheat
Karnataka,CHITRADURGA,1997,Rabi,518.0,381.0,25.7794511887,6.3004172395,40.8636733531,18.4463763354,22.3455470698,53.5399393918,29.6663653844,13.2256715188,wheat
Karnataka,DHARWAD,1997,Rabi,86170.0,34260.0,21.237690767,6.4851184518,38.7529291274,19.0384750507,22.9334090634,48.4800793816,23.676073417,13.9767583095,wheat
Karnataka,GULBARGA,1997,Rabi,19143.0,6226.0,25.9473231981,6.2292350355,56.2898585779,20.0962211165,20.7228245636,47.419135302,25.0682803677,12.9797142057,wheat
Karnataka,MYSORE,1997,Rabi,4.0,4.0,24.8376373542,6.1330819937,26.2935854252,18.6282874135,21.5301860338,54.0958668945,28.203064531,11.6782418362,wheat
